web_name,id,element_type,form,points_per_game,predicted_points_33,predicted_points_mean,predicted_points_33_raw,predicted_points_mean_raw
March,107.0,3,5.0,4.8,3.62,8.63,3.62,8.63
Trippier,357.0,2,3.8,5.6,5.1,7.02,5.1,7.02
Toney,80.0,4,5.2,5.7,5.46,6.22,5.46,6.22
Saka,13.0,3,3.8,5.8,5.38,6.04,5.38,6.04
Martinelli,19.0,3,8.0,5.9,6.65,6.03,6.65,6.03
Bowen,465.0,3,5.4,3.9,6.31,5.86,6.31,5.86
Kane,427.0,4,6.0,6.4,5.8,5.8,5.8,5.8
Haaland,318.0,4,8.0,8.1,4.47,5.62,6.7,8.43
Mitoma,124.0,3,4.5,4.8,2.54,4.91,4.15,8.02
Raya,81.0,1,3.0,4.2,3.95,3.92,3.95,3.92
Castagne,258.0,2,3.8,3.3,3.63,3.66,3.63,3.66
Schär,366.0,2,4.2,4.4,3.13,3.65,4.17,4.87
Pinnock,92.0,2,2.6,3.2,2.91,3.1,2.91,3.1
Zinchenko,313.0,2,0.8,3.8,2.38,2.97,2.98,3.71
Ward,254.0,1,0.0,3.5,0.0,0.0,2.25,3.11
