web_name,id,element_type,form,points_per_game,predicted_points_4,predicted_points_mean,predicted_points_4_raw,predicted_points_mean_raw
Estupiñan,131.0,2,6.3,6.3,8.34,7.87,8.34,7.87
Andersen,220.0,2,7.3,7.3,5.48,6.99,5.48,6.99
B.Fernandes,373.0,3,5.3,5.3,6.68,6.16,6.68,6.16
Saka,19.0,3,7.0,7.0,5.53,6.1,5.53,6.1
Mitoma,143.0,3,6.0,6.0,5.79,6.07,5.79,6.07
Watkins,60.0,4,5.0,5.0,5.61,5.68,5.61,5.68
Haaland,355.0,4,6.3,6.3,5.13,5.67,5.13,5.67
Rashford,396.0,3,4.0,4.0,4.17,5.05,4.17,5.05
Martinelli,12.0,3,3.3,3.3,4.5,4.61,4.5,4.61
Digne,42.0,2,4.7,4.7,5.42,4.38,5.42,4.38
Chilwell,195.0,2,4.7,4.7,4.71,4.22,4.71,4.22
Osula,490.0,4,1.3,1.3,3.39,3.65,3.39,3.65
Onana,597.0,1,3.7,3.7,3.77,3.58,3.77,3.58
Turner,28.0,1,2.3,2.3,3.26,3.18,3.26,3.18
Baldock,473.0,2,1.0,1.5,3.88,3.11,3.88,3.11
