web_name,id,element_type,form,points_per_game,predicted_points_3,predicted_points_mean,predicted_points_3_raw,predicted_points_mean_raw
Rodrigo,225.0,3,11.0,11.0,4.35,4.44,4.35,4.44
Jesus,28.0,4,10.5,10.5,4.46,4.32,4.46,4.32
Haaland,318.0,4,9.0,9.0,3.42,3.69,3.42,3.69
N.Williams,295.0,2,3.5,3.5,3.72,3.66,3.72,3.66
Luis Díaz,293.0,3,5.5,5.5,3.77,3.64,3.77,3.64
Martinelli,19.0,3,8.0,8.0,3.74,3.61,3.74,3.61
James,146.0,2,7.0,7.0,3.5,3.52,3.5,3.52
Salah,283.0,3,7.0,7.0,3.71,3.51,3.71,3.51
Dier,430.0,2,4.5,4.5,3.27,3.47,3.27,3.47
Ward,254.0,1,1.0,1.0,3.33,3.31,3.33,3.31
Alexander-Arnold,285.0,2,2.0,2.0,3.45,3.06,3.45,3.06
Cancelo,306.0,2,9.0,9.0,1.99,2.68,1.99,2.68
Andreas,346.0,3,2.5,2.5,2.14,2.0,2.85,2.66
Iversen,548.0,1,0.0,0.0,0.0,0.0,3.12,2.89
Archer,54.0,4,0.5,1.0,0.0,0.0,2.65,2.67
