web_name,id,element_type,form,points_per_game,predicted_points_12,predicted_points_mean,predicted_points_12_raw,predicted_points_mean_raw
Haaland,355.0,4,8.3,7.3,7.47,7.21,7.47,7.21
Trippier,430.0,2,6.3,6.2,5.72,5.57,5.72,5.57
Diaby,599.0,3,5.7,5.4,5.09,5.22,5.09,5.22
Son,516.0,3,8.7,7.3,5.27,5.14,5.27,5.14
Mbeumo,108.0,3,10.7,6.5,7.09,5.01,7.09,5.01
J.Alvarez,343.0,4,4.3,5.5,5.22,4.91,5.22,4.91
Watkins,60.0,4,5.0,6.7,3.8,4.74,3.8,4.74
Sterling,216.0,3,3.0,4.9,2.91,4.46,2.91,4.46
Pope,424.0,1,5.0,3.9,4.02,4.19,4.02,4.19
Andersen,220.0,2,2.7,5.4,4.35,4.08,4.35,4.08
Cash,36.0,2,2.3,3.9,4.82,3.6,4.82,3.6
Souček,542.0,3,1.3,3.3,2.9,2.93,2.9,2.93
Turner,28.0,1,1.0,2.7,1.5,2.74,1.5,2.74
Kaboré,602.0,2,3.0,2.2,2.22,1.98,2.78,2.48
Udogie,519.0,2,-1.0,2.9,-0.0,-0.0,3.03,2.45
