web_name,id,element_type,form,points_per_game,predicted_points_23,predicted_points_mean,predicted_points_23_raw,predicted_points_mean_raw
Nketiah,11.0,4,5.7,2.4,22.38,13.65,22.38,13.65
Haaland,318.0,4,6.8,8.6,17.45,10.19,17.45,10.19
Martinelli,19.0,3,1.7,5.2,14.2,8.61,14.2,8.61
Akanji,610.0,2,2.5,3.0,12.76,7.51,12.76,7.51
White,10.0,2,3.3,4.3,12.1,7.46,12.1,7.46
De Bruyne,301.0,3,3.0,5.4,11.99,6.06,11.99,6.06
Ward,254.0,1,1.7,3.4,5.78,5.7,5.78,5.7
Kane,427.0,4,5.2,6.7,3.9,4.5,3.9,4.5
Rashford,335.0,3,7.8,5.8,3.81,3.45,3.81,3.45
Andreas,346.0,3,2.5,3.6,3.09,3.21,3.09,3.21
Almirón,369.0,3,2.7,5.4,1.98,2.84,1.98,2.84
Shaw,332.0,2,2.0,4.0,2.58,2.68,2.58,2.68
N.Williams,295.0,2,2.3,1.9,2.35,1.88,3.5,2.8
Arrizabalaga,133.0,1,7.5,5.6,0.59,1.44,0.59,1.44
Patterson,197.0,2,0.0,1.8,0.0,0.0,4.8,5.84
