web_name,id,element_type,form,points_per_game,predicted_points_18,predicted_points_mean,predicted_points_18_raw,predicted_points_mean_raw
Haaland,318,4,13.0,9.7,7.54,7.46,7.54,7.46
Mitrović,210,4,15.0,5.8,6.11,6.86,6.11,6.86
Kane,427,4,7.0,6.8,5.36,6.41,5.36,6.41
Martinelli,19,3,8.0,5.7,6.09,6.02,6.09,6.02
Trippier,357,2,12.0,6.8,6.35,5.87,6.35,5.87
De Bruyne,301,3,2.0,6.1,5.47,5.83,5.47,5.83
Rashford,335,3,14.0,5.1,5.68,5.67,5.68,5.67
Almirón,369,3,8.0,6.3,5.61,5.52,5.61,5.52
Andreas,346,3,3.0,4.0,4.22,5.41,4.22,5.41
Arrizabalaga,133,1,9.0,5.4,3.91,5.24,3.91,5.24
Cancelo,306,2,1.0,4.7,5.53,4.94,6.19,5.53
White,10,2,2.0,4.5,4.94,3.77,4.94,3.77
Ward,254,1,1.0,3.8,3.8,3.27,3.8,3.27
N.Williams,295,2,1.0,1.9,3.17,2.43,4.14,3.18
Patterson,197,2,0.0,2.1,0.0,0.0,1.86,2.38
