web_name,id,element_type,form,points_per_game,predicted_points_14,predicted_points_mean,predicted_points_14_raw,predicted_points_mean_raw
Martinelli,19.0,3,5.2,5.5,8.91,7.82,8.91,7.82
Kane,427.0,4,6.4,6.8,6.4,7.81,6.4,7.81
Son,428.0,3,3.0,4.2,5.89,7.12,5.89,7.12
Trippier,357.0,2,6.2,5.5,6.15,6.14,6.15,6.14
Trossard,111.0,3,6.8,6.0,5.96,6.07,5.96,6.07
Cancelo,306.0,2,5.8,5.9,5.66,6.04,5.66,6.04
Groß,104.0,3,2.0,4.7,5.65,5.33,5.65,5.33
Andreas,346.0,3,5.2,4.2,5.12,4.95,5.12,4.95
Mitrović,210.0,4,3.8,5.5,4.02,4.89,4.02,4.89
Haaland,318.0,4,11.0,10.6,4.28,4.54,5.71,6.05
Pope,376.0,1,3.6,4.7,3.91,4.49,3.91,4.49
Young,538.0,2,5.4,4.2,4.05,3.94,4.05,3.94
N.Williams,295.0,2,2.8,2.2,2.08,2.84,2.3,3.13
Ward,254.0,1,6.4,3.3,2.27,2.83,2.27,2.83
Patterson,197.0,2,0.0,2.9,0.0,0.0,2.99,2.88
