web_name,id,element_type,form,points_per_game,predicted_points_37,predicted_points_mean,predicted_points_37_raw,predicted_points_mean_raw
Haaland,318.0,4,7.8,8.1,18.6,4.95,18.6,4.95
Gündogan,300.0,3,7.4,4.3,14.77,4.66,14.77,4.66
Estupiñán,586.0,2,5.7,3.8,10.76,3.18,10.76,3.18
Mitoma,124.0,3,2.7,4.3,10.99,3.07,10.99,3.07
Mac Allister,116.0,3,4.2,4.1,10.53,2.99,10.53,2.99
Bowen,465.0,3,2.7,3.6,4.9,2.1,4.9,2.1
Schär,366.0,2,2.0,3.9,5.24,2.09,5.24,2.09
Kane,427.0,4,8.0,6.7,3.33,2.09,3.33,2.09
Saka,13.0,3,4.4,5.4,4.85,1.91,4.85,1.91
Castagne,258.0,2,2.8,3.0,3.45,1.59,3.45,1.59
Raya,81.0,1,4.6,4.3,3.41,1.24,3.41,1.24
Pinnock,92.0,2,3.8,3.4,3.17,1.15,3.17,1.15
Trippier,357.0,2,3.0,5.2,2.74,0.88,3.66,1.17
Ward,254.0,1,0.0,3.5,0.0,0.0,3.38,1.51
Toney,80.0,4,4.0,5.5,0.0,0.0,4.09,1.36
