web_name,id,element_type,form,points_per_game,predicted_points_19,predicted_points_mean,predicted_points_19_raw,predicted_points_mean_raw
Mitrović,210.0,4,7.5,5.4,13.88,8.17,13.88,8.17
Andreas,346.0,3,4.0,4.1,12.49,7.46,12.49,7.46
Haaland,318.0,4,9.5,9.5,5.16,7.4,5.16,7.4
De Bruyne,301.0,3,1.5,5.8,4.89,7.32,4.89,7.32
Arrizabalaga,133.0,1,6.0,5.1,10.21,7.25,10.21,7.25
Cucurella,112.0,2,4.0,2.6,8.59,6.27,8.59,6.27
Martinelli,19.0,3,9.0,5.9,4.82,5.94,4.82,5.94
Kane,427.0,4,4.5,6.5,4.58,5.62,4.58,5.62
Trippier,357.0,2,10.0,6.8,3.56,4.64,3.56,4.64
Almirón,369.0,3,5.5,6.1,2.8,4.5,2.8,4.5
White,10.0,2,1.5,4.3,2.88,4.37,2.88,4.37
Rashford,335.0,3,9.5,5.1,3.35,4.12,3.35,4.12
Ward,254.0,1,2.0,3.8,3.67,3.19,3.67,3.19
N.Williams,295.0,2,1.0,1.9,2.05,2.17,2.86,3.03
Patterson,197.0,2,0.5,2.0,1.2,1.32,2.87,3.16
