web_name,id,element_type,form,points_per_game,predicted_points_9,predicted_points_mean,predicted_points_9_raw,predicted_points_mean_raw
Maddison,261.0,3,3.3,4.8,6.33,6.21,6.33,6.21
Kane,427.0,4,8.0,7.1,4.71,5.19,4.71,5.19
Cancelo,306.0,2,7.7,6.0,5.72,4.79,5.72,4.79
Pope,376.0,1,5.3,5.4,5.35,4.72,5.35,4.72
Son,428.0,3,7.7,5.1,4.87,4.66,5.52,5.28
Mitrović,210.0,4,3.5,5.9,3.91,4.35,3.91,4.35
N.Williams,295.0,2,1.3,1.9,4.76,4.12,4.76,4.12
Gordon,195.0,3,2.5,3.4,4.5,4.05,4.5,4.05
Haaland,318.0,4,10.7,10.4,4.17,4.02,4.17,4.02
Ward,254.0,1,1.3,1.1,4.52,3.99,4.52,3.99
Trippier,357.0,2,4.3,5.0,4.81,3.99,4.81,3.99
Andreas,346.0,3,1.5,3.4,3.61,3.77,3.61,3.77
Emerson Royal,445.0,2,1.7,3.9,2.84,3.3,3.22,3.74
S.Longstaff,370.0,3,3.0,2.0,1.77,1.51,3.95,3.37
Patterson,197.0,2,6.0,2.9,0.0,0.0,0.73,1.47
