web_name,id,element_type,form,points_per_game,predicted_points_9,predicted_points_mean,predicted_points_9_raw,predicted_points_mean_raw
Trippier,430,2,12.0,6.1,6.42,6.25,6.42,6.25
Andersen,220,2,9.0,6.4,5.4,5.47,5.4,5.47
Watkins,60,4,12.3,7.4,4.61,5.13,4.61,5.13
J.Alvarez,343,4,3.7,6.0,4.79,4.88,4.79,4.88
Maddison,504,3,5.7,5.9,5.14,4.81,5.14,4.81
Haaland,355,4,3.3,6.9,5.64,4.7,5.64,4.7
Foden,353,3,5.0,4.8,3.37,4.57,3.37,4.57
Neto,567,3,6.0,5.4,4.03,4.54,4.03,4.54
Son,516,3,8.0,6.8,4.45,4.47,4.45,4.47
Cash,36,2,4.7,4.5,3.77,4.08,3.77,4.08
Souček,542,3,6.0,4.1,3.72,4.0,3.72,4.0
Turner,28,1,3.3,3.0,4.66,3.79,4.66,3.79
Pope,424,1,4.3,3.5,3.3,3.58,3.3,3.58
Udogie,519,2,2.3,4.0,3.24,3.1,3.24,3.1
Kaboré,602,2,2.0,1.9,2.05,2.23,2.64,2.88
