web_name,id,element_type,form,points_per_game,predicted_points_16,predicted_points_mean,predicted_points_16_raw,predicted_points_mean_raw
Trossard,111.0,3,4.8,6.0,7.21,7.21,7.21,7.21
Trippier,357.0,2,8.0,6.4,7.0,7.0,7.0,7.0
Groß,104.0,3,4.4,5.2,6.63,6.63,6.63,6.63
Cancelo,306.0,2,2.0,5.3,6.19,6.19,6.19,6.19
Haaland,318.0,4,5.0,10.2,6.12,6.12,6.59,6.59
Jesus,28.0,4,3.8,5.2,6.01,6.01,6.01,6.01
Alisson,281.0,1,7.6,4.8,5.65,5.65,5.65,5.65
Saka,13.0,3,4.8,5.6,5.47,5.47,5.47,5.47
Martinelli,19.0,3,4.0,5.5,5.28,5.28,5.28,5.28
Kane,427.0,4,5.6,6.5,5.22,5.22,5.22,5.22
Andreas,346.0,3,5.4,4.2,4.67,4.67,4.67,4.67
Ward,254.0,1,6.4,3.5,4.03,4.03,4.03,4.03
Young,538.0,2,1.8,3.5,3.8,3.8,3.8,3.8
N.Williams,295.0,2,3.2,2.1,3.68,3.68,3.68,3.68
Patterson,197.0,2,0.4,2.4,0.93,0.93,4.62,4.62
