web_name,id,element_type,form,points_per_game,predicted_points_35,predicted_points_mean,predicted_points_35_raw,predicted_points_mean_raw
Haaland,318,4,10.8,8.3,6.14,6.26,6.14,6.26
March,107,3,3.8,4.6,5.41,6.03,5.41,6.03
Martinelli,19,3,5.8,5.6,7.81,5.75,7.81,5.75
Mitoma,124,3,2.0,4.4,5.72,5.71,5.72,5.71
Kane,427,4,7.2,6.6,6.87,5.29,6.87,5.29
Saka,13,3,3.6,5.6,6.84,4.92,6.84,4.92
Trippier,357,2,1.8,5.4,2.85,4.59,2.85,4.59
Estupiñán,586,2,4.0,3.7,3.65,4.05,3.65,4.05
Schär,366,2,3.2,4.2,4.3,4.0,4.3,4.0
Toney,80,4,4.3,5.6,4.69,3.93,4.69,3.93
Bowen,465,3,4.3,3.7,3.94,3.81,3.94,3.81
Castagne,258,2,3.2,3.2,3.95,2.87,3.95,2.87
Raya,81,1,3.3,4.3,3.57,2.81,3.57,2.81
Pinnock,92,2,2.3,3.3,2.26,2.14,2.26,2.14
Ward,254,1,0.0,3.5,0.0,0.0,5.69,2.63
