assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,0,0,0.0,0.0,0,37605,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,0,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,0,3398,1,52817,124,0.0,0.0,Özil,0
0,2,0,0,0.0,0.0,0,39476,0,0,-2,2,0.0,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,48,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,0,10250,0,18816,14,0.0,0.0,Sokratis,0
0,3,0,70,75.0,100.0,0,41270,0,0,-1,1,25.8,0,2,0.6,0.3,0,David,0.3,9,0,16.5,False,99.4,479,Illness - 75% chance of playing,2020-12-26T18:00:15.638627Z,54,0,0,0,41270.jpg,1.1,0,0,Luiz Moreira Marinho,0.8,False,,d,1,3,40.0,9,39032,155,88090,1344,0.1,1.7,David Luiz,0
1,4,4,146,100.0,75.0,3,54694,0,0,-6,6,201.2,1,3,2.8,1.7,0,Pierre-Emerick,2.3,16,3,76.0,False,186.6,1166,,2020-12-19T20:30:20.434896Z,114,1,0,0,54694.jpg,3.6,0,0,Aubameyang,7.3,False,,a,1,3,372.0,47,492053,5001,3133827,9485,0.2,4.1,Aubameyang,2
0,5,0,3,100.0,100.0,0,58822,0,0,-4,4,0.0,0,2,0.7,0.2,0,Cédric,0.2,0,0,0.0,False,0.0,5,,2020-09-23T09:00:14.881983Z,46,0,0,0,58822.jpg,1.0,0,0,Soares,0.2,False,,a,1,3,0.0,1,3826,68,34370,167,0.0,0.2,Cédric,0
0,6,5,131,,,2,59966,0,0,-3,3,126.5,0,4,2.5,2.0,8,Alexandre,2.0,8,4,63.0,False,187.8,747,,,82,0,0,0,59966.jpg,3.2,0,0,Lacazette,2.6,False,,a,1,3,318.0,39,304439,19231,455876,2077,0.2,4.8,Lacazette,2
0,7,0,16,100.0,100.0,0,69140,0,0,0,0,1.0,0,2,0.7,0.2,1,Shkodran,0.2,1,0,1.3,False,11.6,45,,2020-08-15T10:00:11.331812Z,50,0,0,0,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,3,12367,200,12232,102,0.0,0.6,Mustafi,0
0,8,6,267,,,3,80201,0,0,-1,1,0.0,2,1,3.2,2.7,8,Bernd,2.7,19,0,31.4,False,313.2,1350,,,49,0,0,1,80201.jpg,3.6,0,36,Leno,7.1,False,,a,1,3,0.0,54,445628,20162,561549,8308,0.6,11.0,Leno,0
0,9,1,106,100.0,100.0,2,84450,0,0,-3,3,54.5,0,3,2.0,1.5,8,Granit,1.5,12,1,24.1,False,137.8,814,,2020-12-13T22:30:16.182130Z,52,0,0,0,84450.jpg,2.0,1,0,Xhaka,0.4,False,,a,1,3,49.0,22,25349,2060,62503,380,0.3,4.2,Xhaka,2
0,10,0,5,100.0,100.0,0,92371,0,0,-1,1,0.1,0,2,0.7,0.2,1,Pablo,0.2,1,0,1.4,False,14.0,90,,2020-08-15T10:00:11.357231Z,44,0,0,0,92371.jpg,1.0,0,0,Marí,0.0,False,,a,1,3,0.0,1,2497,1569,1258,124,0.0,0.2,Marí,1
