,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,0.0,0.0,232223,0,0,-1,1,0,4,0.0,0.0,0,Folarin,0.0,1,False,Transferred to Monaco,2023-08-31T08:55:15.272751Z,44,232223.jpg,0.0,Balogun,0.3,False,,u,1,3,0,10024,0,56005,1065,0.0,0.0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,568.0,56.0,557.0,59.0,543.0,57.0,572.0,57.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,530.0,90.0,524.0,55.0,576.0,60.0,293.0,48.0,0.0,0.0
1,,,58822,0,0,-1,1,0,2,0.5,-0.5,0,Cédric,0.0,2,False,,,39,58822.jpg,0.0,Alves Soares,0.4,False,,a,1,3,0,18157,2068,21945,1368,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,432.0,156.0,413.0,152.0,386.0,137.0,436.0,155.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,697.0,219.0,364.0,119.0,439.0,154.0,245.0,96.0,0.0,0.0
2,100.0,100.0,153256,0,0,-1,1,0,3,0.5,-0.5,0,Mohamed,0.0,3,False,,2023-08-11T13:00:06.079379Z,44,153256.jpg,0.0,Elneny,0.1,False,,a,1,3,0,6846,779,11131,514,0.0,0.0,M.Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,550.0,206.0,539.0,207.0,523.0,203.0,554.0,210.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,496.0,274.0,500.0,182.0,558.0,211.0,431.0,139.0,0.0,0.0
3,100.0,100.0,438098,0,0,-1,1,0,3,1.2,0.2,0,Fábio,0.7,4,False,,2023-09-29T10:30:07.948136Z,54,438098.jpg,3.2,Ferreira Vieira,0.1,False,,a,1,3,16,9793,232,12126,897,0.1,3.0,Fábio Vieira,185,0,3,1,2,0,0,0,0,0,0,0,45,45.6,56.5,58.0,15.9,2,0.41,0.32,0.73,1.41,266.0,111.0,162.0,101.0,140.0,83.0,216.0,99.0,4.0,,,,,,0.2,0.0,0.16,0.36,0.69,0.97,133.0,87.0,291.0,137.0,118.0,51.0,376.0,119.0,0.97,0.49
4,100.0,100.0,226597,0,0,-3,3,0,2,5.5,4.5,8,Gabriel,5.0,5,False,,2023-09-30T23:00:07.672676Z,47,226597.jpg,3.4,dos Santos Magalhães,12.7,False,,a,1,3,24,373023,72059,2032056,28484,1.1,5.1,Gabriel,474,0,0,3,3,0,0,0,1,0,0,2,109,97.8,9.7,8.0,11.6,5,0.07,0.04,0.11,4.75,155.0,61.0,343.0,123.0,319.0,108.0,270.0,91.0,,,,,,,0.01,0.0,0.01,0.02,0.9,0.57,335.0,41.0,34.0,12.0,104.0,36.0,32.0,10.0,0.95,0.57
5,,,219847,0,0,-4,4,0,3,4.2,3.2,4,Kai,3.7,6,False,,,71,219847.jpg,2.4,Havertz,1.6,False,,a,1,3,19,29853,1871,327815,4275,0.5,2.7,Havertz,461,1,1,2,4,0,0,0,3,0,0,0,50,87.0,96.9,92.0,27.6,5,1.58,0.53,2.11,4.82,178.0,70.0,86.0,63.0,83.0,50.0,103.0,58.0,,,,,,,0.31,0.0,0.1,0.41,0.94,0.78,29.0,16.0,69.0,31.0,186.0,77.0,136.0,41.0,0.98,0.39
6,100.0,100.0,205651,-1,1,-1,1,0,4,3.2,2.2,1,Gabriel,2.7,8,False,,2023-09-30T23:30:06.990139Z,79,205651.jpg,2.7,Fernando de Jesus,3.5,False,,a,1,3,16,368391,19149,315950,23540,0.3,2.0,G.Jesus,295,1,1,2,2,0,0,0,2,0,0,2,45,67.2,57.9,130.0,25.4,3,1.44,0.30,1.74,2.92,221.0,24.0,158.0,21.0,52.0,20.0,120.0,21.0,,,,,3.0,,0.44,0.0,0.09,0.53,0.89,0.61,14.0,5.0,125.0,17.0,161.0,24.0,93.0,19.0,0.92,0.61
7,100.0,100.0,85955,0,0,-1,1,0,3,1.8,0.8,2,Jorge Luiz,1.3,9,False,,2023-08-07T15:30:05.168632Z,54,85955.jpg,1.2,Frello Filho,0.2,False,,a,1,3,7,4930,370,12773,560,0.2,1.3,Jorginho,146,0,0,1,2,0,0,0,1,0,0,0,23,21.6,18.2,0.0,3.9,1,0.00,0.10,0.10,1.99,330.0,143.0,284.0,150.0,702.0,301.0,354.0,163.0,,,,,,,0.0,0.0,0.06,0.06,1.23,1.23,118.0,73.0,213.0,100.0,329.0,155.0,336.0,103.0,0.62,0.62
8,,,440854,0,0,-2,2,0,2,0.5,-0.5,0,Jakub,0.0,10,False,,,43,440854.jpg,1.0,Kiwior,0.1,False,,a,1,3,2,2323,122,6143,283,0.0,0.5,Kiwior,91,0,0,0,2,0,0,0,0,0,0,0,14,16.4,4.9,14.0,3.6,1,0.32,0.03,0.35,0.79,345.0,130.0,358.0,132.0,278.0,86.0,358.0,128.0,,,,,,,0.32,0.0,0.03,0.35,0.78,1.98,588.0,154.0,480.0,184.0,346.0,122.0,429.0,165.0,0.99,0.0
9,0.0,0.0,479683,0,0,0,0,0,3,0.0,0.0,0,Marcus,0.0,11,False,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,479683.jpg,0.0,Oliveira Alencar,0.1,False,,u,1,3,0,819,0,11054,125,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,629.0,246.0,626.0,247.0,617.0,246.0,634.0,250.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,432.0,242.0,592.0,224.0,635.0,250.0,504.0,174.0,0.0,0.0
