assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,1,256,100.0,75.0,5,37605,-1,1,-6,6,582.9,34,27,0,3,1.0,-0.4,0,Mesut,0.0,20,1,99.8,139,75,15,False,223.6,286,118,1439,,2020-06-28T19:30:23.392750Z,69,0,0,0,37605.jpg,2.9,0,0,Özil,1.1,False,,a,1,3,190.0,202,109,53,246015,66,307003,462,0.0,7.7,Özil,1
0,0,3,0.0,0.0,1,57249,0,0,-3,3,33.9,367,183,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,427,185,16,False,5.4,479,202,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Aug,2019-09-02T23:30:14.832021Z,67,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.7,False,,n,1,3,46.0,345,166,4,23217,16,117315,40,0.0,0.6,Mkhitaryan,1
2,2,389,100.0,100.0,10,84450,0,0,-4,4,292.3,138,85,0,3,4.3,2.8,1,Granit,3.3,29,1,87.8,166,86,18,False,471.4,137,51,2451,,2020-06-17T22:00:16.575871Z,51,0,0,0,84450.jpg,2.4,0,0,Xhaka,0.8,False,,a,1,3,110.0,261,133,71,79490,1678,135829,694,0.6,13.9,Xhaka,9
1,0,241,100.0,100.0,3,198849,0,0,-3,3,203.0,189,120,0,3,1.1,-0.4,0,Lucas,0.1,22,1,68.5,222,113,19,False,281.0,243,97,1438,,2020-06-19T01:30:19.551092Z,47,0,0,0,198849.jpg,1.7,0,0,Torreira,1.0,False,,a,1,3,199.0,195,105,45,100067,87,181034,167,0.0,9.6,Torreira,6
0,0,0,0.0,0.0,0,153256,0,0,-3,3,0.0,548,219,6,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,566,221,20,False,0.0,563,218,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Aug,2019-08-31T11:30:14.714406Z,42,0,0,0,153256.jpg,0.0,0,0,Elneny,0.5,False,,n,1,3,0.0,522,208,0,130986,74,131748,349,0.0,0.0,Elneny,0
2,2,272,,,3,242166,0,0,-4,4,235.1,166,103,0,3,1.3,-0.2,0,Matteo,0.3,31,0,71.6,216,110,21,False,333.6,212,85,1744,,,41,0,0,0,242166.jpg,2.0,0,0,Guendouzi,7.1,False,,a,1,3,146.0,236,123,48,1273202,10121,1193838,11086,0.1,11.7,Guendouzi,6
1,10,484,100.0,100.0,8,41270,0,0,-3,3,105.7,267,76,2,2,3.3,1.8,2,David,2.3,39,2,97.5,149,37,106,False,676.2,52,18,2660,,2020-06-28T16:30:14.772979Z,57,0,0,0,41270.jpg,3.0,2,0,Luiz Moreira Marinho,4.9,False,,a,1,3,191.0,200,43,92,333346,7717,647493,1423,0.4,16.1,David Luiz,5
0,1,145,,,3,98980,0,0,-2,2,0.0,562,52,0,1,5.3,3.8,4,Emiliano,4.3,6,0,21.2,382,25,427,False,210.8,295,25,590,,,43,0,0,0,98980.jpg,4.3,0,28,Martínez,3.1,False,,a,1,3,0.0,539,47,30,257910,20229,51304,1688,1.0,7.0,Martínez,1
1,5,197,0.0,0.0,3,101184,0,0,-2,2,113.5,256,69,0,2,0.0,0.0,0,Calum,0.0,15,1,58.7,259,81,467,False,272.0,252,100,1102,Knee injury - Unknown return date,2019-12-29T14:30:27.183032Z,43,0,0,0,101184.jpg,3.0,0,0,Chambers,0.6,False,,i,1,3,203.0,191,39,42,140639,13,173670,65,0.0,9.8,Chambers,5
2,3,280,100.0,100.0,7,182539,0,0,-3,3,394.2,94,67,1,3,3.3,1.8,0,Daniel,2.3,18,0,82.6,189,96,469,False,312.4,226,92,1526,,2019-11-06T17:30:16.584319Z,52,0,0,0,182539.jpg,2.4,0,0,Ceballos Fernández,3.0,False,,a,1,3,119.0,256,132,53,1030863,1079,1165226,922,0.4,10.2,Ceballos,1
