assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,0,0,0.0,0.0,0,37605,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,0,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,0,3324,6,50940,409,0.0,0.0,Özil,0
0,2,0,0,0.0,0.0,0,39476,0,0,-1,1,0.0,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,0,10219,3,18445,100,0.0,0.0,Sokratis,0
0,3,0,51,100.0,100.0,0,41270,0,0,0,0,9.8,0,2,0.5,0.5,0,David,0.0,5,0,9.7,False,66.6,319,,2020-10-25T21:30:13.186040Z,55,0,0,0,41270.jpg,1.4,0,0,Luiz Moreira Marinho,0.9,False,,a,1,3,21.0,7,36653,1427,71371,2668,0.0,1.3,David Luiz,0
1,4,1,115,100.0,100.0,3,54694,-1,1,-4,4,162.2,0,3,4.8,4.8,3,Pierre-Emerick,4.3,10,2,49.1,False,139.0,806,,2020-10-08T09:00:12.305506Z,116,0,0,0,54694.jpg,3.7,0,0,Aubameyang,11.8,False,,a,1,3,190.0,33,456043,4120,2766476,73832,0.4,2.8,Aubameyang,2
0,5,0,0,100.0,100.0,0,58822,0,0,-3,3,0.0,0,2,0.5,0.5,0,Cédric,0.0,0,0,0.0,False,0.0,0,,2020-09-23T09:00:14.881983Z,47,0,0,0,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,0,3086,101,32016,364,0.0,0.0,Cédric,0
0,6,3,88,,,2,59966,-1,1,-2,2,73.8,0,4,1.8,1.8,0,Alexandre,1.3,5,3,38.3,False,126.4,485,,,83,0,0,0,59966.jpg,3.9,0,0,Lacazette,3.0,False,,a,1,3,186.0,27,267543,1206,391216,15250,0.2,3.3,Lacazette,1
0,7,0,13,100.0,100.0,0,69140,0,0,0,0,1.0,0,2,0.8,0.8,0,Shkodran,0.3,1,0,1.3,False,11.6,44,,2020-08-15T10:00:11.331812Z,50,0,0,0,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,2,11132,193,10936,183,0.1,0.4,Mustafi,0
0,8,5,179,,,3,80201,0,0,0,0,0.0,2,1,6.8,6.8,10,Bernd,6.3,10,0,20.3,False,202.8,810,,,50,0,0,0,80201.jpg,4.2,0,25,Leno,9.0,False,,a,1,3,0.0,38,388285,10446,365874,9262,1.3,7.6,Leno,0
0,9,0,57,,,2,84450,0,0,-2,2,34.5,0,3,1.5,1.5,3,Granit,1.0,6,0,12.7,False,62.6,497,,,53,0,0,0,84450.jpg,1.9,0,0,Xhaka,0.5,False,,a,1,3,30.0,13,21890,398,53617,860,0.2,2.5,Xhaka,1
0,10,0,0,25.0,25.0,0,92371,0,0,-1,1,0.0,0,2,0.1,0.1,0,Pablo,0.0,0,0,0.0,False,0.0,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.357231Z,44,0,0,0,92371.jpg,0.0,0,0,Marí,0.0,False,,d,1,3,0.0,0,305,10,743,18,0.0,0.0,Marí,0
