chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
100.0,100.0,192895,0,0,-3,3,1,2,2.9,4.1,6,Kieran,3.6,17,False,,2021-04-03T22:00:20.300277Z,52,192895.jpg,3.6,Tierney,4.3,False,,a,1,3,96,1021214,0,1490791,0,0.7,18.5,Tierney,2299,1,4,8,27,0,0,0,4,0,0,4,483,444.6,486.0,195.0,112.7,162,64,60,11,193,46,112,20,,,,,,
100.0,100.0,195735,0,0,-3,3,2,3,6.1,8.7,16,Nicolas,8.2,18,False,,2020-11-22T18:30:18.803078Z,77,195735.jpg,3.9,Pépé,2.4,False,,a,1,3,114,284328,0,262799,0,1.1,14.8,Pépé,1606,10,3,4,21,0,0,0,1,1,0,11,351,407.4,230.2,721.0,135.7,181,70,179,113,43,23,80,48,5.0,,,,3.0,
0.0,0.0,198849,0,0,-3,3,0,3,0.0,0.0,0,Lucas,0.0,19,False,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,198849.jpg,0.0,Torreira,0.1,False,,u,1,3,0,3459,0,17710,0,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,677,279,669,279,662,277,680,279,,,,,,
100.0,100.0,200641,0,0,-4,4,0,3,0.5,0.5,0,Reiss,0.0,21,False,,2020-12-31T11:00:17.325196Z,51,200641.jpg,1.0,Nelson,0.0,False,,a,1,3,2,2497,0,7021,0,0.0,0.4,Nelson,70,0,0,0,0,0,0,0,0,0,0,0,2,4.2,9.7,10.0,2.4,485,204,425,196,412,190,469,200,,,,,,
,,205533,0,0,-7,7,0,4,0.9,0.5,0,Edward,0.0,22,False,,,53,205533.jpg,2.1,Nketiah,0.5,False,,a,1,3,36,68796,0,168266,0,0.0,6.8,Nketiah,411,2,1,1,6,0,0,0,0,0,0,5,120,116.6,97.3,211.0,42.1,359,43,275,42,180,46,314,46,,,,,,
100.0,100.0,209289,0,0,-3,3,1,3,5.1,5.3,3,Emile,4.8,23,False,,2021-04-11T21:00:27.947860Z,42,209289.jpg,3.7,Smith Rowe,3.5,False,,a,1,3,74,759912,0,493705,0,1.1,17.6,Smith Rowe,1438,2,5,9,10,0,0,0,0,0,0,3,308,258.2,336.8,214.0,81.0,257,109,112,75,179,96,198,103,,,,,,
100.0,100.0,223340,0,0,-4,4,2,3,2.9,2.7,1,Bukayo,2.2,24,False,,2021-04-11T21:00:27.965611Z,51,223340.jpg,3.6,Saka,7.2,False,,a,1,3,114,1921453,0,1914134,0,0.4,22.4,Saka,2554,5,5,8,31,1,0,0,1,0,0,8,414,493.0,649.8,978.0,212.2,129,47,37,28,20,8,27,18,3.0,,6.0,,,
0.0,0.0,242166,0,0,-3,3,0,3,0.0,0.0,0,Matteo,0.0,25,False,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,242166.jpg,0.0,Guendouzi,0.1,False,,u,1,3,0,2725,0,13207,0,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,679,281,671,281,664,279,682,281,,,,,,
100.0,100.0,444145,0,0,-1,1,0,3,3.3,3.3,1,Gabriel Teodoro,2.8,26,False,,2021-01-09T23:30:20.360437Z,49,444145.jpg,2.6,Martinelli Silva,0.3,False,,a,1,3,36,118159,0,102890,0,0.6,7.3,Martinelli,582,2,1,4,3,0,0,0,0,0,0,0,107,141.6,133.7,292.0,56.6,337,144,233,141,137,80,263,123,,,,,,
0.0,0.0,462424,0,0,-5,5,0,2,0.0,0.0,0,William,0.0,27,False,Joined Nice on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-04T23:00:20.315877Z,40,462424.jpg,0.0,Saliba,0.4,False,,u,1,3,0,30961,0,228228,0,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,556,213,538,214,515,204,566,213,,,,,,
100.0,0.0,131897,0,0,-4,4,0,1,0.0,0.0,0,Mathew,1.2,70,False,,2021-05-19T00:00:25.449384Z,41,131897.jpg,2.6,Ryan,5.6,False,,a,1,3,37,514455,0,1323942,0,0.3,9.0,Ryan,1260,0,0,3,21,0,0,0,1,0,24,0,216,193.6,10.7,2.0,20.6,292,23,417,3,440,4,380,23,,,,,,
100.0,100.0,47431,0,0,-5,5,1,3,3.3,3.1,0,Willian,2.6,478,False,,2021-03-19T01:00:27.116549Z,75,47431.jpg,3.1,Borges Da Silva,2.7,False,,a,1,3,78,810536,0,1379122,0,0.3,10.4,Willian,1398,1,7,3,17,0,0,0,0,0,0,9,306,256.2,534.8,228.0,102.3,260,111,51,39,171,94,136,78,1.0,,2.0,,,
100.0,100.0,226597,0,0,-1,1,1,2,3.9,5.1,6,Gabriel,4.6,494,False,,2020-12-26T18:00:16.873188Z,49,226597.jpg,3.4,Magalhães,4.6,False,,a,1,3,78,1061292,0,1202841,0,0.9,15.9,Gabriel,1996,2,0,6,24,0,0,0,2,1,0,7,385,454.8,49.5,229.0,73.3,156,62,343,116,169,31,224,69,,,,,,
100.0,100.0,182539,0,0,-3,3,0,3,1.7,1.3,0,Daniel,0.8,501,False,,2021-01-18T22:00:23.859834Z,47,182539.jpg,2.5,Ceballos Fernández,0.7,False,,a,1,3,62,161696,0,257622,0,0.2,13.2,Ceballos,1609,0,4,6,17,0,0,0,4,0,0,7,331,359.8,422.3,141.0,92.4,204,81,77,55,246,123,162,88,4.0,,,,,
100.0,100.0,153256,0,0,-3,3,1,3,3.9,3.9,0,Mohamed Naser,3.4,526,False,,2020-11-16T22:00:27.131231Z,42,153256.jpg,2.2,El Sayed Elneny,1.3,False,,a,1,3,50,337581,0,304271,0,0.8,11.9,Elneny,1538,1,0,5,20,0,0,0,3,0,0,3,258,200.2,99.9,79.0,37.8,285,122,270,156,314,156,331,147,,,,,,
0.0,0.0,113534,0,0,0,0,0,1,0.0,0.0,0,Matt,0.0,527,False,Transferred to Hibernian,2021-01-09T10:26:30.856796Z,40,113534.jpg,0.0,Macey,0.9,False,,u,1,3,0,171821,0,152715,0,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,529,53,509,26,485,21,539,53,,,,,,
100.0,100.0,115918,0,0,-1,1,0,1,0.5,0.5,0,Rúnar Alex,0.0,547,False,,2021-02-21T22:00:20.597889Z,44,115918.jpg,1.0,Rúnarsson,0.1,False,,a,1,3,1,5725,0,5378,0,0.0,0.2,Rúnarsson,15,0,0,0,0,0,0,0,0,0,2,0,8,16.6,0.0,0.0,1.7,460,37,588,57,570,53,481,37,,,,,,
100.0,100.0,167199,0,0,-1,1,0,3,1.9,2.3,3,Thomas,1.8,567,False,,2021-02-06T17:30:27.330271Z,49,167199.jpg,2.0,Partey,0.3,False,,a,1,3,47,122595,0,115671,0,0.4,9.6,Partey,1529,0,2,6,18,0,0,0,5,0,0,0,273,280.6,191.9,107.0,58.2,242,102,196,119,275,137,260,121,,,,,,
100.0,100.0,184029,0,0,-4,4,1,3,2.7,3.7,6,Martin,3.2,645,False,,2021-04-09T00:30:22.440274Z,56,184029.jpg,2.9,Ødegaard,0.6,False,,a,1,3,40,266756,0,221553,0,0.6,7.1,Ødegaard,861,1,2,3,12,0,0,0,0,0,0,3,183,137.0,271.8,147.0,55.5,341,145,149,98,236,119,265,124,2.0,,,,,
,,439482,0,0,0,0,0,3,0.5,0.5,0,Miguel,0.0,689,False,,,45,439482.jpg,0.0,Azeez,0.0,False,,a,1,3,0,524,0,221,0,0.0,0.0,Azeez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,641,254,632,255,620,251,646,256,,,,,,
,,98980,0,0,8,-8,2,1,3.0,3.2,3,Emiliano,3.7,12,True,,,53,98980.jpg,4.9,Martínez,37.9,False,,a,2,7,186,4031919,0,1763437,0,0.7,35.1,Martínez,3420,0,0,15,46,0,1,0,1,0,142,27,825,1025.6,20.0,0.0,104.3,7,3,389,1,703,76,129,2,,,,,,
100.0,100.0,21205,0,0,0,0,0,1,-0.5,-0.5,0,Tom,0.0,28,False,,2020-08-15T10:00:11.430596Z,45,21205.jpg,0.0,Heaton,0.1,False,,a,2,7,0,6442,0,7642,0,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,616,77,604,60,590,56,623,77,,,,,,
,,37339,0,0,-3,3,1,2,0.0,-0.2,0,Ahmed,0.3,29,False,,,42,37339.jpg,2.4,El Mohamady,0.3,False,,a,2,7,33,52535,0,66391,0,0.1,7.9,El Mohamady,833,0,0,3,9,0,0,0,2,0,0,4,190,170.4,201.8,65.0,43.9,313,120,189,41,330,111,308,104,,,,,,
0.0,0.0,40564,0,0,-2,2,0,3,0.0,0.0,0,Henri,0.0,30,False,Not included in Aston Villa's 25-man Premier League squad,2020-10-20T22:30:18.217167Z,43,40564.jpg,0.0,Lansbury,0.1,False,,u,2,7,0,6231,0,20057,0,0.0,0.0,Lansbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,571,215,556,217,537,208,580,219,,,,,,
,,47390,0,0,-3,3,0,2,-0.5,-0.5,0,Neil,0.0,31,False,,,42,47390.jpg,-1.0,Taylor,0.2,False,,a,2,7,-1,19210,0,34156,0,0.0,-0.2,Taylor,15,0,0,0,2,0,0,0,1,0,0,0,1,0.8,0.7,0.0,0.2,500,183,466,178,531,216,504,183,,,,,,
