assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,24,100.0,100.0,0,69140,0,0,-3,3,0.8,0,2,1.5,1.5,0,Shkodran,1.0,2,0,7.5,1,False,19.8,90,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,4,7545,97,31196,173,0.2,0.8,Mustafi,0
0,0,26,100.0,75.0,0,98745,0,0,-1,1,22.7,0,2,0.5,0.5,0,Héctor,0.2,6,0,6.9,2,False,30.8,262,,2019-11-27T11:30:17.257265Z,54,0,0,0,98745.jpg,0.3,0,0,Bellerín,0.3,False,,a,1,3,15.0,1,33378,142,28480,1123,0.0,0.2,Bellerín,2
1,1,165,100.0,100.0,1,111457,-1,1,-3,3,133.2,0,2,1.5,1.5,2,Sead,1.0,13,0,32.8,3,False,145.0,828,,2019-11-21T14:30:19.207005Z,52,0,0,0,111457.jpg,1.8,0,0,Kolasinac,0.7,False,,a,1,3,51.0,22,44868,295,104614,654,0.2,4.2,Kolasinac,2
2,3,92,100.0,100.0,1,154043,-1,1,-4,4,108.2,1,2,0.5,0.5,0,Ainsley,0.0,10,0,27.1,4,False,136.4,490,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,2.8,False,,a,1,3,31.0,17,544553,111,552500,3571,0.0,3.7,Maitland-Niles,0
0,2,205,,,2,39476,-1,1,-1,1,30.1,0,2,0.5,0.5,0,Sokratis,0.0,19,1,40.9,5,False,307.4,1170,,,49,0,0,0,39476.jpg,2.4,0,0,Papastathopoulos,1.7,False,,a,1,3,71.0,31,106047,241,128220,2767,0.0,6.3,Sokratis,4
0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,6,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28007,2,87327,95,0.0,2.0,Monreal,0
0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,7,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,452,10,12356,30,0.0,0.0,Koscielny,0
0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,0.5,0,Konstantinos,0.0,0,0,0.0,8,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,670,10,3991,28,0.0,0.0,Mavropanos,0
0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,281,4,2395,8,0.0,0.0,Jenkinson,0
0,0,9,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.7,0.7,0,Rob,0.2,2,0,1.1,10,False,8.4,76,,2019-11-22T10:00:21.031396Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,1,10142,76,10508,200,0.0,0.2,Holding,0
2,15,342,,,2,54694,0,0,-1,1,232.3,2,4,6.0,6.0,2,Pierre-Emerick,5.5,23,10,124.0,11,False,433.4,1350,,,109,0,0,0,54694.jpg,5.9,0,0,Aubameyang,23.4,False,,a,1,3,575.0,89,1424130,15500,1638679,46821,0.5,8.2,Aubameyang,2
2,6,160,100.0,100.0,0,59966,0,0,-2,2,156.2,1,4,6.3,6.3,7,Alexandre,5.8,12,5,80.6,12,False,237.8,661,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,4.7,0,0,Lacazette,2.4,False,,a,1,3,411.0,47,181243,2367,266057,8156,0.6,5.1,Lacazette,2
0,0,0,0.0,0.0,0,205533,0,0,-2,2,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,13,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.7,False,,n,1,3,0.0,0,44814,480,106109,1165,0.0,0.0,Nketiah,0
0,3,301,,,2,80201,0,0,0,0,0.0,0,1,4.7,4.7,3,Bernd,4.2,23,0,47.3,14,False,474.2,1350,,,50,0,0,1,80201.jpg,3.4,0,66,Leno,5.9,False,,a,1,3,0.0,51,341467,2130,339371,5908,0.8,10.2,Leno,2
2,1,100,100.0,100.0,0,37605,0,0,-3,3,259.5,0,3,4.3,4.3,5,Mesut,3.8,10,0,43.2,15,False,84.6,518,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,3.2,0,0,Özil,0.9,False,,a,1,3,88.0,19,44428,2023,101221,1345,0.5,2.6,Özil,0
0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,16,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,,n,1,3,46.0,4,22682,7,113661,157,0.0,0.6,Mkhitaryan,1
1,0,135,100.0,100.0,2,84450,0,0,-3,3,131.2,0,3,1.5,1.5,2,Granit,1.0,17,0,35.9,18,False,181.2,919,,2019-09-08T21:00:18.761460Z,52,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.7,False,,a,1,3,46.0,23,31372,163,94792,439,0.2,4.4,Xhaka,4
0,0,90,100.0,100.0,1,198849,0,0,-3,3,87.5,0,3,2.0,2.0,2,Lucas,1.5,10,1,34.5,19,False,111.4,543,,2019-09-08T21:00:18.773636Z,47,0,0,0,198849.jpg,1.8,0,0,Torreira,1.2,False,,a,1,3,145.0,22,59455,419,126442,1278,0.3,4.7,Torreira,1
0,0,0,0.0,0.0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,20,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.9,False,,n,1,3,0.0,0,113020,1838,85012,1974,0.0,0.0,Elneny,0
2,2,207,,,2,242166,0,0,1,-1,213.6,0,3,1.7,1.7,0,Matteo,1.2,20,0,60.8,21,False,267.4,1218,,,46,0,0,0,242166.jpg,2.4,0,0,Guendouzi,8.6,False,,a,1,3,126.0,34,803018,2544,619134,18263,0.3,7.4,Guendouzi,4
0,3,217,100.0,100.0,1,41270,0,0,-2,2,55.5,1,2,1.3,1.3,0,David,0.8,23,2,53.2,106,False,352.6,1260,,2019-11-28T23:00:21.861570Z,58,0,0,0,41270.jpg,2.5,0,0,Luiz Moreira Marinho,5.4,False,,a,1,3,123.0,35,147273,1022,421947,5434,0.1,6.0,David Luiz,3
0,0,0,,,0,98980,0,0,-1,1,0.0,0,1,0.5,0.5,0,Emiliano,0.0,0,0,0.0,427,False,0.0,0,,,44,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,,a,1,3,0.0,0,4241,42,11143,123,0.0,0.0,Martínez,0
0,2,127,,,2,101184,0,0,-1,1,92.2,0,2,1.0,1.0,0,Calum,0.5,11,1,45.9,467,False,175.4,810,,,44,0,0,0,101184.jpg,2.7,0,0,Chambers,1.5,False,,a,1,3,193.0,27,133350,606,100758,3783,0.1,6.1,Chambers,4
2,3,130,0.0,0.0,1,182539,0,0,-2,2,183.0,1,3,0.0,0.0,0,Daniel,0.0,10,0,42.9,469,False,150.0,659,Hamstring injury - Expected back 21 Dec,2019-11-06T17:30:16.584319Z,53,0,0,0,182539.jpg,2.5,0,0,Ceballos Fernández,3.8,False,,i,1,3,96.0,27,995008,12,1082889,6942,0.0,5.1,Ceballos,0
2,2,118,100.0,100.0,1,195735,0,0,-4,4,296.8,0,3,1.0,1.0,1,Nicolas,0.5,15,1,80.9,488,False,195.6,829,,2019-08-09T09:30:12.533555Z,91,0,0,0,195735.jpg,2.5,0,0,Pépé,2.3,False,,a,1,3,314.0,33,208395,285,415480,2836,0.1,3.6,Pépé,2
0,0,15,100.0,100.0,1,200641,0,0,-2,2,50.3,0,3,0.5,0.5,0,Reiss,0.0,2,0,14.5,489,False,27.2,150,,2019-10-07T15:00:21.389844Z,53,0,0,0,200641.jpg,1.2,0,0,Nelson,0.1,False,,a,1,3,67.0,5,7560,25,13794,55,0.0,0.9,Nelson,1
0,0,76,100.0,100.0,1,200089,0,0,-1,1,95.8,0,3,1.7,1.7,1,Joseph,1.2,9,0,28.9,490,False,74.0,482,,2019-09-07T11:30:17.190466Z,49,0,0,0,200089.jpg,1.4,0,0,Willock,0.2,False,,a,1,3,118.0,17,23615,95,27039,185,0.2,3.5,Willock,0
1,0,19,,,0,444145,0,0,0,0,5.5,0,4,2.0,2.0,1,Gabriel Teodoro,1.5,2,0,5.4,504,False,10.0,96,,,45,0,0,0,444145.jpg,1.3,0,0,Martinelli Silva,1.5,False,,a,1,3,39.0,9,159978,1465,145338,3159,0.3,2.0,Martinelli,1
0,0,47,100.0,100.0,0,192895,0,0,-1,1,73.3,0,2,0.7,0.7,1,Kieran,0.2,6,0,15.8,515,False,53.2,268,,2019-08-09T12:00:11.271398Z,54,0,0,0,192895.jpg,1.0,0,0,Tierney,0.8,False,,a,1,3,31.0,4,71263,306,73709,2153,0.0,0.7,Tierney,1
1,0,44,100.0,100.0,1,223340,0,0,0,0,96.2,0,3,0.7,0.7,0,Bukayo,0.2,4,0,26.0,541,False,68.4,354,,2019-11-22T10:00:21.980433Z,45,0,0,0,223340.jpg,1.9,0,0,Saka,0.7,False,,a,1,3,94.0,13,115198,460,71536,2144,0.0,2.9,Saka,1
1,5,87,,,0,37339,0,0,-3,3,123.2,0,2,0.5,0.5,6,Ahmed,1.5,11,0,24.3,22,False,111.2,341,,,42,0,0,0,37339.jpg,1.9,0,0,El Mohamady,0.9,False,,a,2,7,8.0,13,43825,1553,118162,604,0.4,3.1,El Mohamady,0
0,0,0,100.0,100.0,0,43252,0,0,-2,2,0.0,0,2,-1.0,-1.0,0,James,0.0,0,0,0.0,23,False,0.0,0,,2019-08-08T17:00:13.859858Z,43,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,,a,2,7,0.0,0,841,47,6334,47,0.0,0.0,Chester,0
0,0,98,,,2,47390,0,0,-1,1,28.5,0,2,-0.8,-0.8,0,Neil,0.2,12,0,15.6,24,False,99.8,613,,,44,0,0,0,47390.jpg,2.1,0,0,Taylor,0.3,False,,a,2,7,27.0,17,17749,60,21146,312,0.0,3.9,Taylor,1
0,0,0,100.0,100.0,0,123354,0,0,-1,1,0.0,0,2,-1.0,-1.0,0,Kortney,0.0,0,0,0.0,25,False,0.0,0,,2019-08-15T13:00:13.496241Z,44,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,0,730,11,3654,33,0.0,0.0,Hause,0
0,0,7,100.0,100.0,0,54764,0,0,-1,1,0.0,0,4,-1.0,-1.0,0,Jonathan,0.0,4,0,0.4,26,False,2.0,20,,2019-10-03T12:30:10.314025Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,,a,2,7,2.0,2,3071,39,25485,82,0.0,0.4,Kodjia,0
0,0,13,100.0,100.0,0,98770,0,0,-2,2,0.0,0,1,-0.5,-0.5,0,Ørjan,0.5,2,0,2.3,27,False,22.8,82,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.0,0,3,Nyland,0.2,False,,a,2,7,0.0,2,3589,54,8457,100,0.1,0.5,Nyland,0
2,4,135,,,2,85242,0,0,-3,3,164.1,2,3,3.2,3.2,1,Conor,4.2,11,2,47.3,28,False,160.6,578,,,57,0,0,0,85242.jpg,3.6,0,0,Hourihane,0.2,False,,a,2,7,149.0,36,9513,493,18015,365,0.7,6.3,Hourihane,2
4,7,252,100.0,100.0,3,114283,1,-1,0,0,432.5,1,3,3.2,3.2,2,Jack,4.2,20,3,110.6,29,False,382.4,1163,,2019-10-26T18:30:22.524063Z,60,0,0,0,114283.jpg,4.6,0,0,Grealish,5.3,False,,a,2,7,290.0,60,361115,41967,390250,4727,0.7,10.2,Grealish,3
4,0,173,0.0,0.0,3,193488,0,0,0,0,221.6,0,3,0.0,0.0,0,Anwar,3.5,14,3,82.9,30,False,269.6,852,Knee injury - Expected back 08 Dec,2019-12-01T18:30:17.584307Z,55,0,0,0,193488.jpg,4.0,0,0,El Ghazi,1.3,False,,i,2,7,339.0,52,191634,352,141381,10987,0.6,9.5,El Ghazi,1
2,4,224,,,3,122806,-1,1,3,-3,314.0,0,3,1.2,1.2,2,John,2.2,24,3,104.0,31,False,361.0,1350,,,58,0,0,0,122806.jpg,3.8,0,0,McGinn,10.2,False,,a,2,7,366.0,57,1247786,2868,765655,32148,0.4,9.8,McGinn,1
0,0,0,0.0,0.0,0,174597,0,0,-1,1,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,32,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,0,238,1,1250,7,0.0,0.0,Green,0
0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,33,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.0,False,,u,2,7,0.0,0,513,2,7126,20,0.0,0.0,Bjarnason,0
0,0,16,0.0,0.0,0,221239,0,0,-1,1,23.3,0,3,0.0,0.0,0,Keinan,0.0,1,0,8.2,34,False,14.4,74,Hamstring injury - Expected back 14 Dec,2019-10-30T23:30:12.401435Z,44,0,0,0,221239.jpg,1.0,0,0,Davis,0.2,False,,i,2,7,46.0,6,13293,17,24360,273,0.0,1.4,Davis,0
0,0,14,100.0,100.0,0,40564,0,0,-1,1,22.0,0,3,-0.2,-0.2,0,Henri,0.8,1,0,3.5,35,False,6.4,40,,2019-11-08T18:00:15.526636Z,44,0,0,0,40564.jpg,1.0,0,0,Lansbury,0.5,False,,a,2,7,5.0,5,67241,152,51849,609,0.2,1.1,Lansbury,0
1,0,35,100.0,100.0,2,89274,0,0,-2,2,54.8,0,3,-0.8,-0.8,1,José Ignacio,0.2,3,0,13.5,36,False,42.0,259,,2019-10-17T13:00:14.384046Z,58,0,0,0,89274.jpg,2.2,0,0,Peleteiro Romallo,0.1,False,,a,2,7,39.0,13,10844,61,23824,61,0.0,2.2,Jota,0
0,0,245,100.0,100.0,3,21205,0,0,0,0,0.3,0,1,1.5,1.5,3,Tom,2.5,22,0,36.5,94,False,366.0,1260,,2019-11-10T16:00:17.137818Z,45,1,0,0,21205.jpg,2.9,0,49,Heaton,5.3,False,,a,2,7,0.0,41,235274,2355,283852,3032,0.6,9.1,Heaton,0
2,9,201,100.0,100.0,2,169359,0,0,-1,1,171.1,1,2,2.8,2.8,0,Matt,3.8,12,1,43.8,309,False,240.4,736,,2019-11-11T12:00:14.805770Z,44,0,0,0,169359.jpg,4.6,0,0,Targett,1.0,False,,a,2,7,26.0,41,59851,6281,74218,1440,0.9,9.3,Targett,1
1,7,141,100.0,100.0,4,213345,-1,1,-2,2,108.3,1,4,0.8,0.8,2,Wesley,1.8,20,4,80.1,428,False,232.8,1284,,2019-10-19T19:00:18.658995Z,58,0,1,0,213345.jpg,3.5,0,0,Moraes,2.0,False,,a,2,7,473.0,53,374581,1706,327470,8103,0.3,9.1,Wesley,1
0,0,3,0.0,0.0,0,79852,0,0,-1,1,0.0,0,1,0.0,0.0,0,Jed,0.2,0,0,0.0,429,False,0.0,7,Achilles injury - Unknown return date,2019-11-10T16:00:17.790777Z,44,0,0,0,79852.jpg,1.0,0,0,Steer,0.1,False,,i,2,7,0.0,1,982,3,5293,80,0.0,0.2,Steer,0
1,3,274,,,3,149484,0,0,0,0,60.4,0,2,2.5,2.5,1,Tyrone,3.5,24,1,52.2,445,False,408.6,1350,,,45,0,0,0,149484.jpg,2.9,0,0,Mings,5.0,False,,a,2,7,52.0,43,451091,7589,258582,3705,0.8,9.6,Mings,2
0,0,64,100.0,100.0,1,199798,0,0,-2,2,12.1,0,2,1.2,1.2,1,Ezri,2.2,7,0,13.2,452,False,102.2,375,,2019-08-05T15:00:10.970602Z,43,0,0,0,199798.jpg,2.0,0,0,Konsa Ngoyo,0.1,False,,a,2,7,17.0,10,1519,140,3424,61,0.5,2.3,Konsa,0
0,4,172,100.0,100.0,3,108156,0,0,0,0,5.2,1,2,-1.0,-1.0,0,Bjorn,0.0,17,0,23.2,455,False,205.6,974,,2019-11-26T01:30:25.806514Z,45,0,0,0,108156.jpg,2.8,0,0,Engels,0.7,False,,a,2,7,19.0,31,91130,63,64783,1412,0.0,6.9,Engels,1
2,2,191,100.0,0.0,4,203368,0,0,-1,1,128.2,1,2,1.0,0.0,0,Frédéric,2.0,15,0,40.4,458,False,243.2,1052,,2019-12-01T19:30:19.368861Z,44,0,0,0,203368.jpg,3.2,0,0,Guilbert,0.8,False,,a,2,7,33.0,38,76926,392,59159,1670,0.5,8.6,Guilbert,5
1,2,108,100.0,100.0,1,148508,0,0,-3,3,122.4,0,3,3.5,3.5,8,Mahmoud Ahmed,4.5,17,3,76.2,465,False,230.4,839,,2019-08-31T16:30:09.941826Z,52,0,0,0,148508.jpg,2.8,1,0,Ibrahim Hassan,1.5,False,,a,2,7,410.0,37,111253,7426,212053,1534,0.9,7.1,Trézéguet,2
0,2,151,,,4,230046,0,0,0,0,63.4,0,3,1.0,1.0,1,Douglas Luiz,2.0,12,2,40.1,470,False,173.6,757,,,45,0,0,0,230046.jpg,2.8,0,0,Soares de Paulo,3.9,False,,a,2,7,163.0,36,532389,3230,345018,7919,0.4,8.0,Douglas Luiz,1
0,0,0,,,0,88175,0,0,-1,1,0.0,0,1,-1.0,-1.0,0,Lovre,0.0,0,0,0.0,474,False,0.0,0,,,44,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,,a,2,7,0.0,0,1154,27,3693,44,0.0,0.0,Kalinic,0
0,0,137,,,1,184704,0,0,-1,1,96.8,0,3,-0.2,-0.2,2,Marvelous,0.8,15,0,29.5,491,False,176.8,772,,,44,0,0,0,184704.jpg,2.0,0,0,Nakamba,1.1,False,,a,2,7,20.0,18,120954,398,69584,1856,0.2,4.1,Nakamba,1
0,5,242,25.0,100.0,3,56917,0,0,0,0,35.1,2,2,0.4,2.8,0,Steve,2.8,20,1,49.7,58,False,355.2,1260,Wrist Injury - 25% chance of playing,2019-12-03T21:30:11.928847Z,50,0,0,0,56917.jpg,3.1,0,0,Cook,0.4,False,,d,3,91,105.0,43,34518,68,25623,3997,0.6,8.6,Steve Cook,2
1,5,285,,,3,126184,-1,1,0,0,64.3,0,2,0.2,1.2,2,Nathan,1.2,21,1,57.9,59,False,346.0,1350,,,50,0,0,0,126184.jpg,3.3,0,0,Aké,13.4,False,,a,3,91,169.0,49,498721,3394,756800,23545,0.2,9.6,Aké,1
0,0,18,0.0,0.0,0,41320,0,0,-2,2,29.6,0,2,0.0,0.0,0,Charlie,0.0,2,0,5.2,60,False,22.4,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,43,0,0,0,41320.jpg,1.5,0,0,Daniels,0.1,False,,i,3,91,0.0,3,3129,8,16060,53,0.0,0.7,Daniels,0
0,2,65,100.0,100.0,0,223911,0,0,-2,2,3.9,1,2,-0.5,0.5,2,Chris,0.5,8,1,21.4,61,False,117.2,361,,2019-10-04T11:30:13.479244Z,43,0,0,0,223911.jpg,3.0,0,0,Mepham,0.8,False,,a,3,91,93.0,15,84777,77,99923,424,0.1,3.5,Mepham,0
0,0,14,100.0,100.0,0,15149,0,0,-1,1,22.9,0,2,-1.2,-0.2,1,Simon,-0.2,3,0,8.5,62,False,26.0,98,,2019-11-23T17:00:22.119134Z,44,0,0,0,15149.jpg,0.2,1,0,Francis,0.0,False,,a,3,91,36.0,1,1087,44,1115,35,0.0,0.2,Francis,0
1,3,163,75.0,75.0,3,54469,0,0,-2,2,74.5,1,2,0.0,0.8,2,Adam,1.0,12,0,27.6,63,False,128.4,837,Ankle injury - 75% chance of playing,2019-11-30T15:00:18.860871Z,43,0,0,0,54469.jpg,3.2,0,0,Smith,0.9,False,,d,3,91,73.0,32,58735,152,98786,2520,0.2,7.4,Adam Smith,2
0,0,0,25.0,25.0,0,235530,0,0,-1,1,0.0,0,2,-0.2,0.0,0,Lloyd,0.0,0,0,0.0,64,False,0.0,0,Thigh injury - 25% chance of playing,2019-11-11T23:30:19.870065Z,44,0,0,0,235530.jpg,0.0,0,0,Kelly,0.1,False,,d,3,91,0.0,0,3531,73,6888,123,0.0,0.0,Kelly,0
2,5,214,,,4,171129,0,0,3,-3,310.6,1,2,1.5,2.5,9,Diego,2.5,13,0,62.7,65,False,266.2,1028,,,43,0,0,0,171129.jpg,3.6,0,0,Rico,13.6,False,,a,3,91,48.0,43,957668,18952,398801,6332,0.6,10.0,Rico,4
0,0,0,,,0,222434,0,0,-1,1,0.0,0,2,-1.0,0.0,0,Jack,0.0,0,0,0.0,66,False,0.0,0,,,39,0,0,0,222434.jpg,0.0,0,0,Simpson,6.5,False,,a,3,91,0.0,0,195106,8815,286263,4401,0.0,0.0,Simpson,0
3,4,190,,,3,75115,0,0,-4,4,217.0,1,4,1.0,2.0,2,Callum,2.0,21,5,81.0,67,False,233.4,1310,,,76,0,0,0,75115.jpg,4.0,0,0,Wilson,6.7,False,,a,3,91,363.0,60,735496,1524,1447472,26972,0.3,7.9,Callum Wilson,3
