assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,0,0,0.0,0.0,0,37605,0,0,-3,3,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,0,37605.jpg,0.0,0,0,Özil,0.5,False,,u,1,3,0.0,0,3441,0,54869,33,0.0,0.0,Özil,0
0,2,0,0,0.0,0.0,0,39476,0,0,-2,2,0.0,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,False,0.0,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,u,1,3,0.0,0,10266,0,19134,4,0.0,0.0,Sokratis,0
0,3,0,230,75.0,100.0,3,41270,0,0,-1,1,46.7,0,2,1.0,1.2,1,David,0.2,20,1,43.9,False,250.6,1396,Hamstring injury - 75% chance of playing,2021-05-02T16:00:26.134258Z,54,0,0,0,41270.jpg,2.0,1,0,Luiz Moreira Marinho,0.8,False,,d,1,3,144.0,41,77072,262,129672,660,0.0,7.6,David Luiz,1
2,4,11,332,100.0,100.0,8,54694,0,0,-7,7,309.7,3,3,7.0,4.0,12,Pierre-Emerick,3.0,25,10,156.2,False,472.2,2084,,2021-04-12T08:30:26.681398Z,113,1,0,0,54694.jpg,4.6,0,0,Aubameyang,7.0,False,,a,1,3,783.0,120,1178315,34712,3828229,5599,0.3,10.6,Aubameyang,2
1,5,3,125,100.0,100.0,2,58822,0,0,-4,4,114.8,0,2,1.0,1.0,0,Cédric,0.0,11,0,29.2,False,110.8,744,,2020-09-23T09:00:14.881983Z,46,0,0,0,58822.jpg,2.8,0,0,Soares,0.3,False,,a,1,3,66.0,28,41188,216,63985,1647,0.0,6.1,Cédric,1
3,6,21,446,100.0,75.0,7,59966,0,0,-1,1,303.5,4,4,8.6,3.6,0,Alexandre,3.8,20,13,169.6,False,598.2,1864,,2021-04-18T15:30:22.440237Z,84,0,0,0,59966.jpg,4.5,0,0,Lacazette,4.6,False,,a,1,3,797.0,126,1893179,6313,1901120,38964,0.5,15.0,Lacazette,3
0,7,0,16,0.0,0.0,0,69140,0,0,0,0,1.0,0,2,0.0,0.0,0,Shkodran,0.0,1,0,1.3,False,11.6,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,0,0,0,69140.jpg,1.0,0,0,Mustafi,0.0,False,,u,1,3,0.0,3,13464,0,14487,9,0.0,0.6,Mustafi,0
0,8,8,539,100.0,100.0,9,80201,0,0,0,0,0.0,2,1,4.0,2.5,0,Bernd,1.5,35,0,61.9,False,617.6,2771,,2021-02-02T20:30:22.406559Z,50,1,0,1,80201.jpg,3.5,1,76,Leno,6.9,False,,a,1,3,2.0,110,956440,4940,1084823,15687,0.3,22.0,Leno,0
2,9,1,375,75.0,100.0,9,84450,0,0,-3,3,290.3,0,3,4.1,3.2,2,Granit,2.2,27,1,85.5,False,430.4,2417,Muscle injury - 75% chance of playing,2021-05-07T00:30:25.120342Z,52,0,0,0,84450.jpg,2.3,1,0,Xhaka,0.4,False,,d,1,3,132.0,66,46427,607,83769,611,0.4,12.7,Xhaka,7
0,10,1,156,100.0,100.0,3,92371,0,0,-1,1,26.2,0,2,4.6,2.8,0,Pablo,1.8,8,0,19.0,False,147.6,810,,2021-01-14T22:00:26.195009Z,44,0,0,0,92371.jpg,3.1,0,0,Marí,0.1,False,,a,1,3,16.0,28,38654,378,33780,481,0.4,6.4,Marí,2
