chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
,,39487,0,0,0,0,0,2,0.0,,0,Erik,0.0,83,False,,,45,39487.jpg,3.2,Pieters,4.4,False,,a,4,90,77,0,0,0,0,0.0,17.1,Pieters,1876,0,5,6,35,0,0,0,2,0,0,10,359,355.4,273.8,90.0,71.6,177,64,132,29,244,78,190,55
0.0,,40145,0,0,0,0,0,3,0.0,,0,Jack,0.0,84,False,Ankle injury - Unknown return date,2020-08-15T10:00:11.504829Z,50,40145.jpg,2.3,Cork,0.2,False,,i,4,90,70,0,0,0,0,0.0,14.0,Cork,2614,0,0,12,41,0,0,0,1,0,0,0,301,313.2,198.2,311.0,82.4,197,82,167,109,112,62,171,89
,,41674,0,0,0,0,0,2,0.0,,0,Kevin,0.0,85,False,,,45,41674.jpg,2.6,Long,0.2,False,,a,4,90,21,0,0,0,0,0.0,4.7,Long,562,0,0,2,5,0,0,0,0,0,0,0,93,104.8,1.3,24.0,13.0,311,117,351,133,301,110,333,121
,,44683,0,0,0,0,0,4,0.0,,0,Jay,0.0,86,False,,,60,44683.jpg,2.8,Rodriguez,1.2,False,,a,4,90,100,0,0,0,0,0.0,16.7,Rodriguez,2002,8,2,7,34,0,0,0,1,0,0,9,282,431.4,135.0,827.0,137.8,148,18,206,31,35,19,73,20
,,44699,0,0,0,0,0,4,0.0,,0,Ashley,0.0,87,False,,,60,44699.jpg,3.2,Barnes,0.7,False,,a,4,90,61,0,0,0,0,0.0,10.2,Barnes,1350,6,0,8,21,0,0,0,4,0,0,6,161,226.2,85.1,474.0,75.9,248,27,239,38,68,30,182,30
,,51927,0,0,0,0,0,2,0.0,,0,Ben,0.0,88,False,,,50,51927.jpg,3.4,Mee,2.5,False,,a,4,90,110,0,0,0,0,0.0,22.0,Mee,2880,1,2,13,45,0,0,0,7,0,0,6,549,658.8,105.8,362.0,112.9,56,22,222,62,92,12,108,24
,,60551,0,0,0,0,0,3,0.0,,0,Ashley,0.0,89,False,,,55,60551.jpg,3.4,Westwood,1.5,False,,a,4,90,118,0,0,0,0,0.0,21.5,Westwood,3150,2,7,15,39,0,0,0,9,0,0,11,567,596.8,814.2,135.0,154.7,75,23,15,12,206,108,54,31
,,60586,0,0,0,0,0,3,0.0,,0,Johann Berg,0.0,90,False,,,55,60586.jpg,2.5,Gudmundsson,0.4,False,,a,4,90,30,0,0,0,0,0.0,5.5,Gudmundsson,617,1,1,3,7,0,0,0,0,0,0,1,98,118.6,215.4,108.0,44.1,301,127,160,105,225,115,270,123
,,60689,0,0,0,0,0,4,0.0,,0,Chris,0.0,91,False,,,65,60689.jpg,4.2,Wood,5.0,False,,a,4,90,136,0,0,0,0,0.0,20.9,Wood,2436,14,1,11,33,1,0,0,1,0,0,21,384,552.2,299.6,1070.0,190.8,93,14,117,15,23,14,40,15
,,68983,0,0,0,0,0,2,0.0,,0,Matthew,0.0,92,False,,,45,68983.jpg,2.8,Lowton,0.2,False,,a,4,90,48,0,0,0,0,0.0,10.7,Lowton,1530,0,1,6,31,0,0,0,2,0,0,1,270,294.2,181.7,15.0,49.2,208,79,179,42,314,118,258,84
,,81183,0,0,0,0,0,4,0.0,,0,Matej,0.0,93,False,,,50,81183.jpg,2.1,Vydra,0.7,False,,a,4,90,39,0,0,0,0,0.0,7.8,Vydra,807,2,1,5,7,0,0,0,0,0,0,3,112,144.2,113.3,273.0,53.3,292,36,217,35,127,34,246,36
,,83312,0,0,0,0,0,2,0.0,,0,Ben,0.0,94,False,,,40,83312.jpg,0.0,Gibson,1.5,False,,a,4,90,0,0,0,0,0,0.0,0.0,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,382,138,362,137,341,130,382,138
,,90517,0,0,0,0,0,3,0.0,,0,Robbie,0.0,95,False,,,50,90517.jpg,1.9,Brady,0.1,False,,a,4,90,32,0,0,0,0,0.0,6.4,Brady,445,1,2,1,10,0,0,0,1,0,0,0,112,118.6,102.1,128.0,34.9,300,126,224,126,213,110,287,128
,,98747,0,0,0,0,0,1,0.0,,0,Nick,0.0,96,False,,,55,98747.jpg,4.5,Pope,27.0,False,,a,4,90,170,0,0,0,0,0.0,30.9,Pope,3420,0,0,15,50,0,1,0,1,0,120,23,789,900.0,30.3,2.0,93.1,16,4,301,1,334,3,148,4
,,103914,0,0,0,0,0,2,0.0,,0,Charlie,0.0,97,False,,,45,103914.jpg,3.5,Taylor,9.1,False,,a,4,90,84,0,0,0,0,0.0,18.7,Taylor,1944,0,1,10,18,0,0,0,3,0,0,5,375,382.6,243.0,19.0,64.7,170,62,144,31,309,114,213,65
,,172782,0,0,0,0,0,3,0.0,,0,Josh,0.0,98,False,,,50,172782.jpg,2.1,Brownhill,0.1,False,,a,4,90,21,0,0,0,0,0.0,4.2,Brownhill,805,0,0,4,10,0,0,0,2,0,0,0,111,101.2,58.5,49.0,20.8,313,133,271,138,282,137,316,137
,,220037,0,0,0,0,0,1,0.0,,0,Bailey,0.0,99,False,,,40,220037.jpg,0.0,Peacock-Farrell,1.9,False,,a,4,90,0,0,0,0,0,0.0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,386,35,367,17,347,10,386,35
,,433154,0,0,0,0,0,3,0.0,,0,Dwight,0.0,100,False,,,60,433154.jpg,3.2,McNeil,1.4,False,,a,4,90,123,0,0,0,0,0.0,20.5,McNeil,3339,2,7,16,48,0,0,0,5,0,0,6,529,644.2,931.4,430.0,200.6,59,15,10,7,75,40,37,20
,,20310,0,0,0,0,0,1,3.4,,0,Willy,0.0,101,False,,,50,20310.jpg,2.6,Caballero,0.4,False,,a,5,8,13,0,0,0,0,0.0,2.6,Caballero,450,0,0,1,7,0,0,0,0,0,10,0,74,90.2,0.0,0.0,9.0,317,27,429,39,422,35,343,27
,,41328,0,0,0,0,0,2,3.9,,0,César,0.0,102,False,,,60,41328.jpg,3.6,Azpilicueta,7.1,False,,a,5,8,130,0,0,0,0,0.0,21.7,Azpilicueta,3229,2,6,8,53,0,0,0,1,0,0,16,700,905.2,708.7,438.0,205.4,15,4,23,4,73,5,32,4
,,44346,0,0,0,0,0,4,3.3,,0,Olivier,0.0,103,False,,,70,44346.jpg,3.8,Giroud,1.8,False,,a,5,8,68,0,0,0,0,0.0,9.7,Giroud,988,8,1,6,16,0,0,0,1,0,0,5,253,316.2,144.8,598.0,105.4,195,21,204,29,52,24,123,25
,,82263,0,0,0,0,0,2,3.9,,0,Marcos,0.0,104,False,,,60,82263.jpg,5.6,Alonso,3.8,False,,a,5,8,100,0,0,0,0,0.0,16.7,Alonso,1429,4,4,7,18,0,0,0,4,0,0,11,395,411.8,413.4,420.0,124.3,158,56,87,16,80,7,92,18
,,85955,0,0,0,0,0,3,2.4,,0,Jorge Luiz,0.0,105,False,,,50,85955.jpg,3.0,Frello Filho,1.5,False,,a,5,8,92,0,0,0,0,0.0,18.4,Jorginho,2376,4,3,6,40,0,0,0,10,0,0,9,535,600.0,422.4,158.0,118.4,72,21,83,60,195,103,99,58
,,88894,0,0,0,0,0,3,3.1,,0,Ross,0.0,106,False,,,60,88894.jpg,2.9,Barkley,0.3,False,,a,5,8,61,0,0,0,0,0.0,10.2,Barkley,1095,1,5,5,14,0,0,0,0,0,0,5,208,266.0,344.3,373.0,98.2,225,95,101,68,89,48,139,74
0.0,,91651,0,0,0,0,0,3,0.0,,0,Mateo,0.0,107,False,Suspended until 19 Sep,2020-08-15T10:00:11.528964Z,55,91651.jpg,2.2,Kovacic,0.2,False,,s,5,8,68,0,0,0,0,0.0,12.4,Kovacic,2065,1,3,4,37,0,0,0,8,0,0,6,461,497.0,458.5,186.0,114.0,121,43,61,48,178,98,107,63
,,94245,0,0,0,0,0,4,2.8,,0,Michy,0.0,108,False,,,60,94245.jpg,1.8,Batshuayi,0.5,False,,a,5,8,28,0,0,0,0,0.0,4.7,Batshuayi,224,1,2,0,8,0,0,0,0,0,0,1,59,61.8,42.9,185.0,28.3,330,43,286,44,180,43,297,44
,,102380,0,0,0,0,0,2,3.1,,0,Antonio,0.0,109,False,,,50,102380.jpg,3.1,Rüdiger,1.6,False,,a,5,8,63,0,0,0,0,0.0,12.6,Rüdiger,1710,2,0,5,24,1,0,0,3,0,0,5,351,389.4,93.3,194.0,67.7,165,60,232,69,170,37,207,63
,,103192,0,0,0,0,0,2,3.1,,0,Kurt,0.0,110,False,,,50,103192.jpg,2.2,Zouma,0.8,False,,a,5,8,62,0,0,0,0,0.0,12.4,Zouma,2343,0,0,7,37,1,0,0,6,0,0,2,432,518.0,40.1,162.0,71.7,112,43,289,101,194,49,189,54
,,109533,0,0,0,0,0,2,3.1,,0,Emerson,0.0,111,False,,,50,109533.jpg,1.3,Palmieri dos Santos,0.2,False,,a,5,8,19,0,0,0,0,0.0,3.8,Emerson,1022,0,0,1,21,0,0,0,3,0,0,0,181,207.8,298.7,225.0,73.2,259,97,118,27,151,29,186,52
,,109745,0,0,0,0,0,1,3.4,,0,Kepa,0.0,112,False,,,50,109745.jpg,2.7,Arrizabalaga,1.2,False,,a,5,8,90,0,0,0,0,0.0,18.0,Arrizabalaga,2970,0,0,8,47,0,0,0,0,0,55,0,507,503.6,0.0,0.0,50.2,117,17,445,46,439,42,256,18
,,116594,0,0,0,0,0,3,2.4,,0,N'Golo,0.0,113,False,,,50,116594.jpg,2.6,Kanté,2.6,False,,a,5,8,57,0,0,0,0,0.0,11.4,Kanté,1730,3,0,3,25,0,0,0,4,0,0,2,294,422.8,424.5,214.0,106.3,152,59,81,58,156,86,122,68
,,124183,0,0,0,0,0,3,3.7,,0,Hakim,0.0,114,False,,,80,124183.jpg,0.0,Ziyech,22.3,False,,a,5,8,0,0,0,0,0,0.0,0.0,Ziyech,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,482,200,482,200,482,200,482,200
,,126187,0,0,0,0,0,3,3.1,,0,Ruben,0.0,115,False,,,60,126187.jpg,1.7,Loftus-Cheek,0.2,False,,a,5,8,12,0,0,0,0,0.0,2.0,Loftus-Cheek,203,0,1,1,3,0,0,0,0,0,0,0,37,30.8,30.2,33.0,9.2,346,145,302,147,295,142,341,146
,,135363,0,0,0,0,0,2,3.1,,0,Andreas,0.0,116,False,,,50,135363.jpg,1.6,Christensen,0.3,False,,a,5,8,34,0,0,0,0,0.0,6.8,Christensen,1751,0,0,3,33,0,0,0,5,0,0,0,325,353.6,70.9,96.0,52.1,178,65,255,83,240,74,249,81
,,165153,0,0,0,0,0,4,4.5,,0,Timo,0.0,117,False,,,95,165153.jpg,0.0,Werner,38.8,False,,a,5,8,0,0,0,0,0,0.0,0.0,Werner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,483,61,483,61,483,61,483,61
,,173879,0,0,0,0,0,4,3.6,,0,Tammy,0.0,118,False,,,75,173879.jpg,4.5,Abraham,7.1,False,,a,5,8,153,0,0,0,0,0.0,20.4,Abraham,2206,15,6,7,34,1,0,0,2,0,0,20,461,659.6,283.2,1301.0,223.3,55,9,128,16,10,7,26,10
50.0,,176413,0,0,0,0,0,3,1.9,,0,Christian,0.0,119,False,Hamstring injury - 50% chance of playing,2020-08-15T10:00:11.562980Z,85,176413.jpg,5.1,Pulisic,7.0,False,,d,5,8,127,0,0,0,0,0.0,14.9,Pulisic,1717,9,8,6,28,0,0,0,0,0,0,8,379,556.2,426.0,1059.0,204.2,90,29,79,56,24,10,34,18
,,184341,0,0,0,0,0,3,3.4,,0,Mason,0.0,120,False,,,70,184341.jpg,3.7,Mount,9.7,False,,a,5,8,137,0,0,0,0,0.0,19.6,Mount,2865,7,6,9,44,0,0,0,3,0,0,11,510,641.2,814.0,974.0,242.8,62,17,16,13,27,12,20,12
,,194794,0,0,0,0,0,2,3.1,,0,Fikayo,0.0,121,False,,,50,194794.jpg,3.2,Tomori,0.6,False,,a,5,8,48,0,0,0,0,0.0,9.6,Tomori,1291,1,0,4,18,0,0,0,3,0,0,7,271,335.4,68.6,79.0,48.5,187,72,260,85,256,84,260,86
,,209046,0,0,0,0,0,3,3.1,,0,Callum,0.0,122,False,,,60,209046.jpg,2.4,Hudson-Odoi,0.4,False,,a,5,8,53,0,0,0,0,0.0,8.8,Hudson-Odoi,849,1,5,2,14,0,0,0,1,0,0,3,197,235.2,341.4,325.0,89.9,243,104,103,70,107,58,154,82
,,225796,0,0,0,0,0,2,3.1,,0,Reece,0.0,123,False,,,50,225796.jpg,2.5,James,3.8,False,,a,5,8,61,0,0,0,0,0.0,12.2,James,1510,0,2,5,23,0,0,0,1,0,0,5,373,343.6,428.8,143.0,91.8,185,70,77,15,204,53,150,39
0.0,,243568,0,0,0,0,0,3,0.0,,0,Billy,0.0,124,False,Knee injury - Expected back 07 Nov,2020-08-15T10:00:11.591471Z,45,243568.jpg,1.5,Gilmour,0.4,False,,i,5,8,9,0,0,0,0,0.0,2.0,Gilmour,191,0,0,1,3,0,0,0,0,0,0,0,41,31.4,55.3,5.0,9.1,345,144,275,140,327,152,342,147
0.0,,19419,0,0,0,0,0,2,0.0,,0,Gary,0.0,125,False,Hamstring injury - Unknown return date,2020-08-15T10:00:11.611500Z,45,19419.jpg,2.8,Cahill,0.2,False,,i,6,31,70,0,0,0,0,0.0,15.6,Cahill,2167,0,1,7,35,0,0,0,1,0,0,4,395,448.4,40.0,342.0,83.4,138,49,290,102,99,13,168,46
,,20066,0,0,0,0,0,1,1.7,,0,Wayne,0.0,126,False,,,45,20066.jpg,2.3,Hennessey,0.6,False,,a,6,31,7,0,0,0,0,0.0,1.6,Hennessey,270,0,0,0,8,0,0,0,0,0,16,0,58,110.4,0.0,0.0,11.0,305,25,376,20,357,13,338,25
0.0,,40784,0,0,0,0,0,2,0.0,,0,Mamadou,0.0,127,False,Muscle injury - Unknown return date,2020-08-15T10:00:11.633422Z,45,40784.jpg,0.8,Sakho,0.0,False,,i,6,31,11,0,0,0,0,0.0,2.4,Sakho,929,0,0,0,21,0,0,0,1,1,0,0,148,179.2,15.9,6.0,20.2,273,103,322,121,322,121,317,114
,,40836,0,0,0,0,0,1,2.4,,0,Vicente,0.0,128,False,,,50,40836.jpg,3.9,Guaita,1.3,False,,a,6,31,137,0,0,0,0,0.0,27.4,Guaita,3150,0,0,10,42,1,0,0,1,0,111,16,643,827.2,0.0,0.0,82.6,25,7,431,41,424,37,170,7
0.0,,49413,0,0,0,0,0,2,0.0,,0,James,0.0,129,False,Thigh injury - Unknown return date,2020-08-15T10:00:11.660937Z,45,49413.jpg,2.7,Tomkins,0.0,False,,i,6,31,48,0,0,0,0,0.0,10.7,Tomkins,1582,1,1,3,23,0,0,0,5,0,0,4,260,384.0,27.7,121.0,53.3,168,61,309,114,218,60,245,79
,,50471,0,0,0,0,0,3,1.8,,0,James,0.0,130,False,,,55,50471.jpg,2.5,McArthur,0.2,False,,a,6,31,92,0,0,0,0,0.0,16.7,McArthur,3091,0,4,11,38,0,0,0,6,0,0,2,420,586.6,486.6,421.0,149.6,76,24,50,39,79,42,61,36
,,50472,0,0,0,0,0,3,1.0,,0,James,0.0,131,False,,,45,50472.jpg,1.2,McCarthy,2.0,False,,a,6,31,41,0,0,0,0,0.0,9.1,McCarthy,1668,0,0,2,29,0,0,0,9,0,0,0,205,268.8,268.3,80.0,61.8,223,94,135,89,254,127,226,109
,,54861,0,0,0,0,0,4,1.5,,0,Christian,0.0,132,False,,,55,54861.jpg,1.8,Benteke,0.8,False,,a,6,31,42,0,0,0,0,0.0,7.6,Benteke,1252,2,1,5,18,0,0,0,4,1,0,1,133,231.8,248.3,632.0,110.9,246,26,142,20,46,21,111,22
,,55037,0,0,0,0,0,3,1.4,,0,Cheikhou,0.0,133,False,,,50,55037.jpg,2.4,Kouyaté,0.1,False,,a,6,31,85,0,0,0,0,0.0,17.0,Kouyaté,2524,1,2,10,36,0,0,0,4,0,0,4,288,394.6,162.3,279.0,83.5,163,67,190,117,124,70,167,88
,,55494,0,0,0,0,0,2,1.6,,0,Joel,0.0,134,False,,,45,55494.jpg,2.7,Ward,1.5,False,,a,6,31,77,0,0,0,0,0.0,17.1,Ward,2380,0,1,7,36,0,0,0,4,0,0,8,392,427.0,117.0,49.0,59.5,150,55,215,58,281,99,230,72
,,58786,0,0,0,0,0,2,1.6,,0,Martin,0.0,135,False,,,45,58786.jpg,3.4,Kelly,1.4,False,,a,6,31,64,0,0,0,0,0.0,14.2,Kelly,1547,0,1,6,16,0,0,0,0,0,0,4,288,305.4,96.5,15.0,41.7,199,76,230,67,313,117,275,94
,,59125,0,0,0,0,0,4,1.0,,0,Connor,0.0,136,False,,,45,59125.jpg,2.5,Wickham,6.8,False,,a,6,31,15,0,0,0,0,0.0,3.3,Wickham,90,1,1,0,2,0,0,0,0,0,0,2,48,59.8,34.5,64.0,15.8,331,44,295,45,271,46,326,46
,,60252,0,0,0,0,0,3,2.1,,0,Andros,0.0,137,False,,,60,60252.jpg,2.0,Townsend,0.2,False,,a,6,31,48,0,0,0,0,0.0,8.0,Townsend,1284,1,1,3,23,0,0,0,0,0,0,0,221,246.4,247.1,122.0,61.6,232,97,143,93,216,112,227,110
,,66975,0,0,0,0,0,3,2.1,,0,Luka,0.0,138,False,,,60,66975.jpg,2.6,Milivojevic,0.8,False,,a,6,31,81,0,0,0,0,0.0,13.5,Milivojevic,2510,3,1,7,38,0,0,0,12,0,0,9,382,460.0,499.1,190.0,114.9,129,48,49,38,173,94,105,61
0.0,,74230,0,0,0,0,0,2,0.0,,0,Patrick,0.0,139,False,Shoulder Dislocation - Unknown return date,2020-08-15T10:00:11.682747Z,55,74230.jpg,3.8,van Aanholt,0.2,False,,i,6,31,109,0,0,0,0,0.0,19.8,van Aanholt,2507,3,2,8,38,1,0,0,0,0,0,12,523,531.2,516.0,285.0,133.4,105,42,46,8,121,21,78,13
,,80146,0,0,0,0,0,4,1.8,,0,Jordan,0.0,140,False,,,60,80146.jpg,3.6,Ayew,6.5,False,,a,6,31,132,0,0,0,0,0.0,22.0,Ayew,3148,9,3,12,45,0,0,0,6,0,0,19,443,597.4,445.6,885.0,192.4,74,11,67,6,31,16,39,14
,,82403,0,0,0,0,0,3,2.4,,0,Wilfried,0.0,141,False,,,70,82403.jpg,3.2,Zaha,4.8,False,,a,6,31,120,0,0,0,0,0.0,17.1,Zaha,3279,4,6,9,46,0,0,0,5,0,0,4,337,572.0,588.0,1103.0,226.4,81,26,33,27,19,8,25,15
,,86417,0,0,0,0,0,3,1.8,,0,Jeffrey,0.0,142,False,,,55,86417.jpg,3.0,Schlupp,0.1,False,,a,6,31,51,0,0,0,0,0.0,9.3,Schlupp,1030,3,1,4,16,0,0,0,2,0,0,4,148,240.0,101.9,266.0,60.8,238,100,225,127,130,75,229,112
,,141020,0,0,0,0,0,3,1.4,,0,Max,0.0,143,False,,,50,141020.jpg,1.4,Meyer,0.1,False,,a,6,31,23,0,0,0,0,0.0,4.6,Meyer,645,0,0,1,11,0,0,0,1,0,0,0,67,68.0,68.9,103.0,23.8,326,138,257,134,230,117,308,135
,,173954,0,0,0,0,0,3,1.0,,0,Jairo,0.0,144,False,,,45,173954.jpg,1.3,Riedewald,0.2,False,,a,6,31,22,0,0,0,0,0.0,4.9,Riedewald,761,0,0,0,9,0,0,0,0,0,0,0,116,117.0,47.1,27.0,19.1,302,128,281,143,297,143,320,138
,,232423,0,0,0,0,0,2,1.0,,0,Nathan,0.0,145,False,,,40,232423.jpg,0.0,Ferguson,17.8,False,,a,6,31,0,0,0,0,0,0.0,0.0,Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,388,142,369,141,349,135,388,142
,,244723,0,0,0,0,0,2,1.0,,0,Tyrick,0.0,146,False,,,40,244723.jpg,1.0,Mitchell,1.6,False,,a,6,31,4,0,0,0,0,0.0,1.0,Mitchell,193,0,0,0,4,0,0,0,1,0,0,0,23,36.4,58.7,2.0,9.7,342,125,270,91,330,126,340,123
,,466955,0,0,0,0,0,3,1.0,,0,Brandon,0.0,147,False,,,45,466955.jpg,1.0,Pierrick,0.1,False,,a,6,31,2,0,0,0,0,0.0,0.4,Pierrick,13,0,0,0,0,0,0,0,0,0,0,0,7,6.4,21.0,2.0,2.9,367,154,317,150,332,154,360,151
,,20467,0,0,0,0,0,3,1.6,,0,Theo,0.0,148,False,,,60,20467.jpg,2.5,Walcott,0.2,False,,a,7,11,63,0,0,0,0,0.0,10.5,Walcott,1281,2,4,4,19,0,0,0,1,0,0,1,186,225.0,289.1,521.0,103.7,251,107,124,82,63,32,127,69
,,41823,0,0,0,0,0,3,0.9,,0,Fabian,0.0,149,False,,,50,41823.jpg,1.5,Delph,0.1,False,,a,7,11,24,0,0,0,0,0.0,4.8,Delph,1187,0,0,2,24,0,0,0,3,1,0,2,202,183.0,146.7,24.0,35.4,272,117,202,122,303,146,286,127
,,55422,0,0,0,0,0,3,1.9,,0,Gylfi,0.0,150,False,,,70,55422.jpg,2.7,Sigurdsson,2.4,False,,a,7,11,95,0,0,0,0,0.0,13.6,Sigurdsson,2555,2,4,6,45,0,0,0,3,0,0,7,397,454.6,765.1,484.0,170.5,132,51,21,18,67,36,48,27
,,57513,0,0,0,0,0,1,1.2,,0,Jonas,0.0,151,False,,,45,57513.jpg,0.0,Lössl,0.2,False,,a,7,11,0,0,0,0,0,0.0,0.0,Lössl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,398,39,384,25,366,19,398,39
,,59949,0,0,0,0,0,2,1.6,,0,Seamus,0.0,152,False,,,50,59949.jpg,2.0,Coleman,0.5,False,,a,7,11,55,0,0,0,0,0.0,11.0,Coleman,1833,0,1,5,29,0,0,0,3,1,0,2,325,321.2,149.0,175.0,64.6,194,75,200,52,187,44,216,67
0.0,,66838,0,0,0,0,0,4,0.0,,0,Cenk,0.0,153,False,Knee injury - Unknown return date,2020-08-15T10:00:11.707165Z,60,66838.jpg,2.4,Tosun,0.0,False,,i,7,11,24,0,0,0,0,0.0,4.0,Tosun,462,2,0,2,6,0,0,0,0,0,0,1,86,89.0,63.4,229.0,37.7,318,39,266,42,149,38,280,40
,,100649,0,0,0,0,0,3,1.6,,0,Bernard,0.0,154,False,,,60,100649.jpg,2.7,Anício Caldeira Duarte,0.2,False,,a,7,11,72,0,0,0,0,0.0,12.0,Bernard,1269,3,2,9,12,0,0,0,2,0,0,6,237,315.0,349.1,236.0,89.8,196,81,100,67,145,83,156,84
,,101188,0,0,0,0,0,2,2.4,,0,Lucas,0.0,155,False,,,60,101188.jpg,3.4,Digne,6.5,False,,a,7,11,120,0,0,0,0,0.0,20.0,Digne,3031,0,8,9,49,1,0,0,6,0,0,16,646,743.0,1112.0,293.0,215.0,39,13,7,2,119,20,28,3
,,106611,0,0,0,0,0,2,1.6,,0,Michael,0.0,156,False,,,50,106611.jpg,2.9,Keane,1.0,False,,a,7,11,90,0,0,0,0,0.0,18.0,Keane,2556,2,0,7,42,1,0,0,3,0,0,9,490,666.4,80.0,204.0,95.2,54,21,242,76,168,35,146,38
,,111234,0,0,0,0,0,1,1.9,,0,Jordan,0.0,157,False,,,50,111234.jpg,3.1,Pickford,3.1,False,,a,7,11,117,0,0,0,0,0.0,23.4,Pickford,3420,0,0,9,56,0,0,0,2,0,94,5,626,755.6,13.0,0.0,76.7,35,8,326,5,440,43,178,8
,,120250,0,0,0,0,0,3,1.3,,0,André Filipe,0.0,158,False,,,55,120250.jpg,2.1,Tavares Gomes,0.4,False,,a,7,11,39,0,0,0,0,0.0,7.1,André Gomes,1457,0,1,5,20,0,0,0,6,0,0,3,184,156.6,179.4,33.0,36.4,284,122,180,113,294,141,283,125
,,153133,0,0,0,0,0,3,1.6,,0,Alex,0.0,159,False,,,60,153133.jpg,2.1,Iwobi,0.2,False,,a,7,11,52,0,0,0,0,0.0,8.7,Iwobi,1591,1,0,4,30,0,0,0,0,0,0,2,227,246.4,383.7,329.0,95.9,233,98,91,63,104,57,145,78
,,153673,0,0,0,0,0,2,1.1,,0,Jonjoe,0.0,160,False,,,45,153673.jpg,0.0,Kenny,0.2,False,,a,7,11,0,0,0,0,0,0.0,0.0,Kenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,417,160,408,160,394,156,417,160
0.0,,160987,0,0,0,0,0,3,0.0,,0,Jean-Philippe,0.0,161,False,Achilles injury - Unknown return date,2020-08-15T10:00:11.729677Z,50,160987.jpg,2.0,Gbamin,0.0,False,,i,7,11,4,0,0,0,0,0.0,0.8,Gbamin,135,0,0,1,0,0,0,0,0,0,0,0,14,20.0,6.3,0.0,2.6,354,147,337,155,445,178,364,152
,,164511,0,0,0,0,0,2,2.0,,0,Yerry,0.0,162,False,,,55,164511.jpg,2.7,Mina,0.7,False,,a,7,11,78,0,0,0,0,0.0,14.2,Mina,2281,2,1,5,37,1,0,0,3,0,0,8,419,535.4,87.2,422.0,104.4,103,41,236,72,78,6,124,31
,,173807,0,0,0,0,0,3,1.3,,0,Tom,0.0,163,False,,,55,173807.jpg,2.0,Davies,0.1,False,,a,7,11,59,0,0,0,0,0.0,10.7,Davies,2020,1,1,5,34,0,0,0,8,0,0,3,233,270.4,122.6,262.0,65.5,221,93,212,123,132,77,212,104
,,177815,0,0,0,0,0,4,1.8,,0,Dominic,0.0,164,False,,,70,177815.jpg,3.5,Calvert-Lewin,4.9,False,,a,7,11,126,0,0,0,0,0.0,18.0,Calvert-Lewin,2621,13,1,8,43,0,0,0,9,0,0,15,385,562.8,241.4,1272.0,206.3,85,12,148,21,12,9,31,12
,,194164,0,0,0,0,0,2,1.6,,0,Mason,0.0,165,False,,,50,194164.jpg,2.6,Holgate,0.6,False,,a,7,11,71,0,0,0,0,0.0,14.2,Holgate,2052,0,4,5,34,0,0,0,5,0,0,6,412,465.4,63.9,152.0,68.3,128,47,265,88,199,51,204,61
,,212319,0,0,0,0,0,4,2.3,,0,Richarlison,0.0,166,False,,,80,212319.jpg,4.6,de Andrade,10.7,False,,a,7,11,165,0,0,0,0,0.0,20.6,Richarlison,3070,13,5,9,51,0,0,0,8,0,0,13,519,814.6,478.1,1233.0,252.3,28,6,56,3,15,10,19,7
,,222627,0,0,0,0,0,1,1.2,,0,João,0.0,167,False,,,45,222627.jpg,0.0,Virgínia,0.2,False,,a,7,11,0,0,0,0,0,0.0,0.0,Virgínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,432,46,423,37,412,33,432,46
,,232826,0,0,0,0,0,3,0.5,,0,Anthony,0.0,168,False,,,45,232826.jpg,1.5,Gordon,1.5,False,,a,7,11,17,0,0,0,0,0.0,3.8,Gordon,436,0,1,0,6,0,0,0,0,0,0,1,63,76.0,98.4,44.0,21.8,323,136,229,128,285,138,315,136
,,242058,0,0,0,0,0,4,1.3,,0,Moise,0.0,169,False,,,60,242058.jpg,1.8,Kean,0.5,False,,a,7,11,53,0,0,0,0,0.0,8.8,Kean,830,2,2,1,15,0,0,0,1,0,0,5,138,153.6,136.5,429.0,71.1,286,34,205,30,76,31,193,31
