assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,0,0,0.0,0.0,0,37605,0,0,-3,3,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,0,37605.jpg,0.0,0,0,Özil,0.5,False,,u,1,3,0.0,0,3441,3,53668,237,0.0,0.0,Özil,0
0,2,0,0,0.0,0.0,0,39476,0,0,-2,2,0.0,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,False,0.0,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,u,1,3,0.0,0,10266,1,18950,25,0.0,0.0,Sokratis,0
0,3,0,108,100.0,100.0,2,41270,0,0,-1,1,28.8,0,2,3.3,3.3,6,David,2.8,9,0,20.0,False,115.4,659,,2020-12-26T18:00:15.638627Z,54,0,0,0,41270.jpg,2.0,0,0,Luiz Moreira Marinho,0.8,False,,a,1,3,56.0,20,43548,1669,93017,1068,0.5,3.7,David Luiz,1
1,4,6,202,0.0,100.0,7,54694,0,0,-7,7,226.3,1,3,0.0,6.5,15,Pierre-Emerick,6.0,16,5,101.8,False,272.2,1514,Personal Reasons - Unknown return date,2021-01-23T16:00:22.555453Z,113,1,0,0,54694.jpg,4.2,0,0,Aubameyang,7.0,False,,i,1,3,519.0,71,559835,36666,3222169,29195,0.5,6.3,Aubameyang,2
1,5,3,42,100.0,100.0,1,58822,0,0,-4,4,32.3,0,2,3.5,3.5,12,Cédric,3.0,0,0,6.4,False,29.2,95,,2020-09-23T09:00:14.881983Z,46,0,0,0,58822.jpg,6.5,0,0,Soares,0.2,False,,a,1,3,2.0,13,6643,2308,35926,649,0.7,2.8,Cédric,0
0,6,9,226,,,5,59966,0,0,-2,2,187.6,1,4,6.3,6.3,2,Alexandre,5.8,8,7,101.1,False,328.2,1031,,,83,0,0,0,59966.jpg,3.9,0,0,Lacazette,6.2,False,,a,1,3,498.0,62,829487,88779,696795,75754,0.7,7.5,Lacazette,2
0,7,0,16,100.0,100.0,0,69140,0,0,0,0,1.0,0,2,0.5,0.5,0,Shkodran,0.0,1,0,1.3,False,11.6,45,,2020-08-15T10:00:11.331812Z,50,0,0,0,69140.jpg,1.0,0,0,Mustafi,0.1,False,,a,1,3,0.0,3,13283,146,13224,230,0.0,0.6,Mustafi,0
0,8,6,367,,,7,80201,0,0,0,0,0.0,2,1,6.7,6.7,6,Bernd,6.2,19,0,38.4,False,384.0,1710,,,50,0,0,1,80201.jpg,4.2,0,44,Leno,9.2,False,,a,1,3,0.0,79,751651,37808,705605,32464,1.2,15.8,Leno,0
0,9,1,175,100.0,100.0,6,84450,0,0,-3,3,74.6,0,3,3.5,3.5,3,Granit,3.0,12,1,36.1,False,201.4,1174,,2020-12-13T22:30:16.182130Z,52,0,0,0,84450.jpg,2.3,1,0,Xhaka,0.4,False,,a,1,3,85.0,34,33272,1362,69110,1611,0.6,6.5,Xhaka,2
0,10,1,63,0.0,75.0,2,92371,0,0,-1,1,11.7,0,2,0.0,2.8,0,Pablo,3.2,1,0,7.4,False,59.0,270,Calf injury - Expected back 30 Jan,2021-01-14T22:00:26.195009Z,44,0,0,0,92371.jpg,4.7,0,0,Marí,0.1,False,,i,1,3,4.0,14,31145,240,20772,5646,0.7,3.2,Marí,1
3,11,11,283,100.0,100.0,5,98745,0,0,1,-1,250.2,3,2,4.0,4.0,0,Héctor,3.5,16,0,61.4,False,240.4,1370,,2020-12-13T22:30:16.198432Z,51,0,0,0,98745.jpg,3.8,0,0,Bellerín,4.9,False,,a,1,3,123.0,61,886381,7456,908458,45649,0.7,12.0,Bellerín,6
0,13,0,0,100.0,100.0,0,101184,0,0,0,0,0.0,0,2,0.5,0.5,0,Calum,0.0,0,0,0.0,False,0.0,0,,2020-08-15T10:00:11.386295Z,45,0,0,0,101184.jpg,0.0,0,0,Chambers,0.0,False,,a,1,3,0.0,0,1992,175,2182,176,0.0,0.0,Chambers,0
0,14,0,9,0.0,0.0,0,111457,0,0,-2,2,5.4,0,2,0.0,0.0,0,Sead,0.0,1,0,1.3,False,3.6,90,Joined Schalke on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-03T19:00:21.713564Z,48,0,0,0,111457.jpg,2.0,0,0,Kolasinac,0.1,False,,u,1,3,4.0,2,5329,1,20778,263,0.0,0.4,Kolasinac,0
1,15,1,110,,,2,154043,0,0,-4,4,42.7,0,2,2.5,2.5,0,Ainsley,2.0,6,0,14.3,False,77.6,485,,,46,0,0,0,154043.jpg,2.4,0,0,Maitland-Niles,0.8,False,,a,1,3,22.0,26,57819,615,151194,2406,0.4,5.7,Maitland-Niles,0
1,16,4,304,100.0,100.0,7,156074,0,0,0,0,44.2,1,2,8.3,8.3,6,Rob,7.8,14,0,42.8,False,306.8,1395,,2020-10-17T22:30:19.025474Z,45,1,0,0,156074.jpg,3.6,0,0,Holding,4.9,False,,a,1,3,77.0,58,610408,70904,352199,32524,1.7,12.9,Holding,2
