assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,1,1,144,100.0,100.0,2,69140,0,0,-4,4,15.4,0,2,0.0,4.8,1,Shkodran,4.3,9,0,29.8,False,174.2,620,,2020-01-27T22:30:15.833744Z,51,0,0,0,69140.jpg,3.2,0,0,Mustafi,0.4,False,,a,1,3,107.0,26,14505,823,36237,575,0.8,5.1,Mustafi,0
0,2,3,113,100.0,100.0,2,98745,0,0,-1,1,37.7,0,2,0.0,5.5,1,Héctor,5.0,10,1,19.4,False,116.6,622,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,3.4,0,0,Bellerín,1.0,False,,a,1,3,38.0,24,110077,3279,55688,6972,0.9,4.4,Bellerín,2
2,3,1,222,0.0,100.0,2,111457,0,0,-3,3,157.3,0,2,0.0,0.8,1,Sead,0.3,19,0,41.2,False,190.0,1103,Shoulder injury - Unknown return date,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,i,1,3,67.0,35,55447,35,126754,445,0.1,6.7,Kolasinac,3
2,4,3,216,100.0,100.0,3,154043,-1,1,-5,5,155.4,1,2,0.0,0.5,0,Ainsley,0.0,19,0,44.9,False,261.8,1210,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.3,False,,a,1,3,37.0,36,589942,216,623301,2943,0.0,8.0,Maitland-Niles,3
0,5,5,286,100.0,75.0,3,39476,-1,1,-2,2,31.8,1,2,0.0,0.4,0,Sokratis,0.0,25,2,57.1,False,431.6,1606,,2020-02-21T01:30:19.929771Z,48,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.3,False,,a,1,3,106.0,52,144078,231,190570,1843,0.0,10.8,Sokratis,5
0,6,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,10,28152,6,88911,33,0.0,2.0,Monreal,0
0,7,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,622,10,12710,14,0.0,0.0,Koscielny,0
0,8,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,0,1095,1,4863,16,0.0,0.0,Mavropanos,0
0,9,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,430,4,2599,6,0.0,0.0,Jenkinson,0
0,10,0,13,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.0,0.5,0,Rob,0.0,3,0,1.6,False,13.4,85,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,2,12007,40,14704,139,0.0,0.4,Holding,0
