assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,0,0,0.0,0.0,0,37605,0,0,-3,3,0.0,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,0,37605.jpg,0.0,0,0,Özil,0.5,False,,u,1,3,0.0,0,3441,0,54140,123,0.0,0.0,Özil,0
0,2,0,0,0.0,0.0,0,39476,0,0,-2,2,0.0,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,False,0.0,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,0,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,u,1,3,0.0,0,10266,0,19029,23,0.0,0.0,Sokratis,0
0,3,0,138,100.0,0.0,3,41270,0,0,-1,1,30.7,0,2,3.2,0.0,0,David,2.7,12,0,24.9,False,132.8,886,,2021-02-02T20:30:22.388696Z,54,0,0,0,41270.jpg,1.9,1,0,Luiz Moreira Marinho,0.8,False,,a,1,3,88.0,25,50958,968,102290,1041,0.5,4.6,David Luiz,1
1,4,6,208,100.0,100.0,7,54694,0,0,-7,7,227.2,1,3,3.8,3.8,1,Pierre-Emerick,3.3,16,5,105.0,False,275.2,1574,,2021-01-23T16:00:22.555453Z,113,1,0,0,54694.jpg,3.8,0,0,Aubameyang,6.5,False,,a,1,3,549.0,73,581197,2627,3278051,11334,0.3,6.5,Aubameyang,2
1,5,3,88,100.0,100.0,2,58822,0,0,-4,4,86.3,0,2,4.2,4.2,2,Cédric,3.7,4,0,17.7,False,66.6,429,,2020-09-23T09:00:14.881983Z,46,0,0,0,58822.jpg,3.8,0,0,Soares,0.3,False,,a,1,3,24.0,23,22446,1092,41920,2008,0.8,5.0,Cédric,1
2,6,11,277,100.0,100.0,6,59966,-1,1,-2,2,233.6,2,4,4.2,4.2,1,Alexandre,3.7,11,8,120.0,False,401.0,1314,,2021-01-30T23:00:18.185183Z,83,0,0,0,59966.jpg,4.0,0,0,Lacazette,6.5,False,,a,1,3,568.0,80,1173179,12193,1016283,116007,0.4,9.6,Lacazette,2
0,7,0,16,0.0,0.0,0,69140,0,0,0,0,1.0,0,2,0.0,0.0,0,Shkodran,0.0,1,0,1.3,False,11.6,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,0,0,0,69140.jpg,1.0,0,0,Mustafi,0.0,False,,u,1,3,0.0,3,13464,0,14081,163,0.0,0.6,Mustafi,0
0,8,6,410,100.0,0.0,8,80201,0,0,0,0,0.0,2,1,4.0,0.0,0,Bernd,3.5,22,0,44.6,False,446.0,1961,,2021-02-02T20:30:22.406559Z,50,0,0,1,80201.jpg,4.0,1,54,Leno,7.2,False,,a,1,3,0.0,88,817559,4864,926874,23343,0.7,17.6,Leno,0
1,9,1,244,100.0,100.0,7,84450,0,0,-3,3,151.9,0,3,3.2,3.2,1,Granit,2.7,16,1,53.8,False,277.6,1534,,2020-12-13T22:30:16.182130Z,52,0,0,0,84450.jpg,2.3,1,0,Xhaka,0.4,False,,a,1,3,109.0,44,36952,495,74056,1246,0.5,8.5,Xhaka,4
0,10,1,63,100.0,100.0,2,92371,0,0,-1,1,11.7,0,2,0.5,0.5,0,Pablo,0.0,1,0,7.4,False,59.0,270,,2021-01-14T22:00:26.195009Z,44,0,0,0,92371.jpg,4.7,0,0,Marí,0.1,False,,a,1,3,4.0,14,31527,199,27372,488,0.0,3.2,Marí,1
3,11,13,348,100.0,100.0,6,98745,0,0,1,-1,308.5,3,2,3.8,3.8,2,Héctor,3.3,20,0,76.2,False,294.8,1730,,2020-12-13T22:30:16.198432Z,51,0,0,0,98745.jpg,3.6,0,0,Bellerín,4.5,False,,a,1,3,158.0,73,935386,4979,988459,18539,0.6,14.3,Bellerín,7
0,13,0,0,100.0,100.0,0,101184,0,0,0,0,0.0,0,2,0.5,0.5,0,Calum,0.0,0,0,0.0,False,0.0,0,,2020-08-15T10:00:11.386295Z,45,0,0,0,101184.jpg,0.0,0,0,Chambers,0.0,False,,a,1,3,0.0,0,2458,117,2670,150,0.0,0.0,Chambers,0
0,14,0,9,0.0,0.0,0,111457,0,0,-2,2,5.4,0,2,0.0,0.0,0,Sead,0.0,1,0,1.3,False,3.6,90,Joined Schalke on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-03T19:00:21.713564Z,48,0,0,0,111457.jpg,2.0,0,0,Kolasinac,0.1,False,,u,1,3,4.0,2,5329,0,21202,87,0.0,0.4,Kolasinac,0
1,16,6,368,100.0,100.0,8,156074,0,0,1,-1,59.9,1,2,4.7,4.7,2,Rob,4.2,18,0,53.8,False,382.8,1755,,2020-10-17T22:30:19.025474Z,46,1,0,0,156074.jpg,3.5,0,0,Holding,5.3,False,,a,1,3,95.0,71,768321,7906,474212,36944,0.9,15.4,Holding,2
2,17,3,339,0.0,0.0,6,192895,-1,1,-3,3,337.7,1,2,0.0,0.0,0,Kieran,1.0,18,1,76.9,False,300.8,1520,Calf injury - Expected back 21 Feb,2021-01-26T10:30:25.655770Z,52,0,0,0,192895.jpg,3.8,0,0,Tierney,4.3,False,,i,1,3,130.0,65,742730,543,1208302,40110,0.2,12.5,Tierney,3
0,18,1,133,100.0,100.0,1,195735,0,0,-4,4,111.8,0,3,3.7,3.7,2,Nicolas,3.2,14,4,60.7,False,186.0,805,,2020-11-22T18:30:18.803078Z,76,0,0,0,195735.jpg,2.6,1,0,Pépé,0.8,False,,a,1,3,311.0,41,54505,3288,157970,5152,0.4,5.4,Pépé,1
0,19,0,0,0.0,0.0,0,198849,0,0,-3,3,0.0,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,False,0.0,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,0,198849.jpg,0.0,0,0,Torreira,0.1,False,,u,1,3,0.0,0,3459,0,17525,26,0.0,0.0,Torreira,0
0,21,0,2,100.0,100.0,0,200641,0,0,-4,4,9.7,0,3,0.5,0.5,0,Reiss,0.0,0,0,2.4,False,4.2,70,,2020-12-31T11:00:17.325196Z,51,0,0,0,200641.jpg,1.0,0,0,Nelson,0.0,False,,a,1,3,10.0,2,2034,38,6477,76,0.0,0.4,Nelson,0
1,22,4,84,,,0,205533,0,0,-6,6,58.8,0,4,0.8,0.8,0,Edward,0.3,6,1,24.9,False,74.4,317,,,54,0,0,0,205533.jpg,1.9,0,0,Nketiah,0.5,False,,a,1,3,120.0,27,52174,455,151238,1240,0.1,5.0,Nketiah,0
4,23,0,146,100.0,100.0,6,209289,-1,1,-2,2,192.6,0,3,3.5,3.5,2,Emile,3.0,4,0,43.2,False,125.6,732,,2021-01-26T23:00:26.324851Z,43,0,0,0,209289.jpg,4.0,0,0,Smith Rowe,2.2,False,,a,1,3,113.0,36,431608,15097,274754,22351,0.7,8.4,Smith Rowe,0
3,24,8,304,100.0,100.0,6,223340,0,0,-1,1,447.3,2,3,5.3,5.3,2,Bukayo,4.8,19,5,156.3,False,405.4,1683,,2021-01-30T20:00:21.490066Z,54,1,0,0,223340.jpg,4.2,0,0,Saka,9.5,False,,a,1,3,710.0,85,1353927,36289,1146309,77206,0.9,15.7,Saka,0
0,25,0,0,0.0,0.0,0,242166,0,0,-3,3,0.0,0,3,0.0,0.0,0,Matteo,0.0,0,0,0.0,False,0.0,0,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,0,0,0,242166.jpg,0.0,0,0,Guendouzi,0.1,False,,u,1,3,0.0,0,2725,0,13064,29,0.0,0.0,Guendouzi,0
0,26,0,18,100.0,100.0,2,444145,0,0,-1,1,17.8,0,3,0.8,0.8,0,Gabriel Teodoro,0.3,0,0,11.1,False,18.4,207,,2021-01-09T23:30:20.360437Z,49,0,0,0,444145.jpg,1.8,0,0,Martinelli Silva,0.1,False,,a,1,3,76.0,9,84876,230,80763,1602,0.1,1.8,Martinelli,0
0,27,0,0,0.0,0.0,0,462424,0,0,-5,5,0.0,0,2,0.0,0.0,0,William,0.0,0,0,0.0,False,0.0,0,Joined Nice on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-04T23:00:20.315877Z,40,0,0,0,462424.jpg,0.0,0,0,Saliba,0.5,False,,u,1,3,0.0,0,30961,0,225006,739,0.0,0.0,Saliba,0
0,70,0,183,100.0,100.0,2,131897,0,0,-3,3,0.3,0,1,1.2,1.2,4,Mathew,0.7,20,0,17.8,False,178.0,1080,,2021-02-01T19:30:26.014607Z,42,0,0,0,131897.jpg,2.4,0,23,Ryan,6.9,False,,a,1,3,0.0,29,480979,6625,1197266,10679,0.2,6.9,Ryan,1
4,478,2,188,100.0,100.0,2,47431,0,0,-5,5,333.6,1,3,1.2,1.2,1,Willian,0.7,13,0,64.0,False,145.6,991,,2020-12-26T18:00:16.845067Z,75,0,0,0,47431.jpg,2.6,0,0,Borges Da Silva,2.8,False,,a,1,3,158.0,44,777283,262,1341276,2063,0.1,5.9,Willian,0
0,494,6,248,100.0,100.0,3,226597,0,0,0,0,23.8,1,2,1.0,1.0,2,Gabriel,0.5,15,2,51.4,False,328.6,1186,,2020-12-26T18:00:16.873188Z,50,0,0,0,226597.jpg,3.6,1,0,Magalhães,4.8,False,,a,1,3,161.0,50,1021581,1297,1153547,5718,0.1,10.0,Gabriel,1
1,501,3,207,100.0,100.0,4,182539,0,0,-3,3,259.6,0,3,1.0,1.0,0,Daniel,0.5,12,0,54.3,False,230.6,1015,,2021-01-18T22:00:23.859834Z,47,0,0,0,182539.jpg,2.1,0,0,Ceballos Fernández,0.7,False,,a,1,3,51.0,33,139975,111,240979,1058,0.1,7.0,Ceballos,3
