assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,115,0,32,,,1,126187,0,0,-1,1,24.1,0,3,1.7,1.2,2,Ruben,1.7,3,0,7.9,False,18.2,213,,,59,0,0,0,126187.jpg,2.3,0,0,Loftus-Cheek,0.2,False,,a,8,54,37.0,7,8050,1069,10563,1069,0.3,1.2,Loftus-Cheek,0
0,171,0,0,,,0,40559,0,0,0,0,0.0,0,1,0.0,-0.5,0,Fabricio,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,40559.jpg,0.0,0,0,Agosto Ramírez,1.8,False,,a,8,54,0.0,0,27202,1270,36493,2835,0.0,0.0,Fabri,0
0,172,0,0,0.0,0.0,0,55038,0,0,-2,2,0.0,0,3,0.0,0.0,0,Kevin,0.0,0,0,0.0,False,0.0,0,Not included in Fulham's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.518943Z,48,0,0,0,55038.jpg,0.0,0,0,McDonald,0.0,False,,n,8,54,0.0,0,764,7,4493,382,0.0,0.0,McDonald,0
0,173,0,12,,,0,61739,0,0,-2,2,1.6,0,2,0.3,-0.2,0,Maxime,0.3,1,0,1.6,False,12.6,122,,,43,0,0,0,61739.jpg,0.5,0,0,Le Marchand,0.1,False,,a,8,54,1.0,1,1284,213,8201,475,0.1,0.2,Le Marchand,2
0,174,0,0,0.0,0.0,0,61916,0,0,-2,2,0.0,0,3,0.0,0.0,0,Stefan,0.0,0,0,0.0,False,0.0,0,Not included in Fulham's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.533609Z,48,0,0,0,61916.jpg,0.0,0,0,Johansen,0.0,False,,n,8,54,0.0,0,337,1,2626,259,0.0,0.0,Johansen,0
0,175,2,100,,,0,76357,0,0,-2,2,173.0,0,3,4.3,3.8,9,Tom,4.3,10,1,33.6,False,119.0,450,,,53,0,0,0,76357.jpg,3.0,0,0,Cairney,0.2,False,,a,8,54,44.0,15,3611,1968,14203,565,0.8,2.8,Cairney,2
0,176,0,78,,,0,82514,0,0,-1,1,4.7,0,2,1.7,1.2,1,Tim,1.7,10,0,8.8,False,82.6,450,,,44,0,0,0,82514.jpg,1.4,0,0,Ream,0.2,False,,a,8,54,0.0,7,6047,1249,9491,1128,0.4,1.6,Ream,0
0,177,0,0,0.0,0.0,0,83543,-1,1,-4,4,0.0,0,3,0.0,0.0,0,Anthony,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on loan until 7/1 on 16/10. - Expected back 07 Jan,2020-10-16T21:30:11.452901Z,51,0,0,0,83543.jpg,0.0,0,0,Knockaert,0.1,False,,n,8,54,0.0,0,927,12,11150,559,0.0,0.0,Knockaert,0
0,178,0,33,,,0,84915,-1,1,-2,2,11.3,0,2,0.0,-0.5,0,Michael,0.0,10,0,6.7,False,38.8,237,,,43,0,0,0,84915.jpg,0.0,0,0,Hector,0.2,False,,a,8,54,18.0,0,3849,324,14888,1040,0.0,0.0,Hector,1
0,179,0,0,0.0,0.0,0,87107,0,0,-2,2,0.0,0,2,0.0,0.0,0,Cyrus,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on loan until the end of the season on 18/9. - Expected back 01 Jul,2020-09-21T00:30:18.332101Z,43,0,0,0,87107.jpg,0.0,0,0,Christie,0.0,False,,n,8,54,0.0,0,433,34,8622,324,0.0,0.0,Christie,0
0,180,0,11,0.0,,0,92259,0,0,-2,2,14.6,0,3,0.0,-0.2,0,Neeskens,0.3,3,0,5.9,False,1.4,115,Unknown - Unknown return date,2020-10-29T13:00:17.682650Z,48,0,0,0,92259.jpg,1.2,0,0,Kebano,0.1,False,,i,8,54,47.0,5,2481,73,9534,633,0.1,1.0,Kebano,0
0,181,0,46,,,0,96994,0,0,-1,1,15.1,0,4,1.0,0.5,1,Bobby,1.0,4,1,10.3,False,41.6,220,,,54,0,0,0,96994.jpg,2.0,0,0,Decordova-Reid,0.1,False,,a,8,54,47.0,10,10586,419,14679,1491,0.2,1.9,Decordova-Reid,1
1,182,0,61,,,0,101105,-1,1,-2,2,50.6,0,2,0.7,0.2,0,Joe,0.7,11,0,13.6,False,60.2,336,,,48,0,0,0,101105.jpg,1.5,0,0,Bryan,0.5,False,,a,8,54,25.0,6,12068,564,47584,4073,0.1,1.2,Bryan,1
0,183,0,0,0.0,0.0,0,122074,0,0,-1,1,0.0,0,1,0.0,0.0,0,Marcus,0.0,0,0,0.0,False,0.0,0,Joined Middlesbrough on loan until the end of the season on 10/9. - Expected back 01 Jul,2020-09-10T14:30:11.949431Z,44,0,0,0,122074.jpg,0.0,0,0,Bettinelli,0.0,False,,n,8,54,0.0,0,422,39,4040,161,0.0,0.0,Bettinelli,0
0,184,3,47,,,0,128389,-1,1,-2,2,72.2,0,4,1.3,0.8,2,Aleksandar,1.3,11,2,42.6,False,89.8,477,,,58,0,1,0,128389.jpg,3.2,0,0,Mitrović,8.9,False,,a,8,54,277.0,19,449860,13780,1376849,128053,0.2,3.3,Mitrović,1
