element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
2,1,0,1.8,2.73,12.08,11.1,4.25,13.75,1.0,1.5,1.25,2.02,13.5,9.75,5.95,4.5,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,5
4,0,1,5.9,8.27,28.89,15.49,38.33,22.8,5.5,6.0,6.0,8.32,23.0,29.48,19.12,34.4,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,12
1,1,0,3.4,3.15,31.61,0.0,0.0,20.07,4.2,4.7,4.2,4.74,24.0,47.44,0.0,0.0,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,3
3,0,1,3.2,7.2,14.1,43.25,14.67,16.67,3.8,4.3,3.4,8.1,17.0,15.64,48.14,17.2,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,2
3,0,1,2.1,3.26,16.47,11.93,4.18,12.27,1.0,1.5,2.0,3.35,16.5,20.0,13.55,0.0,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,2
3,0,1,1.8,2.88,9.28,7.29,12.08,7.5,1.5,2.0,1.8,2.12,7.8,7.2,4.22,9.6,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,2
2,1,0,2.7,4.59,17.54,9.22,19.3,12.7,0.5,1.0,1.0,4.02,9.25,16.35,4.43,19.75,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,2
3,0,1,2.5,6.22,15.05,22.83,24.15,9.08,0.5,1.0,0.67,3.13,1.0,7.67,5.87,17.67,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,12
4,0,1,1.3,0.77,1.43,0.79,5.57,2.71,1.5,2.0,1.75,0.75,4.75,1.15,0.1,6.25,2.0,1.0,1.1,2.2,1.6,1.6,28.7,16.6,23.6,13.4,43.6,19.0,44.1,20.9,150.1,114.6,123.2,111.7,116.4,44.6,123.8,55.8,170.2,30.4,194.0,41.6,114.9,85.8,102.6,81.4,7
2,1,0,1.9,3.47,15.89,17.6,1.14,12.43,1.5,0.5,3.0,4.6,17.0,25.1,17.5,3.0,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,0
3,0,1,4.6,8.51,29.42,33.27,22.31,19.38,4.2,3.2,5.67,9.37,20.67,29.6,35.93,28.0,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,6
3,0,1,4.0,6.38,20.74,17.05,26.08,13.31,3.5,0.0,3.75,6.45,16.25,23.8,23.95,16.75,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,2
3,0,1,3.8,6.93,24.07,20.93,24.4,14.93,2.2,1.2,2.8,5.56,13.2,19.08,22.96,13.6,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,1
1,1,0,2.9,2.61,26.14,0.02,0.0,17.5,2.5,1.5,3.0,3.82,21.5,38.1,0.08,0.0,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,1
2,1,0,4.6,4.87,26.71,19.01,2.89,22.33,3.8,2.8,3.2,3.44,19.0,22.64,11.38,0.4,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,-1
4,0,1,3.5,5.34,15.52,7.22,31.53,9.4,1.8,0.8,1.8,3.16,2.2,6.76,6.34,19.6,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,1
2,1,0,2.0,2.64,20.44,2.42,3.4,12.8,2.2,1.2,2.25,3.12,15.0,24.0,2.95,4.25,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,3
3,0,1,2.8,5.86,17.72,9.42,31.54,8.31,4.5,3.5,6.25,8.02,19.5,33.75,5.03,41.25,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,1
3,0,1,2.8,3.08,13.35,4.88,12.54,11.62,2.0,1.0,2.2,3.56,12.0,10.24,3.1,22.2,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,2
3,0,1,2.0,3.28,19.64,10.76,2.22,15.22,0.8,-0.2,1.67,3.07,13.33,18.53,8.27,3.67,5.0,0.0,2.9,1.1,2.2,1.6,22.3,7.3,25.6,8.2,25.9,16.2,26.7,16.9,112.2,123.4,131.7,136.6,57.8,18.7,59.0,19.6,89.3,19.3,76.2,12.6,86.5,79.2,97.2,79.0,0
2,1,0,3.3,3.86,23.07,4.29,11.27,19.0,1.2,0.2,2.2,3.24,16.4,18.92,3.66,9.8,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,1
2,1,0,3.0,4.28,23.44,0.78,18.6,13.0,0.5,-0.5,2.0,4.8,12.0,25.6,1.4,21.0,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,1
2,1,0,3.6,5.22,22.18,25.88,4.0,17.83,2.5,1.5,3.2,3.82,15.6,18.52,17.18,2.2,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,1
4,0,1,4.0,5.4,15.56,14.47,24.2,12.67,2.0,1.0,1.8,2.8,2.2,2.52,12.58,13.8,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,2
4,0,1,1.5,3.15,4.0,8.95,18.69,2.62,1.0,0.0,1.33,4.8,4.67,7.73,21.03,19.33,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,2
3,0,1,2.9,4.81,12.86,19.15,16.29,10.0,3.2,2.2,3.0,5.42,8.8,12.32,20.66,21.2,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,2
3,0,1,2.0,2.03,9.09,8.39,2.78,10.11,2.5,1.5,2.2,3.1,13.0,11.56,14.24,5.0,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,1
3,0,1,1.5,2.08,11.94,5.42,3.46,10.85,0.8,-0.2,1.25,2.45,10.0,12.5,5.78,6.0,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,2
3,0,1,1.9,3.69,18.84,6.26,11.71,11.21,0.8,-0.2,1.5,3.62,9.75,19.5,5.93,11.0,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,1
3,0,1,2.0,2.25,5.4,4.82,12.25,6.12,2.5,1.5,2.5,2.42,10.25,7.1,6.15,11.0,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,2
1,1,0,3.8,2.52,24.51,0.67,0.0,18.87,2.2,1.2,3.6,2.5,18.6,25.16,0.0,0.0,2.0,1.0,0.6,2.0,0.8,1.8,27.5,25.5,26.0,21.8,40.0,17.6,41.3,16.1,134.8,112.5,131.3,103.1,113.6,33.1,107.1,28.8,151.7,30.6,174.0,29.4,110.4,113.5,105.8,100.2,3
2,1,0,2.5,3.41,20.27,3.69,10.07,15.67,2.8,2.3,2.4,3.84,16.8,19.96,2.52,16.0,3.0,1.0,1.1,1.7,1.0,2.2,26.7,19.7,29.4,24.0,38.9,20.9,40.6,23.1,129.2,114.1,142.4,128.3,108.9,52.0,114.6,47.2,150.8,42.6,148.2,55.0,102.1,100.4,111.6,110.2,0
2,1,0,3.8,4.19,23.64,3.67,14.6,17.93,7.5,7.0,6.0,5.16,20.2,27.48,2.3,21.8,3.0,1.0,1.1,1.7,1.0,2.2,26.7,19.7,29.4,24.0,38.9,20.9,40.6,23.1,129.2,114.1,142.4,128.3,108.9,52.0,114.6,47.2,150.8,42.6,148.2,55.0,102.1,100.4,111.6,110.2,0
4,0,1,3.9,6.55,19.28,8.9,37.62,11.15,4.0,3.5,4.0,7.5,10.75,21.5,10.07,43.25,3.0,1.0,1.1,1.7,1.0,2.2,26.7,19.7,29.4,24.0,38.9,20.9,40.6,23.1,129.2,114.1,142.4,128.3,108.9,52.0,114.6,47.2,150.8,42.6,148.2,55.0,102.1,100.4,111.6,110.2,2
