element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,5.7,9.59,27.91,48.26,19.68,23.29,10.0,10.5,10.0,11.4,39.33,43.2,56.3,14.67,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,19
3,0,1,4.8,8.46,25.39,29.03,30.17,17.59,5.0,5.0,5.0,12.25,23.25,31.9,59.75,30.75,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,5
4,0,1,8.1,10.53,42.16,9.34,53.89,32.32,8.0,8.5,12.0,11.85,51.0,63.3,5.3,49.5,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,14
3,0,1,4.8,6.2,20.45,16.61,25.04,16.67,4.5,4.5,4.5,7.48,14.0,20.65,22.8,32.0,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,2
3,0,1,6.0,9.26,26.75,22.38,43.42,16.06,6.6,7.1,6.6,9.68,21.0,34.92,15.38,46.4,3,1,1.5,1.3,1.0,1.7,22.3,15.6,24.0,19.2,34.1,16.7,29.2,16.0,105.4,93.4,106.3,99.3,109.4,44.8,98.8,45.8,126.5,29.0,88.3,14.3,80.8,85.5,79.0,96.8,2
3,0,1,3.6,5.58,15.61,20.78,19.54,14.58,3.0,3.5,4.5,7.2,24.0,27.2,15.3,29.5,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,3
3,0,1,4.1,6.29,21.97,19.08,21.85,16.65,3.2,3.2,3.25,6.57,14.75,17.95,23.78,24.0,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,2
3,0,1,4.7,6.86,18.96,24.69,25.12,18.38,10.3,10.8,10.33,10.93,35.67,41.93,20.5,47.0,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,1
3,0,1,6.0,7.79,25.94,12.28,39.59,15.55,4.5,4.5,6.0,8.67,12.0,23.6,20.2,43.0,3,0,1.1,1.3,1.8,1.4,23.2,19.9,13.8,7.0,32.2,17.4,25.0,15.5,105.4,106.9,72.2,91.3,105.4,38.2,101.9,33.7,111.4,29.1,76.6,30.2,91.5,97.1,62.6,65.0,12
3,0,1,5.2,5.96,20.39,11.54,27.56,16.7,1.0,1.5,2.5,1.8,7.0,1.5,6.65,10.0,4,1,2.4,1.1,3.0,1.8,19.4,8.8,19.8,5.4,26.5,15.4,27.5,16.7,93.1,105.1,101.8,92.9,76.9,27.7,66.0,43.2,95.4,20.4,107.0,30.2,71.0,69.8,76.2,56.0,3
2,1,0,5.6,7.71,24.81,48.79,3.39,25.81,3.8,4.3,3.5,7.0,22.5,22.7,47.23,0.0,4,1,2.4,1.1,3.0,1.8,19.4,8.8,19.8,5.4,26.5,15.4,27.5,16.7,93.1,105.1,101.8,92.9,76.9,27.7,66.0,43.2,95.4,20.4,107.0,30.2,71.0,69.8,76.2,56.0,2
3,0,1,3.9,5.22,15.78,21.08,15.28,13.22,3.2,3.2,3.25,4.55,11.5,11.0,24.2,10.25,3,0,1.1,1.3,1.8,1.4,23.2,19.9,13.8,7.0,32.2,17.4,25.0,15.5,105.4,106.9,72.2,91.3,105.4,38.2,101.9,33.7,111.4,29.1,76.6,30.2,91.5,97.1,62.6,65.0,7
3,0,1,4.2,7.29,23.49,33.43,15.86,18.79,3.2,3.2,3.25,9.12,17.5,25.3,47.15,18.5,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,0
1,1,0,4.7,2.4,21.9,2.17,0.0,22.67,2.8,2.8,3.67,2.53,21.67,21.13,4.33,0.0,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,10
3,0,1,3.6,5.67,14.38,14.84,27.72,10.78,5.2,5.2,5.25,7.15,14.25,17.45,22.23,32.75,3,0,1.1,1.3,1.8,1.4,23.2,19.9,13.8,7.0,32.2,17.4,25.0,15.5,105.4,106.9,72.2,91.3,105.4,38.2,101.9,33.7,111.4,29.1,76.6,30.2,91.5,97.1,62.6,65.0,2
4,0,1,2.5,3.73,11.32,5.39,20.8,8.1,4.5,4.5,6.0,6.7,22.33,27.93,9.6,29.33,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,2
1,1,0,3.5,1.47,14.27,0.44,0.0,16.87,2.3,2.8,2.33,1.43,14.67,14.27,0.0,0.0,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,2
3,0,1,3.9,6.06,14.21,30.65,15.84,11.52,5.0,5.0,5.0,7.52,14.5,23.55,17.28,34.5,3,1,1.3,1.8,1.0,1.7,29.7,18.5,31.8,21.2,39.2,16.3,41.1,19.2,134.0,96.5,141.3,117.8,122.8,41.6,140.6,43.0,135.9,24.5,131.8,30.8,107.8,96.1,118.5,106.3,2
3,0,1,5.7,8.44,26.52,31.85,25.94,22.19,6.2,5.7,5.4,6.28,21.0,26.4,18.08,18.2,4,0,1.7,0.8,2.8,1.2,18.8,14.8,15.2,7.7,28.2,14.1,19.8,9.5,90.7,93.6,75.8,61.9,89.5,27.1,59.6,20.4,102.5,20.2,63.5,12.2,69.8,82.3,57.0,57.7,2
3,0,1,4.4,9.27,26.06,41.61,25.0,19.21,2.5,1.9,2.5,10.65,17.75,23.2,57.22,26.0,3,0,1.1,1.3,1.8,1.4,23.2,19.9,13.8,7.0,32.2,17.4,25.0,15.5,105.4,106.9,72.2,91.3,105.4,38.2,101.9,33.7,111.4,29.1,76.6,30.2,91.5,97.1,62.6,65.0,5
3,0,1,4.1,5.71,18.1,11.18,27.9,11.5,0.4,0.9,1.0,0.9,3.0,3.1,6.15,0.0,3,1,1.5,1.3,1.0,1.7,22.3,15.6,24.0,19.2,34.1,16.7,29.2,16.0,105.4,93.4,106.3,99.3,109.4,44.8,98.8,45.8,126.5,29.0,88.3,14.3,80.8,85.5,79.0,96.8,1
3,0,1,4.1,5.0,16.47,11.92,22.0,10.79,3.2,3.7,3.2,4.54,10.8,13.56,15.68,17.0,3,1,1.5,1.3,1.0,1.7,22.3,15.6,24.0,19.2,34.1,16.7,29.2,16.0,105.4,93.4,106.3,99.3,109.4,44.8,98.8,45.8,126.5,29.0,88.3,14.3,80.8,85.5,79.0,96.8,10
4,0,1,5.7,8.3,29.55,13.01,40.57,19.17,5.2,5.2,4.67,7.93,16.5,26.7,11.97,40.67,4,0,1.9,1.2,2.4,1.8,24.2,13.8,29.8,14.0,32.4,16.1,45.9,17.8,113.9,108.1,141.2,111.7,94.6,32.1,160.2,42.6,115.3,20.8,158.0,23.8,88.4,87.3,118.4,101.0,2
2,1,0,4.2,5.29,20.51,19.38,12.95,20.33,5.2,5.2,7.0,5.2,25.67,22.87,17.13,12.0,3,0,1.1,1.3,1.8,1.4,23.2,19.9,13.8,7.0,32.2,17.4,25.0,15.5,105.4,106.9,72.2,91.3,105.4,38.2,101.9,33.7,111.4,29.1,76.6,30.2,91.5,97.1,62.6,65.0,1
3,0,1,3.6,4.8,14.95,13.73,19.3,11.4,4.0,4.5,4.5,5.03,16.5,17.93,15.1,17.33,4,1,2.4,1.1,3.0,1.8,19.4,8.8,19.8,5.4,26.5,15.4,27.5,16.7,93.1,105.1,101.8,92.9,76.9,27.7,66.0,43.2,95.4,20.4,107.0,30.2,71.0,69.8,76.2,56.0,5
2,1,0,3.0,2.67,14.6,4.9,7.18,17.41,1.7,2.2,1.67,1.37,13.33,11.13,1.67,0.67,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,2
3,0,1,3.3,5.59,22.12,17.91,15.79,18.34,2.3,2.8,2.33,3.13,14.33,12.4,7.73,11.0,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,1
3,0,1,3.5,4.59,16.22,15.87,13.82,13.71,1.0,1.5,1.0,2.3,4.0,5.4,7.63,10.0,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,2
2,1,0,3.8,5.92,20.19,32.37,6.63,21.07,3.8,4.3,4.75,8.22,29.75,35.65,44.18,2.25,3,1,1.5,1.3,1.0,1.7,22.3,15.6,24.0,19.2,34.1,16.7,29.2,16.0,105.4,93.4,106.3,99.3,109.4,44.8,98.8,45.8,126.5,29.0,88.3,14.3,80.8,85.5,79.0,96.8,5
3,0,1,5.8,9.31,28.89,31.5,32.69,19.31,3.8,3.3,6.6,10.34,21.2,36.68,34.0,32.6,4,0,1.7,0.8,2.8,1.2,18.8,14.8,15.2,7.7,28.2,14.1,19.8,9.5,90.7,93.6,75.8,61.9,89.5,27.1,59.6,20.4,102.5,20.2,63.5,12.2,69.8,82.3,57.0,57.7,2
1,1,0,4.1,2.11,20.63,0.43,0.0,19.03,5.0,5.0,5.0,1.35,20.75,13.0,0.75,0.0,3,0,1.1,1.3,1.8,1.4,23.2,19.9,13.8,7.0,32.2,17.4,25.0,15.5,105.4,106.9,72.2,91.3,105.4,38.2,101.9,33.7,111.4,29.1,76.6,30.2,91.5,97.1,62.6,65.0,2
3,0,1,5.9,9.04,25.83,25.41,39.22,19.28,8.0,7.5,7.8,12.34,29.0,42.96,41.72,38.6,4,0,1.7,0.8,2.8,1.2,18.8,14.8,15.2,7.7,28.2,14.1,19.8,9.5,90.7,93.6,75.8,61.9,89.5,27.1,59.6,20.4,102.5,20.2,63.5,12.2,69.8,82.3,57.0,57.7,1
2,1,0,3.4,4.56,16.38,21.14,8.08,16.92,2.5,2.5,2.5,5.9,15.5,17.95,29.5,11.5,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,1
2,1,0,3.0,2.4,15.68,2.94,5.36,16.05,2.0,2.5,2.0,2.0,14.67,18.13,1.8,0.0,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,1
2,1,0,4.1,2.92,16.46,7.21,5.56,18.33,3.3,3.8,3.33,2.4,12.33,16.87,4.23,3.0,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,9
4,0,1,4.3,6.08,19.99,9.46,31.43,14.87,5.8,6.3,7.25,7.98,30.0,38.0,11.38,30.5,4,1,2.4,1.1,3.0,1.8,19.4,8.8,19.8,5.4,26.5,15.4,27.5,16.7,93.1,105.1,101.8,92.9,76.9,27.7,66.0,43.2,95.4,20.4,107.0,30.2,71.0,69.8,76.2,56.0,13
3,0,1,3.9,6.6,16.72,19.15,30.03,11.42,5.4,4.9,5.4,5.04,15.6,19.6,10.62,20.0,3,1,1.5,1.2,1.2,0.5,25.0,13.7,28.2,17.0,35.8,16.4,38.4,18.7,115.9,100.1,142.2,110.8,106.3,37.7,111.8,56.0,135.5,26.0,130.5,20.5,93.6,82.1,112.5,95.2,2
3,0,1,3.7,5.34,19.57,12.66,21.15,14.93,7.0,7.5,7.0,6.68,26.4,30.08,7.92,28.6,4,1,2.4,1.1,3.0,1.8,19.4,8.8,19.8,5.4,26.5,15.4,27.5,16.7,93.1,105.1,101.8,92.9,76.9,27.7,66.0,43.2,95.4,20.4,107.0,30.2,71.0,69.8,76.2,56.0,9
4,0,1,6.4,10.17,33.37,19.07,49.19,24.22,6.0,6.0,6.0,7.76,22.8,30.2,10.94,36.4,2,1,1.0,1.2,2.0,1.2,24.6,19.6,19.6,10.0,35.4,16.7,27.5,11.6,111.0,96.7,101.6,74.6,112.7,41.1,86.7,22.7,130.7,29.2,86.4,18.4,87.4,93.4,69.6,67.6,11
3,0,1,3.6,5.98,14.97,27.52,17.39,11.77,4.0,4.0,3.5,5.7,12.5,17.03,26.68,13.33,2,1,0.8,1.8,1.4,2.6,27.8,24.4,36.0,25.0,37.9,18.5,44.4,20.2,130.7,115.7,165.6,119.8,115.9,39.4,144.3,46.5,133.8,29.9,135.0,35.4,100.3,108.9,136.6,116.4,7
2,1,0,3.2,2.92,18.28,4.34,6.55,17.41,4.2,4.2,4.25,5.0,19.5,26.6,7.62,15.75,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,1
1,1,0,4.3,2.71,26.77,0.33,0.0,22.26,2.6,3.1,2.6,2.48,19.6,24.84,0.0,0.0,3,1,1.5,1.3,1.0,1.7,22.3,15.6,24.0,19.2,34.1,16.7,29.2,16.0,105.4,93.4,106.3,99.3,109.4,44.8,98.8,45.8,126.5,29.0,88.3,14.3,80.8,85.5,79.0,96.8,2
2,1,0,2.3,1.73,8.19,7.58,1.58,12.32,1.0,1.5,1.5,1.25,7.0,3.4,5.4,4.0,2,1,1.3,1.9,1.7,3.3,28.3,18.8,34.5,10.8,36.9,15.8,43.5,14.7,138.4,98.9,181.3,97.4,108.2,32.2,122.0,24.9,123.3,26.6,131.8,24.8,102.7,87.2,137.3,65.0,2
3,0,1,3.2,5.24,12.32,17.85,22.36,7.59,0.8,0.8,1.0,0.9,1.0,0.87,5.7,3.33,2,0,1.0,2.0,1.0,2.0,30.1,23.5,37.2,24.5,45.6,20.9,55.1,25.1,141.1,108.6,184.3,136.9,147.4,56.4,170.5,78.3,168.4,43.4,197.2,35.3,113.0,111.5,142.3,124.8,2
3,0,1,2.2,4.22,17.06,18.98,6.11,14.5,2.2,2.2,2.25,5.67,20.0,20.4,31.12,5.25,2,1,0.8,1.4,0.8,1.6,25.5,19.1,27.4,21.8,37.7,16.8,39.1,20.7,113.9,92.3,129.0,108.2,120.3,46.4,131.6,65.3,143.6,29.7,130.8,33.6,89.2,91.8,101.2,106.6,2
3,0,1,4.1,6.99,19.53,24.39,26.03,12.37,5.2,5.2,5.2,6.56,15.2,23.12,22.66,19.8,2,1,1.0,1.2,2.0,1.2,24.6,19.6,19.6,10.0,35.4,16.7,27.5,11.6,111.0,96.7,101.6,74.6,112.7,41.1,86.7,22.7,130.7,29.2,86.4,18.4,87.4,93.4,69.6,67.6,8
3,0,1,2.8,3.49,11.78,10.95,12.1,10.58,2.4,2.9,2.33,2.65,10.67,8.5,7.57,10.33,4,1,2.4,1.1,3.0,1.8,19.4,8.8,19.8,5.4,26.5,15.4,27.5,16.7,93.1,105.1,101.8,92.9,76.9,27.7,66.0,43.2,95.4,20.4,107.0,30.2,71.0,69.8,76.2,56.0,3
2,1,0,3.5,5.05,16.94,26.34,7.18,19.11,1.6,2.1,1.6,3.98,13.2,16.08,20.5,3.2,3,1,1.5,1.3,1.0,1.7,22.3,15.6,24.0,19.2,34.1,16.7,29.2,16.0,105.4,93.4,106.3,99.3,109.4,44.8,98.8,45.8,126.5,29.0,88.3,14.3,80.8,85.5,79.0,96.8,6
3,0,1,4.7,8.52,26.01,32.45,26.58,18.29,1.6,1.2,2.4,6.14,8.8,11.88,30.7,18.6,2,0,1.4,1.4,1.5,1.2,26.3,17.2,25.5,16.2,38.9,16.8,36.5,16.9,124.1,100.0,121.3,112.4,115.8,36.6,118.1,31.4,149.6,30.9,126.2,24.5,96.2,92.0,90.2,91.5,6
3,0,1,4.0,5.43,17.26,9.17,27.89,10.54,2.2,1.7,4.5,4.75,13.5,20.7,5.0,21.75,2,0,1.4,1.4,1.5,1.2,26.3,17.2,25.5,16.2,38.9,16.8,36.5,16.9,124.1,100.0,121.3,112.4,115.8,36.6,118.1,31.4,149.6,30.9,126.2,24.5,96.2,92.0,90.2,91.5,2
2,1,0,4.0,4.2,18.14,19.41,4.42,19.62,0.2,0.2,0.5,2.6,9.5,7.2,16.75,2.5,3,0,1.1,1.3,1.8,1.4,23.2,19.9,13.8,7.0,32.2,17.4,25.0,15.5,105.4,106.9,72.2,91.3,105.4,38.2,101.9,33.7,111.4,29.1,76.6,30.2,91.5,97.1,62.6,65.0,1
4,0,1,5.0,9.75,26.69,16.52,54.3,15.8,7.0,6.5,5.8,7.6,18.8,29.88,9.64,37.0,4,0,1.7,0.8,2.8,1.2,18.8,14.8,15.2,7.7,28.2,14.1,19.8,9.5,90.7,93.6,75.8,61.9,89.5,27.1,59.6,20.4,102.5,20.2,63.5,12.2,69.8,82.3,57.0,57.7,2
3,0,1,3.0,5.35,15.08,18.84,19.62,9.97,3.2,2.7,3.2,5.06,9.8,13.36,20.7,16.4,3,1,1.5,1.2,1.2,0.5,25.0,13.7,28.2,17.0,35.8,16.4,38.4,18.7,115.9,100.1,142.2,110.8,106.3,37.7,111.8,56.0,135.5,26.0,130.5,20.5,93.6,82.1,112.5,95.2,2
