element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
2,1,0,2.0,2.93,10.73,0.4,18.0,11.67,0.3,0.8,1.0,0.65,5.5,6.2,0.2,0.0,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
3,0,1,1.7,3.08,10.13,10.32,10.25,6.83,1.2,1.7,1.5,2.45,8.5,11.3,6.65,6.75,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,5
4,0,1,1.9,2.02,6.55,1.86,11.82,6.27,0.8,1.3,1.5,0.75,4.0,2.7,1.35,3.5,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,8
3,0,1,3.1,5.73,15.95,20.45,20.79,10.68,2.3,2.8,3.0,4.6,11.25,15.65,17.8,12.75,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
2,1,0,2.8,3.6,24.06,3.97,7.89,15.95,3.2,3.7,3.8,3.04,17.2,20.92,3.98,5.4,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
3,0,1,1.8,2.88,11.21,7.86,9.63,9.95,1.8,1.7,1.8,2.52,12.6,14.56,7.28,3.2,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
3,0,1,2.2,3.2,14.94,12.19,4.75,12.62,1.7,2.2,2.5,3.23,14.0,12.85,13.67,5.5,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,1
3,0,1,2.7,5.54,10.4,34.57,10.42,12.58,1.8,2.3,2.5,4.15,8.75,7.4,27.57,6.5,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
2,1,0,2.6,3.28,18.69,11.66,2.85,15.85,2.5,3.0,2.8,1.94,16.4,14.0,4.74,0.8,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
4,0,1,3.7,7.37,18.64,15.56,39.4,12.2,1.5,2.0,1.8,6.0,4.6,8.36,15.44,36.0,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
1,1,0,3.5,2.81,28.18,0.0,0.0,19.45,3.8,4.3,4.2,1.94,18.4,19.48,0.0,0.0,2,1,1.1,1.7,0.4,1.6,27.7,19.7,27.4,29.0,38.1,16.9,36.0,18.3,126.9,96.8,115.5,88.9,113.1,42.7,102.2,53.6,141.7,28.9,142.6,39.6,103.0,96.8,101.0,114.2,2
3,0,1,1.5,0.4,3.1,1.2,0.0,6.5,0.3,-0.2,2.0,0.4,9.0,2.8,1.5,0.0,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,1
2,1,0,3.5,4.53,23.14,19.94,2.14,18.93,1.5,0.8,3.0,3.53,16.0,19.0,16.3,0.0,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,2
2,1,0,2.4,3.06,24.23,3.38,2.89,16.56,0.2,-0.3,0.5,1.25,12.0,12.1,0.25,0.0,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,2
2,1,0,2.1,3.08,19.74,4.42,6.5,15.0,1.3,0.8,2.0,2.92,16.5,12.6,5.5,11.0,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,2
3,0,1,2.6,5.28,13.76,11.14,28.05,7.63,2.0,1.5,2.75,5.4,9.0,7.7,21.98,24.25,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,2
3,0,1,1.7,2.52,14.48,9.17,1.4,12.73,1.3,0.8,1.5,1.65,9.75,7.15,9.17,0.0,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,1
2,1,0,2.5,3.05,19.19,8.92,2.35,14.12,0.7,0.2,1.0,2.87,11.0,18.87,7.17,2.33,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,2
2,1,0,1.5,3.15,25.77,1.08,4.5,12.0,1.5,1.0,1.8,3.2,13.2,26.56,0.68,4.6,2,0,1.1,1.4,1.0,0.6,24.9,17.1,19.2,15.0,32.6,17.3,28.0,18.7,115.6,113.6,86.1,116.0,92.6,34.0,91.0,44.0,118.0,25.1,102.4,26.6,93.0,88.3,76.8,78.0,2
