element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,3.9,6.72,21.2,13.17,32.67,13.92,0.6,0.1,1.0,0.25,1.5,0.6,0.85,1.0,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,2
2,1,0,4.0,2.74,20.06,0.82,6.4,17.75,4.0,3.5,3.8,2.6,17.4,21.12,2.26,2.6,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,1
3,0,1,2.5,2.88,13.08,10.17,5.4,11.05,2.3,1.8,2.75,2.38,10.75,15.9,4.77,3.0,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,1
3,0,1,3.7,6.42,14.35,25.99,23.87,12.67,3.4,2.9,3.6,5.84,13.2,12.12,26.96,19.4,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,2
4,0,1,4.6,8.73,23.57,15.79,48.18,14.77,4.7,4.2,5.0,9.16,14.8,27.52,10.04,54.0,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,2
3,0,1,3.6,4.74,13.95,12.2,21.25,11.2,3.7,3.2,3.0,3.58,3.8,6.96,9.86,19.2,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,8
2,1,0,4.3,3.48,22.91,3.05,8.67,19.1,4.0,3.5,4.2,3.2,19.4,23.84,0.36,7.8,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,1
2,1,0,4.5,3.26,16.85,11.85,3.82,20.18,6.0,5.5,4.8,3.74,21.2,23.12,10.26,4.2,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,1
1,1,0,5.8,2.96,28.76,0.91,0.0,24.41,6.4,5.9,7.2,3.68,27.0,34.76,2.0,0.0,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,2
3,0,1,3.3,3.97,15.5,15.72,8.52,13.86,2.0,1.5,2.6,3.12,13.6,16.6,10.18,4.4,3.0,0.0,1.0,1.7,1.4,1.6,25.0,17.5,24.6,15.0,39.1,16.5,33.8,17.8,121.6,88.3,121.5,98.8,125.9,37.1,111.6,25.6,144.1,39.2,106.2,53.4,95.9,86.5,90.6,81.4,5
4,0,1,3.5,4.62,10.53,8.65,27.0,10.55,0.4,0.4,1.0,2.25,1.0,2.0,0.15,20.5,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,1
3,0,1,2.7,3.02,11.56,13.35,5.2,10.8,2.6,2.6,6.5,5.3,17.0,27.3,14.25,11.5,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,1
3,0,1,2.9,3.56,10.73,12.03,13.0,8.64,2.0,2.0,2.5,5.65,7.0,9.7,19.68,27.0,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,2
1,1,0,4.5,2.41,24.02,0.0,0.0,22.33,6.4,6.4,6.4,2.18,25.6,21.64,0.0,0.0,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,1
3,0,1,2.1,2.67,13.96,7.62,5.27,12.73,2.6,2.6,2.6,2.36,13.8,13.8,7.14,2.8,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,2
2,1,0,3.0,2.17,13.33,5.29,2.91,16.22,5.6,5.6,5.6,2.38,22.0,12.44,5.38,5.8,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,1
3,0,1,3.5,6.01,17.2,31.46,11.5,14.65,4.6,4.6,4.6,9.94,21.2,23.76,55.84,20.0,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,2
2,1,0,2.2,2.21,9.56,4.24,8.56,10.31,2.8,2.8,3.5,3.42,10.75,11.5,3.9,18.75,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,0
2,1,0,3.9,3.99,21.28,4.44,14.1,18.57,7.2,7.2,7.2,5.5,26.4,24.08,6.5,24.2,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,1
2,1,0,2.9,3.45,17.11,14.02,3.33,15.11,4.8,4.8,6.0,5.85,23.0,20.65,28.7,9.0,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,7
4,0,1,3.5,6.07,14.36,10.92,35.59,11.23,1.8,1.8,1.8,5.3,4.0,2.64,18.56,32.0,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,2
3,0,1,3.7,5.92,14.13,24.43,20.67,11.71,4.4,4.4,4.4,7.92,14.6,21.6,21.64,35.8,2.0,1.0,1.5,1.4,1.4,2.4,23.0,13.7,30.8,23.2,34.5,15.6,45.5,21.9,112.5,89.4,145.9,117.9,104.1,37.8,143.2,50.1,127.8,28.6,164.6,50.8,90.8,80.0,124.0,113.8,2
4,0,1,1.2,1.89,1.59,4.84,12.93,3.07,0.9,0.7,1.5,2.72,4.25,2.4,9.6,15.75,2.0,0.0,0.8,2.3,0.8,2.4,29.5,22.2,31.0,24.4,45.4,18.2,43.2,21.8,144.9,93.8,150.3,110.7,134.0,49.0,118.0,64.0,176.2,38.7,163.0,43.4,114.9,96.4,120.0,106.2,2
2,1,0,3.5,2.8,16.43,7.64,3.85,16.35,4.0,4.0,3.67,4.05,17.33,20.2,11.7,8.5,2.0,0.0,0.8,2.3,0.8,2.4,29.5,22.2,31.0,24.4,45.4,18.2,43.2,21.8,144.9,93.8,150.3,110.7,134.0,49.0,118.0,64.0,176.2,38.7,163.0,43.4,114.9,96.4,120.0,106.2,6
3,0,1,2.8,3.96,13.98,22.09,3.5,15.5,2.6,2.6,2.5,4.17,16.67,14.5,25.38,1.67,2.0,0.0,0.8,2.3,0.8,2.4,29.5,22.2,31.0,24.4,45.4,18.2,43.2,21.8,144.9,93.8,150.3,110.7,134.0,49.0,118.0,64.0,176.2,38.7,163.0,43.4,114.9,96.4,120.0,106.2,3
4,0,1,2.1,2.15,6.12,4.59,11.16,5.68,3.0,3.0,4.2,3.78,11.0,15.48,6.26,16.4,2.0,0.0,0.8,2.3,0.8,2.4,29.5,22.2,31.0,24.4,45.4,18.2,43.2,21.8,144.9,93.8,150.3,110.7,134.0,49.0,118.0,64.0,176.2,38.7,163.0,43.4,114.9,96.4,120.0,106.2,2
3,0,1,2.0,1.85,5.6,3.42,9.33,6.33,1.7,1.7,2.0,1.85,6.33,5.6,3.42,9.33,2.0,0.0,0.8,2.3,0.8,2.4,29.5,22.2,31.0,24.4,45.4,18.2,43.2,21.8,144.9,93.8,150.3,110.7,134.0,49.0,118.0,64.0,176.2,38.7,163.0,43.4,114.9,96.4,120.0,106.2,2
2,1,0,4.4,3.73,25.29,2.11,9.71,18.29,3.3,3.3,3.2,3.7,14.8,23.88,2.3,10.8,2.0,0.0,0.8,2.3,0.8,2.4,29.5,22.2,31.0,24.4,45.4,18.2,43.2,21.8,144.9,93.8,150.3,110.7,134.0,49.0,118.0,64.0,176.2,38.7,163.0,43.4,114.9,96.4,120.0,106.2,5
