element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
2,1,0,2.6,3.25,9.87,15.65,6.89,11.5,1.6,2.6,2.67,0.8,11.0,3.47,4.53,0.0,2,1,1.3,1.2,0.8,0.8,23.7,15.4,24.4,22.4,33.1,15.5,41.4,20.3,108.7,102.1,128.0,138.4,102.1,31.5,138.6,47.1,121.2,21.3,148.4,17.4,80.4,84.2,74.2,108.0,-1
2,1,0,4.2,6.08,21.64,32.45,6.69,21.81,6.4,7.4,6.17,6.88,25.5,28.87,32.87,7.0,2,1,1.3,1.2,0.8,0.8,23.7,15.4,24.4,22.4,33.1,15.5,41.4,20.3,108.7,102.1,128.0,138.4,102.1,31.5,138.6,47.1,121.2,21.3,148.4,17.4,80.4,84.2,74.2,108.0,4
4,0,1,4.5,9.13,23.77,16.29,51.28,13.96,3.0,3.5,2.8,6.68,6.6,12.08,15.38,39.2,2,0,1.0,1.8,2.2,1.6,29.0,18.6,28.8,8.0,42.2,16.0,43.4,13.7,132.4,92.5,128.6,73.8,138.7,41.1,165.6,34.9,151.3,26.0,141.4,28.6,106.4,89.9,111.2,59.4,12
3,0,1,3.8,5.01,14.76,11.04,24.25,9.88,3.8,4.8,3.33,3.83,7.17,9.2,10.82,18.17,2,1,1.3,1.2,0.8,0.8,23.7,15.4,24.4,22.4,33.1,15.5,41.4,20.3,108.7,102.1,128.0,138.4,102.1,31.5,138.6,47.1,121.2,21.3,148.4,17.4,80.4,84.2,74.2,108.0,1
3,0,1,4.2,5.8,19.24,22.23,16.58,15.92,8.0,8.0,6.8,9.54,24.6,33.88,34.14,27.4,2,0,1.5,1.4,1.7,1.5,26.5,17.2,27.3,17.0,38.0,16.5,33.0,15.2,123.3,98.3,118.9,89.5,114.7,36.7,108.9,37.2,142.1,30.1,103.0,25.8,96.5,91.6,98.3,89.8,2
4,0,1,6.7,10.03,33.96,20.13,46.14,25.49,7.5,7.5,8.2,9.12,33.6,37.76,26.9,26.6,3,1,1.5,1.2,1.8,0.6,21.8,15.1,19.0,11.8,33.2,16.8,27.7,17.3,101.9,94.4,79.4,101.1,109.1,44.4,107.2,42.0,121.6,29.3,90.6,30.8,80.1,85.2,75.8,83.2,16
3,0,1,5.3,8.72,26.28,29.51,31.46,17.68,2.2,2.0,2.2,4.96,7.2,9.52,16.74,23.6,2,0,1.0,1.8,2.2,1.6,29.0,18.6,28.8,8.0,42.2,16.0,43.4,13.7,132.4,92.5,128.6,73.8,138.7,41.1,165.6,34.9,151.3,26.0,141.4,28.6,106.4,89.9,111.2,59.4,6
3,0,1,4.6,8.72,27.08,33.45,26.52,17.72,3.5,3.5,4.0,9.68,15.0,32.24,38.26,26.2,4,0,1.8,0.9,2.2,1.2,20.0,16.0,26.0,22.5,28.1,14.9,27.5,18.7,93.6,101.7,108.6,143.4,88.2,25.7,81.2,18.4,99.6,20.9,84.8,24.7,74.4,87.4,97.8,113.7,2
3,0,1,2.0,3.31,8.57,12.41,12.1,9.33,1.0,2.0,1.67,2.23,5.33,4.47,11.87,6.0,2,1,1.3,1.2,0.8,0.8,23.7,15.4,24.4,22.4,33.1,15.5,41.4,20.3,108.7,102.1,128.0,138.4,102.1,31.5,138.6,47.1,121.2,21.3,148.4,17.4,80.4,84.2,74.2,108.0,0
3,0,1,6.3,9.56,28.28,23.51,43.78,17.38,9.0,10.0,7.83,11.12,24.17,36.17,29.33,45.67,2,1,1.3,1.2,0.8,0.8,23.7,15.4,24.4,22.4,33.1,15.5,41.4,20.3,108.7,102.1,128.0,138.4,102.1,31.5,138.6,47.1,121.2,21.3,148.4,17.4,80.4,84.2,74.2,108.0,5
