element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,3.0,6.9,8.6,12.0,48.0,5.0,3.0,3.5,3.0,6.9,5.0,8.6,12.0,48.0,2,0,0.0,3.0,0.0,3.0,43.0,32.0,43.0,32.0,57.1,12.4,57.1,12.4,191.6,71.8,191.6,71.8,207.5,23.6,207.5,23.6,173.0,29.0,173.0,29.0,166.0,137.0,166.0,137.0,2
3,0,1,1.0,13.2,20.2,65.4,46.0,19.0,1.0,2.1,1.0,13.2,19.0,20.2,65.4,46.0,2,0,1.0,4.0,1.0,4.0,44.0,14.0,44.0,14.0,57.0,25.7,57.0,25.7,184.4,106.6,184.4,106.6,180.7,83.2,180.7,83.2,204.0,67.0,204.0,67.0,180.0,83.0,180.0,83.0,2
2,1,0,1.0,2.3,13.6,9.1,0.0,7.0,1.0,4.5,1.0,2.3,7.0,13.6,9.1,0.0,2,1,1.0,1.0,1.0,1.0,22.0,8.0,22.0,8.0,31.1,6.7,31.1,6.7,97.6,51.4,97.6,51.4,90.8,14.7,90.8,14.7,124.0,0.0,124.0,0.0,76.0,45.0,76.0,45.0,2
3,0,1,3.0,7.4,9.0,32.8,32.0,6.0,3.0,3.1,3.0,7.4,6.0,9.0,32.8,32.0,2,1,1.0,2.0,1.0,2.0,32.0,10.0,32.0,10.0,51.7,10.5,51.7,10.5,181.6,67.2,181.6,67.2,191.3,25.2,191.3,25.2,145.0,13.0,145.0,13.0,152.0,54.0,152.0,54.0,9
3,0,1,2.0,10.6,19.4,40.7,46.0,9.0,2.0,2.1,2.0,10.6,9.0,19.4,40.7,46.0,3,0,2.0,2.0,2.0,2.0,19.0,18.0,19.0,18.0,39.7,22.5,39.7,22.5,110.0,123.8,110.0,123.8,155.6,51.2,155.6,51.2,132.0,50.0,132.0,50.0,83.0,90.0,83.0,90.0,1
2,1,0,1.0,6.1,17.6,10.8,33.0,14.0,1.0,2.5,1.0,6.1,14.0,17.6,10.8,33.0,5,0,3.0,0.0,3.0,0.0,12.0,7.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,80.0,33.0,80.0,1
1,1,0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,2.7,1.0,0.0,15.0,0.0,0.0,0.0,4,0,2.0,1.0,2.0,1.0,22.0,7.0,22.0,7.0,19.1,13.7,19.1,13.7,86.2,86.8,86.2,86.8,53.1,11.7,53.1,11.7,52.0,39.0,52.0,39.0,64.0,75.0,64.0,75.0,11
4,0,1,1.0,7.9,11.2,10.8,57.0,6.0,1.0,1.9,1.0,7.9,6.0,11.2,10.8,57.0,2,0,1.0,4.0,1.0,4.0,44.0,14.0,44.0,14.0,57.0,25.7,57.0,25.7,184.4,106.6,184.4,106.6,180.7,83.2,180.7,83.2,204.0,67.0,204.0,67.0,180.0,83.0,180.0,83.0,1
1,1,0,2.0,1.3,12.6,0.0,0.0,10.0,2.0,3.7,2.0,1.3,10.0,12.6,0.0,0.0,3,1,2.0,2.0,2.0,2.0,27.0,11.0,27.0,11.0,30.1,20.2,30.1,20.2,122.6,116.8,122.6,116.8,41.6,66.4,41.6,66.4,139.0,18.0,139.0,18.0,77.0,94.0,77.0,94.0,6
2,1,0,2.0,7.5,17.0,55.8,2.0,22.0,2.0,2.6,2.0,7.5,22.0,17.0,55.8,2.0,2,0,0.0,1.0,0.0,1.0,25.0,36.0,25.0,36.0,54.4,19.0,54.4,19.0,130.4,100.8,130.4,100.8,220.4,42.4,220.4,42.4,192.0,48.0,192.0,48.0,95.0,132.0,95.0,132.0,2
