element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,4.0,5.57,18.2,17.07,20.43,14.86,4.0,4.5,3.2,4.1,13.0,12.56,13.56,14.8,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,2
4,0,1,4.2,6.37,21.07,12.2,30.33,14.67,1.3,1.8,2.75,5.33,7.5,13.7,13.7,25.75,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,2
1,1,0,3.7,2.06,20.57,0.0,0.0,19.71,4.0,4.5,3.4,2.24,18.2,22.4,0.0,0.0,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,2
2,1,0,4.7,3.33,15.4,12.5,5.29,20.14,5.0,5.5,5.2,3.52,21.6,18.08,10.84,6.2,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,1
2,1,0,3.5,2.12,20.7,0.57,0.0,21.0,1.7,2.2,3.0,2.45,20.0,24.3,0.4,0.0,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,1
2,1,0,3.2,3.08,15.6,11.7,3.5,17.5,3.3,3.8,2.6,3.36,16.0,16.16,13.54,3.8,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,1
3,0,1,3.6,6.58,16.76,12.22,36.8,13.8,2.7,3.2,4.0,6.78,15.25,19.1,10.2,38.5,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,0
3,0,1,4.2,3.63,9.47,19.08,7.67,13.83,1.7,2.2,2.25,1.8,9.25,2.95,13.9,1.0,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,2
2,1,0,5.0,4.96,32.08,1.24,16.2,25.8,3.7,4.2,3.25,3.2,19.25,19.0,1.3,11.5,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,1
3,0,1,2.7,5.52,22.28,28.02,4.8,19.8,1.3,1.8,1.75,4.23,15.5,13.45,28.72,0.0,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,1
3,0,1,2.5,3.23,16.27,8.4,7.67,20.67,1.0,1.5,2.33,2.17,15.67,12.73,7.13,1.67,2,1,2.1,1.6,1.8,1.8,26.1,9.1,29.0,11.4,36.6,14.7,40.5,14.0,130.3,85.0,141.9,83.4,96.4,34.4,105.6,33.7,139.4,26.9,156.6,22.2,98.0,71.1,111.0,77.6,2
1,1,0,5.7,2.95,29.63,0.0,0.0,24.0,4.0,3.5,4.2,2.9,21.2,29.12,0.0,0.0,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,6
3,0,1,9.0,14.1,45.07,37.3,58.83,30.5,6.3,5.8,10.2,14.98,34.6,52.68,36.64,60.8,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,6
3,0,1,5.2,6.33,24.67,26.05,12.67,18.67,3.0,2.5,5.8,6.4,21.2,28.64,23.98,11.4,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,3
3,0,1,3.0,5.4,14.27,15.48,24.5,11.33,2.3,1.8,3.0,5.22,11.8,15.8,11.02,25.6,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,3
2,1,0,6.0,5.3,32.2,4.18,16.33,24.0,4.3,3.8,5.2,5.34,21.8,32.28,2.48,18.4,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,6
2,1,0,3.0,3.0,10.57,12.85,6.33,16.0,2.3,1.8,2.6,3.32,15.6,12.52,13.22,7.2,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,11
2,1,0,4.8,3.15,21.23,0.15,10.17,19.83,2.3,1.8,2.8,2.18,15.0,16.08,0.12,5.6,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,6
3,0,1,2.7,3.35,15.87,10.42,7.0,11.83,3.0,2.5,2.6,2.84,11.2,16.4,8.58,3.2,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,3
3,0,1,4.0,6.4,19.03,23.87,21.0,14.17,5.0,4.5,5.5,9.0,20.0,27.2,32.85,29.75,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,7
2,1,0,3.0,3.22,18.43,10.35,3.33,18.0,2.0,1.5,2.6,2.48,16.2,18.32,5.64,0.8,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,6
4,0,1,5.7,9.47,31.93,19.45,43.33,20.5,3.7,3.2,6.4,10.24,24.6,38.32,18.66,45.2,3,1,1.1,1.1,1.0,1.0,21.7,12.9,21.2,14.8,30.9,16.3,27.6,17.5,101.8,92.8,89.4,98.2,86.5,44.9,68.2,54.2,120.3,25.0,118.4,22.2,82.1,78.4,79.0,82.8,13
3,0,1,1.7,2.33,3.94,12.47,7.29,6.14,2.3,2.3,2.0,2.38,6.8,2.88,11.78,9.8,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,3
3,0,1,1.8,2.5,8.27,14.9,1.67,7.5,2.7,2.7,2.0,2.94,8.2,9.4,17.82,2.0,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,3
2,1,0,1.2,1.35,6.55,2.2,4.5,8.25,1.3,1.3,1.33,1.63,9.67,7.8,2.33,6.0,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,6
2,1,0,1.7,3.2,13.2,5.23,13.57,12.86,1.3,1.3,1.0,3.7,11.0,13.52,4.76,18.8,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,6
2,1,0,1.0,1.9,15.27,2.03,1.33,11.33,1.0,1.0,1.0,1.9,11.33,15.27,2.03,1.33,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,9
4,0,1,6.0,9.4,30.17,12.68,51.33,21.17,1.3,1.3,4.5,9.85,15.0,23.15,15.12,60.0,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,2
1,1,0,1.8,0.83,8.33,0.05,0.0,12.17,1.0,1.0,1.0,0.85,9.75,8.55,0.08,0.0,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,6
2,1,0,1.7,2.29,16.66,4.49,1.43,14.0,1.7,1.7,1.0,2.56,12.2,17.92,5.36,2.0,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,6
3,0,1,2.7,2.83,12.33,6.1,10.33,11.33,1.7,1.7,3.5,3.75,13.0,16.4,7.22,13.75,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,2
2,1,0,3.3,4.46,17.4,13.96,13.14,14.14,4.0,3.0,3.2,4.08,13.0,16.64,13.9,10.2,4,1,1.1,1.6,0.8,2.0,23.6,20.0,26.4,25.6,37.0,20.9,38.1,22.5,110.6,108.3,121.4,113.8,121.4,58.6,124.3,62.9,138.1,42.0,135.4,48.2,89.7,99.6,100.2,108.4,6
2,1,0,2.2,4.53,20.5,5.38,19.25,11.75,3.0,3.0,2.25,4.53,11.75,20.5,5.38,19.25,2,0,0.4,1.4,0.6,1.4,25.0,28.9,25.6,23.6,40.3,18.8,41.6,18.2,114.3,114.2,123.7,110.0,138.9,43.3,128.9,48.8,150.0,29.6,164.2,22.4,98.1,114.4,104.8,105.2,6
