element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,2.0,2.64,12.28,8.99,5.1,11.6,2.6,3.1,2.6,3.3,13.0,15.16,13.3,4.4,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,1
2,1,0,3.7,3.92,25.85,1.88,11.5,19.42,0.2,0.7,1.0,1.1,9.0,10.2,0.3,0.0,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,2
3,0,1,4.4,7.67,20.2,20.41,36.11,15.05,5.4,5.9,6.75,9.83,21.75,31.85,30.08,36.25,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,2
3,0,1,4.2,4.78,14.7,21.84,11.12,16.12,3.2,3.7,3.2,4.48,14.6,12.76,20.64,11.4,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,2
3,0,1,2.6,3.66,12.21,7.08,17.4,8.6,3.4,3.9,4.25,6.75,15.25,24.65,15.3,27.5,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,2
3,0,1,4.0,5.77,15.29,12.59,29.83,11.5,3.8,4.3,6.33,6.43,17.67,25.47,4.1,34.67,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,1
2,1,0,4.2,3.1,12.92,14.08,4.0,15.8,4.0,4.5,5.0,3.88,19.0,16.15,17.6,5.0,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,2
4,0,1,4.2,6.21,20.91,11.42,29.89,14.47,4.2,4.7,4.2,5.68,12.2,17.64,11.56,27.6,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,1
2,1,0,3.7,3.79,14.81,15.26,7.84,17.63,3.6,4.1,4.5,4.0,19.75,15.75,15.52,8.75,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,2
2,1,0,3.6,2.62,19.26,2.5,4.37,18.84,4.6,5.1,4.6,2.74,21.6,18.64,5.4,3.2,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,2
3,0,1,2.4,2.68,14.44,6.74,5.67,12.94,3.0,3.5,3.0,3.96,19.4,20.56,11.98,7.0,2,1,1.6,1.0,0.8,0.4,25.2,17.3,30.2,26.2,29.8,15.9,33.1,20.9,106.1,111.8,119.7,158.9,92.3,24.4,104.8,25.4,100.4,22.7,107.2,24.6,88.9,93.0,96.0,128.0,1
3,0,1,1.5,0.82,3.87,2.8,1.33,5.5,0.8,0.3,2.0,0.9,10.5,6.0,2.5,0.5,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,2
2,1,0,3.9,2.78,19.87,0.88,7.0,17.22,3.4,2.9,3.4,2.62,16.4,21.76,2.22,2.2,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,5
2,1,0,3.8,3.87,20.56,14.41,3.63,19.16,4.0,3.5,4.0,3.62,18.0,20.28,13.62,2.0,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,6
3,0,1,3.8,6.3,15.0,25.2,22.77,13.08,3.6,3.1,3.6,4.82,10.8,9.24,20.74,18.2,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,3
4,0,1,4.5,9.04,23.69,16.52,50.55,14.55,4.4,3.9,4.4,9.9,15.0,28.56,12.52,57.8,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,9
3,0,1,3.5,4.93,14.31,12.71,22.33,11.72,3.4,2.9,3.4,4.58,8.0,11.72,10.66,23.8,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,6
2,1,0,4.1,3.55,22.56,3.34,9.47,18.58,3.2,2.7,3.2,3.5,17.6,26.28,0.32,8.2,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,6
2,1,0,4.2,3.22,15.92,12.06,4.1,19.7,5.8,5.3,5.8,3.38,25.0,20.8,8.08,5.2,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,7
1,1,0,5.3,2.86,27.71,1.0,0.0,23.45,4.8,4.3,4.8,3.58,23.6,31.88,4.0,0.0,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,9
3,0,1,6.2,11.96,32.52,45.25,41.9,24.1,5.6,5.1,5.6,9.34,21.6,29.52,40.88,22.8,2,0,0.8,1.4,0.8,1.6,22.7,20.0,17.6,20.8,29.8,14.8,24.7,17.1,105.5,89.6,78.7,96.3,77.6,32.6,68.5,41.1,114.8,26.1,100.2,33.8,83.1,88.8,64.6,89.4,2
