element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
2,1,0,3.3,2.82,14.91,6.0,7.19,15.47,2.3,2.8,2.33,3.53,11.17,18.33,5.48,11.33,2,0,1.3,2.0,1.2,2.2,29.8,18.6,39.6,15.6,40.1,16.6,57.6,20.6,148.8,102.7,209.8,124.2,118.3,34.2,169.1,45.4,134.1,28.6,197.2,37.0,108.5,87.9,141.6,88.0,8
4,0,1,2.7,3.49,11.86,4.97,18.12,9.22,1.0,1.0,1.5,1.22,5.75,3.0,1.1,7.75,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,5
1,1,0,3.6,2.16,21.64,0.0,0.0,17.56,3.3,3.3,3.33,2.67,19.17,26.8,0.0,0.0,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,2
1,1,0,4.2,2.0,19.45,0.56,0.0,18.19,3.2,3.7,3.17,2.68,16.83,25.13,1.67,0.0,2,0,1.3,2.0,1.2,2.2,29.8,18.6,39.6,15.6,40.1,16.6,57.6,20.6,148.8,102.7,209.8,124.2,118.3,34.2,169.1,45.4,134.1,28.6,197.2,37.0,108.5,87.9,141.6,88.0,6
3,0,1,4.2,6.48,18.73,20.3,25.76,13.85,1.8,2.3,1.8,3.32,5.8,6.4,17.88,8.8,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,2
3,0,1,3.6,6.39,23.65,31.48,8.81,19.22,4.0,3.5,4.0,5.94,23.8,25.44,26.32,7.6,2,1,1.4,1.4,1.7,1.3,26.6,17.4,26.5,16.0,38.2,16.5,31.4,15.0,123.8,98.2,109.5,93.7,115.2,37.2,106.0,38.4,143.6,29.3,98.8,17.7,96.9,92.4,92.0,89.0,4
3,0,1,3.9,5.19,15.53,11.61,24.73,10.47,3.2,3.7,3.17,3.48,7.5,8.9,10.53,15.33,3,0,1.4,1.9,1.6,2.4,30.4,18.7,33.4,17.0,41.2,16.7,52.2,18.2,143.3,100.5,197.6,122.8,129.5,41.6,173.6,34.7,139.9,24.7,151.0,25.2,109.3,95.6,115.6,84.0,2
3,0,1,4.1,5.71,19.4,8.58,29.39,12.11,3.0,3.0,3.0,2.74,7.4,12.24,4.24,10.8,3,1,1.9,0.9,3.2,1.3,20.1,15.4,26.3,15.5,28.6,14.9,30.3,19.2,94.4,101.1,116.1,140.6,89.9,26.3,90.8,26.6,102.2,21.0,95.7,23.8,74.9,85.9,103.3,103.8,6
2,1,0,4.1,3.5,17.53,13.01,4.42,19.28,2.6,3.1,2.6,3.36,16.8,16.0,12.1,5.6,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,2
2,1,0,2.6,2.28,14.12,5.25,3.25,14.33,1.3,1.3,2.67,2.23,13.0,11.8,9.9,0.67,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,1
2,1,0,3.5,3.2,15.38,7.35,9.21,15.79,1.4,1.4,3.5,2.3,19.5,17.8,4.7,0.0,2,0,1.3,1.2,0.8,0.8,23.7,15.6,24.8,22.6,32.9,15.4,40.9,18.7,108.3,102.4,125.6,132.7,102.2,30.2,143.4,36.5,119.9,21.4,141.4,16.8,80.5,84.4,72.8,103.6,1
