element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,5.3,9.65,20.47,30.95,45.0,10.82,4.0,5.0,4.0,7.04,5.2,12.4,11.18,46.6,2,1,1.0,1.4,0.6,1.6,24.3,14.5,32.0,23.2,31.4,12.2,37.9,13.1,113.5,79.4,132.9,88.6,89.7,22.4,109.9,21.9,110.7,20.0,136.6,20.0,87.6,68.2,106.0,92.8,7
3,0,1,5.5,9.3,24.73,26.56,41.73,18.36,5.2,6.2,5.25,7.4,17.25,23.95,17.88,32.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6,8
4,0,1,6.8,12.92,39.32,24.37,65.58,27.0,6.4,7.4,6.4,12.68,24.8,35.32,19.78,71.8,2,0,0.8,1.9,0.8,1.2,25.6,25.8,21.2,29.0,39.6,18.1,36.3,19.8,117.2,94.3,95.6,110.5,124.7,47.8,114.9,42.9,153.8,38.9,152.6,44.0,95.7,110.5,83.8,126.0,1
4,0,1,5.1,10.72,27.62,18.41,61.09,16.09,4.2,5.2,4.25,8.0,9.0,17.9,10.85,51.25,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6,9
3,0,1,6.4,10.12,31.53,45.63,24.0,24.82,6.2,7.2,6.25,8.75,26.75,29.8,34.02,23.5,2,0,1.6,1.8,2.2,0.4,27.2,11.0,19.0,9.0,36.1,13.2,32.2,13.8,126.0,79.6,68.2,87.6,102.1,28.0,109.8,27.5,132.3,23.9,143.4,22.2,99.4,72.5,62.8,77.6,11
3,0,1,4.2,7.78,19.28,24.97,33.83,11.83,3.0,4.0,3.0,6.28,9.8,11.44,26.08,25.4,2,0,0.8,1.9,0.8,1.2,25.6,25.8,21.2,29.0,39.6,18.1,36.3,19.8,117.2,94.3,95.6,110.5,124.7,47.8,114.9,42.9,153.8,38.9,152.6,44.0,95.7,110.5,83.8,126.0,2
3,0,1,4.8,7.78,22.36,26.53,28.8,20.3,3.5,4.5,3.5,7.1,17.5,16.65,25.72,28.5,2,1,0.6,1.8,0.4,1.2,25.5,23.2,24.8,26.0,42.1,15.5,40.9,14.9,124.5,88.4,104.5,83.0,136.0,38.7,142.0,39.3,160.5,27.5,162.8,26.6,97.5,95.4,87.8,99.6,10
4,0,1,5.9,10.27,33.94,18.91,49.7,24.6,4.8,5.8,4.8,8.32,20.8,26.8,16.52,40.0,2,1,1.0,1.4,0.6,1.6,24.3,14.5,32.0,23.2,31.4,12.2,37.9,13.1,113.5,79.4,132.9,88.6,89.7,22.4,109.9,21.9,110.7,20.0,136.6,20.0,87.6,68.2,106.0,92.8,2
2,1,0,5.5,7.22,24.72,42.67,4.75,25.25,6.2,6.2,6.2,8.26,28.4,26.68,52.82,3.2,2,1,0.8,1.2,1.0,1.2,21.8,18.6,23.2,21.6,30.0,14.1,31.0,12.8,92.7,91.1,92.4,98.2,85.5,26.1,97.1,19.1,122.2,23.7,122.0,10.4,73.1,88.1,72.8,96.8,11
3,0,1,6.0,9.57,27.85,25.03,42.82,18.73,6.8,6.3,6.8,10.92,20.8,35.6,22.6,51.0,3,1,1.2,0.8,1.6,0.4,18.2,11.8,17.2,14.0,26.2,13.2,29.8,12.9,88.9,80.5,79.8,84.2,73.5,30.6,95.0,37.2,99.7,20.2,123.8,8.0,64.0,65.5,59.0,78.4,7
2,1,0,5.9,5.35,21.78,17.11,14.73,23.73,5.8,6.8,5.75,5.52,22.25,25.8,14.25,15.25,2,0,1.6,1.8,2.2,0.4,27.2,11.0,19.0,9.0,36.1,13.2,32.2,13.8,126.0,79.6,68.2,87.6,102.1,28.0,109.8,27.5,132.3,23.9,143.4,22.2,99.4,72.5,62.8,77.6,6
