team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,35.0,51.0,44.0,1.5,1.3,2.0,0.6,10.0,3.0,5.0,0,864.0,509.0,1409.8,594.0,4399.8,3302.0,4426.3,1373.3,5294.0,1258.0,3354.0,2865.0,24.7,14.5,16.6,8.4,40.3,17.0,30.6,13.2,125.7,94.3,90.2,84.6,126.5,39.2,117.0,28.7,151.3,35.9,99.6,19.0,95.8,81.9,77.2,63.6
2,35.0,38.0,65.0,1.1,1.9,0.6,1.4,3.0,7.0,5.0,0,937.0,613.0,1600.1,637.4,4711.6,3406.6,4910.4,1591.8,6413.0,1386.0,3683.0,3030.0,26.8,17.5,27.6,25.8,45.7,18.2,33.5,13.4,134.6,97.3,110.9,85.0,140.3,45.5,111.5,32.3,183.2,39.6,114.6,16.8,105.2,86.6,101.8,109.0
3,35.0,36.0,60.0,1.0,1.7,1.4,2.2,7.0,11.0,5.0,0,988.0,681.0,1503.0,613.1,4886.2,3369.6,4456.8,1485.8,5708.0,1269.0,3844.0,3296.0,28.2,19.5,33.8,17.6,42.9,17.5,41.8,12.6,139.6,96.3,161.0,77.1,127.3,42.4,116.9,23.3,163.1,36.3,140.8,25.4,109.8,94.2,132.0,95.4
4,35.0,36.0,52.0,1.0,1.5,0.4,2.2,2.0,11.0,5.0,0,871.0,681.0,1307.9,554.1,4157.2,3516.4,3706.0,1236.6,5230.0,782.0,3266.0,3265.0,24.9,19.5,36.0,25.6,37.4,15.8,49.6,18.7,118.8,100.5,163.7,98.0,105.9,35.3,140.6,61.0,149.4,22.3,192.8,27.6,93.3,93.3,139.6,115.8
5,35.0,39.0,47.0,1.1,1.3,1.0,0.4,5.0,2.0,5.0,0,795.0,612.0,1265.9,595.4,3731.6,3248.0,4023.2,1470.9,4915.0,1228.0,3066.0,3086.0,22.7,17.5,14.8,15.4,36.2,17.0,36.1,19.4,106.6,92.8,68.0,94.5,115.0,42.0,131.5,39.9,140.4,35.1,162.2,59.4,87.6,88.2,62.0,73.6
6,35.0,63.0,49.0,1.8,1.4,2.0,1.8,10.0,9.0,5.0,0,791.0,567.0,1043.2,626.0,3894.0,4322.2,2961.4,945.7,3604.0,985.0,3020.0,3192.0,22.6,16.2,26.0,15.0,29.8,17.9,33.5,17.6,111.3,123.5,131.6,106.3,84.6,27.0,89.2,30.7,103.0,28.1,113.6,38.6,86.3,91.2,104.4,82.4
7,35.0,30.0,45.0,0.9,1.3,0.4,2.6,2.0,13.0,5.0,0,825.0,710.0,1323.7,630.6,4038.8,3458.2,4138.9,1507.9,5062.0,1335.0,3146.0,3205.0,23.6,20.3,36.6,31.4,37.8,18.0,44.3,17.9,115.4,98.8,174.4,109.5,118.2,43.1,119.5,37.3,144.6,38.1,148.2,31.8,89.9,91.6,135.0,122.4
8,35.0,41.0,52.0,1.2,1.5,0.8,1.2,4.0,6.0,5.0,0,885.0,606.0,1173.6,582.5,4088.0,3724.2,3352.9,1181.7,4298.0,914.0,3372.0,3053.0,25.3,17.3,25.2,18.4,33.5,16.6,37.5,12.7,116.8,106.4,106.9,81.6,95.8,33.8,112.6,31.0,122.8,26.1,155.4,14.4,96.3,87.2,102.0,87.0
9,35.0,65.0,36.0,1.9,1.0,1.2,1.4,6.0,7.0,5.0,0,716.0,505.0,1054.4,595.3,3453.8,3739.2,3250.9,1189.0,3866.0,1018.0,2709.0,2990.0,20.5,14.4,22.4,15.2,30.1,17.0,26.9,13.6,98.7,106.8,102.0,91.4,92.9,34.0,77.0,18.3,110.5,29.1,91.4,26.0,77.4,85.4,79.0,76.0
10,35.0,76.0,27.0,2.2,0.8,2.0,1.2,10.0,6.0,5.0,0,637.0,338.0,856.4,542.5,2955.0,3824.0,2609.0,955.5,3018.0,636.0,2408.0,2719.0,18.2,9.7,24.0,12.2,24.5,15.5,25.6,15.5,84.4,109.3,94.9,120.1,74.5,27.3,75.0,19.8,86.2,18.2,86.2,14.0,68.8,77.7,84.2,87.8
11,35.0,91.0,34.0,2.6,1.0,3.0,0.6,15.0,3.0,5.0,0,747.0,363.0,893.9,570.8,3498.8,4255.6,2166.9,851.0,3291.0,595.0,2827.0,2977.0,21.3,10.4,19.2,9.4,25.5,16.3,24.8,15.9,100.0,121.6,80.6,108.3,61.9,24.3,53.4,29.7,94.0,17.0,115.6,20.8,80.8,85.1,69.8,83.6
12,35.0,61.0,35.0,1.7,1.0,3.2,0.8,16.0,4.0,5.0,0,673.0,590.0,996.0,558.9,3302.8,3647.2,3024.0,910.3,3647.0,1040.0,2660.0,2984.0,19.2,16.9,17.4,6.2,28.5,16.0,22.8,11.1,94.4,104.2,76.2,78.7,86.4,26.0,71.0,16.4,104.2,29.7,81.0,16.6,76.0,85.3,71.2,63.2
13,35.0,36.0,52.0,1.0,1.5,1.6,2.2,8.0,11.0,5.0,0,909.0,727.0,1484.5,702.1,4349.2,3613.0,4861.2,1821.2,5654.0,1579.0,3498.0,3514.0,26.0,20.8,31.0,13.4,42.4,20.1,47.1,17.4,124.3,103.2,136.7,83.0,138.9,52.0,154.4,46.6,161.5,45.1,181.0,44.2,99.9,100.4,110.6,79.6
