team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,4.0,6.0,6.0,1.5,1.5,1.5,1.5,6.0,6.0,4.0,0,90.0,45.0,145.0,92.4,450.0,454.0,408.5,253.3,592.0,214.0,363.0,318.0,22.5,11.2,22.5,11.2,36.2,23.1,36.2,23.1,112.5,113.5,112.5,113.5,102.1,63.3,102.1,63.3,148.0,53.5,148.0,53.5,90.8,79.5,90.8,79.5
2,4.0,4.0,6.0,1.0,1.5,1.0,1.5,4.0,6.0,4.0,0,98.0,60.0,170.2,78.9,456.6,364.8,576.3,267.6,674.0,157.0,364.0,335.0,24.5,15.0,24.5,15.0,42.6,19.7,42.6,19.7,114.2,91.2,114.2,91.2,144.1,66.9,144.1,66.9,168.5,39.2,168.5,39.2,91.0,83.8,91.0,83.8
3,4.0,5.0,8.0,1.2,2.0,1.2,2.0,5.0,8.0,4.0,0,120.0,47.0,186.7,79.1,602.6,405.8,534.8,279.6,728.0,106.0,488.0,319.0,30.0,11.8,30.0,11.8,46.7,19.8,46.7,19.8,150.6,101.4,150.6,101.4,133.7,69.9,133.7,69.9,182.0,26.5,182.0,26.5,122.0,79.8,122.0,79.8
4,4.0,4.0,7.0,1.0,1.8,1.0,1.8,4.0,7.0,4.0,0,126.0,69.0,154.3,48.0,584.8,313.6,439.6,101.7,519.0,65.0,454.0,334.0,31.5,17.2,31.5,17.2,38.6,12.0,38.6,12.0,146.2,78.4,146.2,78.4,109.9,25.4,109.9,25.4,129.8,16.2,129.8,16.2,113.5,83.5,113.5,83.5
5,4.0,5.0,6.0,1.2,1.5,1.2,1.5,5.0,6.0,4.0,0,102.0,68.0,157.7,67.1,463.2,385.0,465.1,185.2,656.0,100.0,385.0,386.0,25.5,17.0,25.5,17.0,39.4,16.8,39.4,16.8,115.8,96.2,115.8,96.2,116.3,46.3,116.3,46.3,164.0,25.0,164.0,25.0,96.2,96.5,96.2,96.5
6,4.0,6.0,9.0,1.5,2.2,1.5,2.2,6.0,9.0,4.0,0,123.0,65.0,133.6,67.6,568.2,515.4,344.2,102.0,427.0,55.0,418.0,393.0,30.8,16.2,30.8,16.2,33.4,16.9,33.4,16.9,142.0,128.8,142.0,128.8,86.0,25.5,86.0,25.5,106.8,13.8,106.8,13.8,104.5,98.2,104.5,98.2
7,4.0,3.0,2.0,0.8,0.5,0.8,0.5,3.0,2.0,4.0,0,51.0,104.0,110.1,85.1,243.6,429.4,372.2,230.8,486.0,191.0,146.0,433.0,12.8,26.0,12.8,26.0,27.5,21.3,27.5,21.3,60.9,107.4,60.9,107.4,93.0,57.7,93.0,57.7,121.5,47.8,121.5,47.8,36.5,108.2,36.5,108.2
8,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0,79.0,83.0,109.2,62.5,371.0,404.8,275.4,77.6,447.0,142.0,268.0,361.0,19.8,20.8,19.8,20.8,27.3,15.6,27.3,15.6,92.8,101.2,92.8,101.2,68.8,19.4,68.8,19.4,111.8,35.5,111.8,35.5,67.0,90.2,67.0,90.2
9,4.0,6.0,3.0,1.5,0.8,1.5,0.8,6.0,3.0,4.0,0,69.0,66.0,110.1,62.6,375.4,367.4,401.0,126.0,331.0,131.0,275.0,366.0,17.2,16.5,17.2,16.5,27.5,15.6,27.5,15.6,93.8,91.8,93.8,91.8,100.2,31.5,100.2,31.5,82.8,32.8,82.8,32.8,68.8,91.5,68.8,91.5
10,4.0,12.0,3.0,3.0,0.8,3.0,0.8,12.0,3.0,4.0,0,70.0,16.0,108.4,60.7,353.6,433.8,342.8,87.1,396.0,85.0,285.0,259.0,17.5,4.0,17.5,4.0,27.1,15.2,27.1,15.2,88.4,108.4,88.4,108.4,85.7,21.8,85.7,21.8,99.0,21.2,99.0,21.2,71.2,64.8,71.2,64.8
11,4.0,14.0,3.0,3.5,0.8,3.5,0.8,14.0,3.0,4.0,0,77.0,13.0,87.4,54.9,341.8,423.0,191.6,53.8,342.0,73.0,312.0,269.0,19.2,3.2,19.2,3.2,21.8,13.7,21.8,13.7,85.4,105.8,85.4,105.8,47.9,13.4,47.9,13.4,85.5,18.2,85.5,18.2,78.0,67.2,78.0,67.2
12,4.0,7.0,4.0,1.8,1.0,1.8,1.0,7.0,4.0,4.0,0,74.0,55.0,105.2,69.1,370.8,441.8,358.5,64.5,321.0,189.0,276.0,255.0,18.5,13.8,18.5,13.8,26.3,17.3,26.3,17.3,92.7,110.4,92.7,110.4,89.6,16.1,89.6,16.1,80.2,47.2,80.2,47.2,69.0,63.8,69.0,63.8
13,4.0,3.0,5.0,0.8,1.2,0.8,1.2,3.0,5.0,4.0,0,93.0,77.0,164.7,59.2,482.2,371.8,583.1,128.3,585.0,93.0,411.0,377.0,23.2,19.2,23.2,19.2,41.2,14.8,41.2,14.8,120.6,93.0,120.6,93.0,145.8,32.1,145.8,32.1,146.2,23.2,146.2,23.2,102.8,94.2,102.8,94.2
14,4.0,6.0,10.0,1.5,2.5,1.5,2.5,6.0,10.0,4.0,0,122.0,72.0,187.9,92.9,624.2,459.6,565.7,230.8,688.0,238.0,528.0,396.0,30.5,18.0,30.5,18.0,47.0,23.2,47.0,23.2,156.0,114.9,156.0,114.9,141.4,57.7,141.4,57.7,172.0,59.5,172.0,59.5,132.0,99.0,132.0,99.0
15,4.0,5.0,5.0,1.2,1.2,1.2,1.2,5.0,5.0,4.0,0,88.0,46.0,116.0,72.7,387.2,442.8,343.8,145.6,429.0,136.0,348.0,312.0,22.0,11.5,22.0,11.5,29.0,18.2,29.0,18.2,96.8,110.7,96.8,110.7,86.0,36.4,86.0,36.4,107.2,34.0,107.2,34.0,87.0,78.0,87.0,78.0
16,4.0,4.0,6.0,1.0,1.5,1.0,1.5,4.0,6.0,4.0,0,110.0,62.0,174.9,67.4,552.2,400.6,510.8,167.8,693.0,105.0,406.0,325.0,27.5,15.5,27.5,15.5,43.7,16.8,43.7,16.8,138.0,100.2,138.0,100.2,127.7,42.0,127.7,42.0,173.2,26.2,173.2,26.2,101.5,81.2,101.5,81.2
17,4.0,7.0,6.0,1.8,1.5,1.8,1.5,7.0,6.0,4.0,0,107.0,61.0,207.0,77.6,604.2,471.4,584.2,181.4,884.0,125.0,411.0,390.0,26.8,15.2,26.8,15.2,51.8,19.4,51.8,19.4,151.0,117.8,151.0,117.8,146.0,45.4,146.0,45.4,221.0,31.2,221.0,31.2,102.8,97.5,102.8,97.5
18,4.0,2.0,8.0,0.5,2.0,0.5,2.0,2.0,8.0,4.0,0,116.0,104.0,153.1,67.5,523.4,464.0,451.4,97.7,560.0,114.0,465.0,452.0,29.0,26.0,29.0,26.0,38.3,16.9,38.3,16.9,130.8,116.0,130.8,116.0,112.8,24.4,112.8,24.4,140.0,28.5,140.0,28.5,116.2,113.0,116.2,113.0
19,4.0,6.0,7.0,1.5,1.8,1.5,1.8,6.0,7.0,4.0,0,120.0,55.0,185.4,72.8,596.6,406.0,560.3,219.4,698.0,101.0,473.0,356.0,30.0,13.8,30.0,13.8,46.4,18.2,46.4,18.2,149.2,101.5,149.2,101.5,140.1,54.8,140.1,54.8,174.5,25.2,174.5,25.2,118.2,89.0,118.2,89.0
20,4.0,4.0,5.0,1.0,1.2,1.0,1.2,4.0,5.0,4.0,0,102.0,62.0,136.0,76.3,460.2,433.6,420.8,183.9,478.0,146.0,391.0,373.0,25.5,15.5,25.5,15.5,34.0,19.1,34.0,19.1,115.0,108.4,115.0,108.4,105.2,46.0,105.2,46.0,119.5,36.5,119.5,36.5,97.8,93.2,97.8,93.2
