team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,ARS,2,6.0,2.0,3.0,1.0,3.0,1.0,6.0,2.0,2,0,36.0,6.0,56.0,25.4,152.8,186.4,177.4,40.5,230.0,25.0,142.0,134.0,18.0,3.0,18.0,3.0,28.0,12.7,28.0,12.7,76.4,93.2,76.4,93.2,88.7,20.2,88.7,20.2,115.0,12.5,115.0,12.5,71.0,67.0,71.0,67.0
2,AVL,2,2.0,3.0,1.0,1.5,1.0,1.5,2.0,3.0,2,0,40.0,43.0,47.7,40.8,155.4,233.8,90.3,85.3,229.0,88.0,125.0,210.0,20.0,21.5,20.0,21.5,23.8,20.4,23.8,20.4,77.7,116.9,77.7,116.9,45.2,42.6,45.2,42.6,114.5,44.0,114.5,44.0,62.5,105.0,62.5,105.0
3,BOU,2,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,2,0,59.0,42.0,93.6,29.9,268.4,123.6,375.7,82.6,290.0,93.0,222.0,199.0,29.5,21.0,29.5,21.0,46.8,15.0,46.8,15.0,134.2,61.8,134.2,61.8,187.8,41.3,187.8,41.3,145.0,46.5,145.0,46.5,111.0,99.5,111.0,99.5
4,BRE,2,6.0,2.0,3.0,1.0,3.0,1.0,6.0,2.0,2,0,35.0,13.0,64.2,39.7,185.6,199.2,247.2,122.4,210.0,75.0,158.0,155.0,17.5,6.5,17.5,6.5,32.1,19.8,32.1,19.8,92.8,99.6,92.8,99.6,123.6,61.2,123.6,61.2,105.0,37.5,105.0,37.5,79.0,77.5,79.0,77.5
5,BHA,2,2.0,1.0,1.0,0.5,1.0,0.5,2.0,1.0,2,0,31.0,39.0,49.2,38.6,122.2,191.4,189.1,80.8,181.0,113.0,115.0,191.0,15.5,19.5,15.5,19.5,24.6,19.3,24.6,19.3,61.1,95.7,61.1,95.7,94.6,40.4,94.6,40.4,90.5,56.5,90.5,56.5,57.5,95.5,57.5,95.5
6,CHE,2,3.0,2.0,1.5,1.0,1.5,1.0,3.0,2.0,2,0,36.0,24.0,45.5,49.6,176.4,288.4,112.5,75.0,165.0,131.0,139.0,147.0,18.0,12.0,18.0,12.0,22.8,24.8,22.8,24.8,88.2,144.2,88.2,144.2,56.2,37.5,56.2,37.5,82.5,65.5,82.5,65.5,69.5,73.5,69.5,73.5
7,CRY,2,1.0,3.0,0.5,1.5,0.5,1.5,1.0,3.0,2,0,48.0,51.0,84.4,47.8,238.4,229.6,268.3,125.2,348.0,123.0,181.0,238.0,24.0,25.5,24.0,25.5,42.2,23.9,42.2,23.9,119.2,114.8,119.2,114.8,134.2,62.6,134.2,62.6,174.0,61.5,174.0,61.5,90.5,119.0,90.5,119.0
8,EVE,2,1.0,3.0,0.5,1.5,0.5,1.5,1.0,3.0,2,0,58.0,52.0,85.2,41.8,277.4,212.0,231.5,130.0,341.0,75.0,207.0,234.0,29.0,26.0,29.0,26.0,42.6,20.9,42.6,20.9,138.7,106.0,138.7,106.0,115.8,65.0,115.8,65.0,170.5,37.5,170.5,37.5,103.5,117.0,103.5,117.0
9,FUL,2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2,0,46.0,48.0,58.0,28.0,171.0,188.6,157.3,59.1,255.0,34.0,144.0,206.0,23.0,24.0,23.0,24.0,29.0,14.0,29.0,14.0,85.5,94.3,85.5,94.3,78.6,29.6,78.6,29.6,127.5,17.0,127.5,17.0,72.0,103.0,72.0,103.0
10,LEI,2,4.0,6.0,2.0,3.0,2.0,3.0,4.0,6.0,2,0,72.0,13.0,93.4,16.2,361.2,112.4,272.0,32.2,301.0,18.0,292.0,121.0,36.0,6.5,36.0,6.5,46.7,8.1,46.7,8.1,180.6,56.2,180.6,56.2,136.0,16.1,136.0,16.1,150.5,9.0,150.5,9.0,146.0,60.5,146.0,60.5
11,LEE,2,4.0,3.0,2.0,1.5,2.0,1.5,4.0,3.0,2,0,52.0,16.0,80.6,33.6,282.6,219.0,263.3,58.8,261.0,59.0,223.0,140.0,26.0,8.0,26.0,8.0,40.3,16.8,40.3,16.8,141.3,109.5,141.3,109.5,131.6,29.4,131.6,29.4,130.5,29.5,130.5,29.5,111.5,70.0,111.5,70.0
12,LIV,2,3.0,3.0,1.5,1.5,1.5,1.5,3.0,3.0,2,0,45.0,19.0,60.8,31.9,249.6,263.4,150.3,38.9,208.0,15.0,181.0,150.0,22.5,9.5,22.5,9.5,30.4,16.0,30.4,16.0,124.8,131.7,124.8,131.7,75.2,19.4,75.2,19.4,104.0,7.5,104.0,7.5,90.5,75.0,90.5,75.0
13,MCI,2,6.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,2,0,25.0,5.0,22.3,21.6,81.0,149.8,57.4,43.3,89.0,22.0,96.0,108.0,12.5,2.5,12.5,2.5,11.2,10.8,11.2,10.8,40.5,74.9,40.5,74.9,28.7,21.6,28.7,21.6,44.5,11.0,44.5,11.0,48.0,54.0,48.0,54.0
14,MUN,2,1.0,6.0,0.5,3.0,0.5,3.0,1.0,6.0,2,0,78.0,57.0,93.1,31.9,343.0,213.2,271.9,8.3,313.0,97.0,276.0,203.0,39.0,28.5,39.0,28.5,46.6,16.0,46.6,16.0,171.5,106.6,171.5,106.6,136.0,4.2,136.0,4.2,156.5,48.5,156.5,48.5,138.0,101.5,138.0,101.5
15,NEW,2,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2,0,28.0,33.0,42.8,22.4,100.0,173.8,134.5,23.4,194.0,26.0,99.0,165.0,14.0,16.5,14.0,16.5,21.4,11.2,21.4,11.2,50.0,86.9,50.0,86.9,67.2,11.7,67.2,11.7,97.0,13.0,97.0,13.0,49.5,82.5,49.5,82.5
16,NFO,2,1.0,2.0,0.5,1.0,0.5,1.0,1.0,2.0,2,0,40.0,54.0,90.5,47.6,224.0,207.0,301.5,172.5,378.0,97.0,159.0,213.0,20.0,27.0,20.0,27.0,45.2,23.8,45.2,23.8,112.0,103.5,112.0,103.5,150.8,86.2,150.8,86.2,189.0,48.5,189.0,48.5,79.5,106.5,79.5,106.5
17,SOU,2,3.0,6.0,1.5,3.0,1.5,3.0,3.0,6.0,2,0,53.0,42.0,96.4,51.7,326.6,275.2,302.8,67.4,338.0,174.0,231.0,202.0,26.5,21.0,26.5,21.0,48.2,25.8,48.2,25.8,163.3,137.6,163.3,137.6,151.4,33.7,151.4,33.7,169.0,87.0,169.0,87.0,115.5,101.0,115.5,101.0
18,TOT,2,6.0,3.0,3.0,1.5,3.0,1.5,6.0,3.0,2,0,41.0,21.0,66.0,49.3,205.4,269.4,229.1,110.2,227.0,113.0,162.0,169.0,20.5,10.5,20.5,10.5,33.0,24.6,33.0,24.6,102.7,134.7,102.7,134.7,114.6,55.1,114.6,55.1,113.5,56.5,113.5,56.5,81.0,84.5,81.0,84.5
19,WHU,2,0.0,3.0,0.0,1.5,0.0,1.5,0.0,3.0,2,0,58.0,80.0,60.8,43.5,191.4,238.4,209.0,99.7,209.0,98.0,216.0,275.0,29.0,40.0,29.0,40.0,30.4,21.8,30.4,21.8,95.7,119.2,95.7,119.2,104.5,49.8,104.5,49.8,104.5,49.0,104.5,49.0,108.0,137.5,108.0,137.5
20,WOL,2,1.0,2.0,0.5,1.0,0.5,1.0,1.0,2.0,2,0,42.0,42.0,58.6,24.7,148.0,191.2,185.5,38.8,250.0,15.0,127.0,189.0,21.0,21.0,21.0,21.0,29.3,12.4,29.3,12.4,74.0,95.6,74.0,95.6,92.8,19.4,92.8,19.4,125.0,7.5,125.0,7.5,63.5,94.5,63.5,94.5
