team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,6.0,11.0,10.0,1.8,1.7,2.0,2.0,10.0,10.0,5.0,0,153.0,54.0,262.3,120.2,838.6,600.4,759.6,351.1,1028.0,247.0,630.0,425.0,25.5,9.0,28.8,8.2,43.7,20.0,50.2,20.6,139.8,100.1,160.8,99.0,126.6,58.5,145.5,58.7,171.3,41.2,196.2,47.6,105.0,70.8,115.8,67.4
2,6.0,6.0,9.0,1.0,1.5,1.0,1.2,5.0,6.0,5.0,0,138.0,104.0,254.0,118.1,654.2,587.2,886.9,357.6,1003.0,242.0,537.0,527.0,23.0,17.3,20.4,18.6,42.3,19.7,37.9,18.7,109.0,97.9,94.3,99.5,147.8,59.6,134.8,49.4,167.2,40.3,150.6,39.4,89.5,87.8,77.4,90.0
3,6.0,11.0,10.0,1.8,1.7,2.0,1.8,10.0,9.0,5.0,0,161.0,57.0,278.9,113.5,839.0,576.0,783.4,417.4,1165.0,142.0,677.0,451.0,26.8,9.5,28.8,8.4,46.5,18.9,51.5,20.2,139.8,96.0,153.6,100.4,130.6,69.6,143.9,75.4,194.2,23.7,217.8,26.0,112.8,75.2,123.6,74.0
4,6.0,5.0,8.0,0.8,1.3,0.4,1.6,2.0,8.0,5.0,0,163.0,117.0,200.8,74.5,733.4,501.4,627.8,148.0,650.0,96.0,561.0,542.0,27.2,19.5,30.4,22.4,33.5,12.4,37.2,11.8,122.2,83.6,140.9,86.0,104.6,24.7,115.2,21.7,108.3,16.0,116.4,10.4,93.5,90.3,106.4,97.4
5,6.0,8.0,7.0,1.3,1.2,1.0,1.4,5.0,7.0,5.0,0,145.0,84.0,229.3,89.7,665.2,545.0,693.0,235.7,941.0,116.0,560.0,499.0,24.2,14.0,26.4,15.6,38.2,15.0,42.5,14.7,110.9,90.8,126.6,94.9,115.5,39.3,127.1,40.3,156.8,19.3,170.6,11.6,93.3,83.2,105.6,88.0
6,6.0,12.0,13.0,2.0,2.2,2.4,1.8,12.0,9.0,5.0,0,161.0,93.0,191.8,102.5,772.0,731.2,502.7,162.0,646.0,128.0,575.0,557.0,26.8,15.5,22.6,11.6,32.0,17.1,28.3,16.8,128.7,121.9,110.9,117.8,83.8,27.0,79.2,26.4,107.7,21.3,93.6,23.2,95.8,92.8,82.2,81.8
7,6.0,4.0,7.0,0.7,1.2,0.8,1.4,4.0,7.0,5.0,0,113.0,155.0,188.3,129.6,522.0,710.2,597.7,320.2,766.0,266.0,359.0,662.0,18.8,25.8,19.8,23.8,31.4,21.6,33.1,22.8,87.0,118.4,94.1,123.7,99.6,53.4,101.1,59.8,127.7,44.3,136.2,45.0,59.8,110.3,64.2,108.4
8,6.0,5.0,9.0,0.8,1.5,1.0,1.8,5.0,9.0,5.0,0,136.0,149.0,162.8,102.4,631.2,722.6,371.2,140.7,627.0,160.0,468.0,644.0,22.7,24.8,24.0,23.8,27.1,17.1,27.6,18.1,105.2,120.4,112.7,129.1,61.9,23.4,60.6,27.8,104.5,26.7,103.4,24.4,78.0,107.3,83.4,106.6
9,6.0,8.0,5.0,1.3,0.8,1.6,1.0,8.0,5.0,5.0,0,117.0,108.0,165.8,96.6,587.0,582.2,568.0,211.9,514.0,170.0,448.0,561.0,19.5,18.0,20.8,13.8,27.6,16.1,28.3,17.4,97.8,97.0,101.6,101.8,94.7,35.3,96.2,39.4,85.7,28.3,87.2,32.0,74.7,93.5,80.2,85.4
10,6.0,17.0,5.0,2.8,0.8,2.6,0.8,13.0,4.0,5.0,0,102.0,39.0,144.5,108.4,502.0,691.4,464.7,226.8,489.0,165.0,377.0,421.0,17.0,6.5,16.4,8.0,24.1,18.1,22.4,18.8,83.7,115.2,78.9,115.7,77.4,37.8,73.1,40.0,81.5,27.5,74.2,31.6,62.8,70.2,59.0,70.2
