team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,ARS,29,43.0,31.0,1.5,1.1,1.8,1.2,9.0,6.0,5,0,512.0,347.0,792.9,388.8,2530.4,2359.0,2359.1,905.7,3049.0,625.0,1948.0,2036.0,17.7,12.0,6.2,3.0,27.3,13.4,10.0,5.9,87.3,81.3,40.6,51.4,81.4,31.2,28.8,4.3,105.1,21.6,31.4,2.8,67.2,70.2,25.0,28.8
2,AVL,29,41.0,39.0,1.4,1.3,2.0,0.8,10.0,4.0,5,0,689.0,406.0,1032.0,513.1,3279.2,2993.0,3082.8,1121.0,3977.0,1019.0,2487.0,2449.0,23.8,14.0,28.2,17.4,35.6,17.7,40.4,21.8,113.1,103.2,129.9,123.9,106.3,38.7,126.2,53.6,137.1,35.1,149.0,40.8,85.8,84.4,93.8,118.8
3,BRE,29,32.0,45.0,1.1,1.6,1.2,1.0,6.0,5.0,5,0,676.0,501.0,935.5,480.5,3120.8,2719.0,3082.6,1050.3,3152.0,1037.0,2480.0,2462.0,23.3,17.3,21.6,16.2,32.3,16.6,29.8,16.3,107.6,93.8,84.3,90.6,106.3,36.2,98.4,36.2,108.7,35.8,114.8,36.0,85.5,84.9,81.2,85.4
4,BHA,29,26.0,36.0,0.9,1.2,0.6,2.6,3.0,13.0,5,0,803.0,695.0,1104.3,564.9,3711.8,3286.8,3091.4,1192.9,4246.0,1168.0,2888.0,3090.0,27.7,24.0,63.8,67.0,38.1,19.5,82.3,46.5,128.0,113.3,301.0,253.6,106.6,41.1,212.3,103.0,146.4,40.3,309.6,108.6,99.6,106.6,232.6,264.0
5,BUR,29,22.0,38.0,0.8,1.3,1.0,2.0,5.0,10.0,5,0,762.0,620.0,1196.7,541.6,3420.0,2877.6,3747.3,1227.5,4809.0,1309.0,2818.0,2869.0,26.3,21.4,53.0,38.8,41.3,18.7,70.3,31.6,117.9,99.2,239.3,185.6,129.2,42.3,202.0,64.1,165.8,45.1,262.8,66.6,97.2,98.9,192.8,182.4
6,CHE,29,57.0,19.0,2.0,0.7,1.8,0.2,9.0,1.0,5,0,480.0,326.0,714.6,453.6,2177.8,2782.2,2184.7,946.6,2805.0,802.0,1761.0,2122.0,16.6,11.2,7.8,5.2,24.6,15.6,11.7,7.8,75.1,95.9,27.5,45.1,75.3,32.6,42.4,14.6,96.7,27.7,48.6,18.6,60.7,73.2,24.8,30.6
7,CRY,29,39.0,38.0,1.3,1.3,1.4,0.6,7.0,3.0,5,0,632.0,526.0,877.8,471.7,2820.2,2790.8,2501.7,1074.2,3470.0,854.0,2194.0,2491.0,21.8,18.1,12.4,21.2,30.3,16.3,18.3,10.9,97.2,96.2,40.7,58.0,86.3,37.0,60.8,31.1,119.7,29.4,84.0,19.6,75.7,85.9,29.8,81.0
8,EVE,29,29.0,47.0,1.0,1.6,0.8,1.8,4.0,9.0,5,0,650.0,610.0,961.1,508.9,3256.6,3049.0,2761.1,1138.0,3597.0,900.0,2486.0,2746.0,22.4,21.0,25.0,34.2,33.1,17.6,37.1,22.9,112.3,105.1,122.9,133.2,95.2,39.2,112.7,49.0,124.0,31.0,135.2,46.4,85.7,94.7,93.0,139.4
9,LEI,29,40.0,45.0,1.4,1.6,1.2,1.2,6.0,6.0,5,0,709.0,453.0,1163.0,575.7,3583.4,3109.4,3596.5,1203.4,4462.0,1442.0,2734.0,2577.0,24.4,15.6,34.8,22.2,40.1,19.8,52.4,28.3,123.6,107.2,167.6,184.2,124.0,41.5,163.1,37.5,153.9,49.7,194.8,61.4,94.3,88.9,125.0,141.8
10,LEE,29,31.0,65.0,1.1,2.2,0.8,4.4,4.0,22.0,5,0,857.0,638.0,1198.6,563.2,4199.8,3281.0,3258.2,1266.0,4529.0,1084.0,2954.0,2847.0,29.6,22.0,48.4,47.4,41.3,19.4,63.0,30.8,144.8,113.1,240.8,184.2,112.4,43.7,155.5,58.9,156.2,37.4,233.0,65.6,101.9,98.2,172.4,179.4
