team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,4,8.0,4.0,2.0,1.0,2.0,1.0,8.0,4.0,4,0,88,26,103.2,51.5,398.6,385.2,311.7,77.0,324,54,303,254,136.0,53.0,22.0,6.5,22.0,6.5,34.0,13.2,210.4,51.2,25.8,12.9,25.8,12.9,52.6,12.8,671.6,308.6,99.6,96.3,99.6,96.3,167.9,77.2,697.9,160.6,77.9,19.2,77.9,19.2,174.5,40.2,738.0,44.0,81.0,13.5,81.0,13.5,184.5,11.0,558.0,301.0,75.8,63.5,75.8,63.5,139.5,75.2
2,AVL,4,8.0,9.0,2.0,2.2,2.0,2.2,8.0,9.0,4,0,122,56,133.5,70.3,481.6,382.8,370.4,264.7,490,54,435,361,113.0,70.0,30.5,14.0,30.5,14.0,28.2,17.5,131.6,89.1,33.4,17.6,33.4,17.6,32.9,22.3,458.8,460.6,120.4,95.7,120.4,95.7,114.7,115.2,447.3,203.2,92.6,66.2,92.6,66.2,111.8,50.8,416.0,226.0,122.5,13.5,122.5,13.5,104.0,56.5,425.0,397.0,108.8,90.2,108.8,90.2,106.2,99.2
3,BOU,4,4.0,8.0,1.0,2.0,1.0,2.0,4.0,8.0,4,0,116,73,194.0,79.7,590.0,431.8,625.3,213.1,732,153,434,408,86.0,38.0,29.0,18.2,29.0,18.2,21.5,9.5,124.5,60.5,48.5,19.9,48.5,19.9,31.1,15.1,390.6,463.8,147.5,108.0,147.5,108.0,97.6,116.0,368.9,123.5,156.3,53.3,156.3,53.3,92.2,30.9,487.0,16.0,183.0,38.2,183.0,38.2,121.8,4.0,272.0,297.0,108.5,102.0,108.5,102.0,68.0,74.2
4,BRE,4,8.0,5.0,2.0,1.2,2.0,1.2,8.0,5.0,4,0,78,49,129.8,69.1,396.2,452.0,427.8,158.9,476,81,298,304,128.0,68.0,19.5,12.2,19.5,12.2,32.0,17.0,168.0,74.8,32.4,17.3,32.4,17.3,42.0,18.7,539.6,451.2,99.0,113.0,99.0,113.0,134.9,112.8,477.7,164.7,107.0,39.7,107.0,39.7,119.4,41.2,676.0,131.0,119.0,20.2,119.0,20.2,169.0,32.8,382.0,407.0,74.5,76.0,74.5,76.0,95.5,101.8
5,BHA,4,12.0,6.0,3.0,1.5,3.0,1.5,12.0,6.0,4,0,90,22,121.3,55.5,464.2,337.6,350.2,124.3,395,91,369,279,149.0,51.0,22.5,5.5,22.5,5.5,37.2,12.8,239.2,84.6,30.3,13.9,30.3,13.9,59.8,21.2,795.0,438.0,116.0,84.4,116.0,84.4,198.8,109.5,815.8,220.6,87.6,31.1,87.6,31.1,204.0,55.2,779.0,188.0,98.8,22.8,98.8,22.8,194.8,47.0,572.0,327.0,92.2,69.8,92.2,69.8,143.0,81.8
6,BUR,3,3.0,11.0,1.0,3.7,1.0,3.7,3.0,11.0,3,0,114,83,157.0,67.3,560.4,410.2,504.8,110.2,505,154,441,381,60.0,12.0,38.0,27.7,38.0,27.7,20.0,4.0,78.7,49.4,52.3,22.4,52.3,22.4,26.2,16.5,271.4,332.2,186.8,136.7,186.8,136.7,90.5,110.7,308.0,94.5,168.3,36.7,168.3,36.7,102.7,31.5,217.0,67.0,168.3,51.3,168.3,51.3,72.3,22.3,202.0,224.0,147.0,127.0,147.0,127.0,67.3,74.7
7,CHE,4,5.0,5.0,1.2,1.2,1.2,1.2,5.0,5.0,4,0,88,84,97.3,67.1,397.4,500.6,282.8,94.7,298,76,293,353,73.0,88.0,22.0,21.0,22.0,21.0,18.2,22.0,148.5,97.2,24.3,16.8,24.3,16.8,37.1,24.3,400.4,457.6,99.4,125.2,99.4,125.2,100.1,114.4,538.2,306.7,70.7,23.7,70.7,23.7,134.6,76.7,553.0,207.0,74.5,19.0,74.5,19.0,138.2,51.8,304.0,449.0,73.2,88.2,73.2,88.2,76.0,112.2
8,CRY,4,5.0,4.0,1.2,1.0,1.2,1.0,5.0,4.0,4,0,93,61,107.1,44.0,369.6,330.8,408.4,77.5,298,33,334,316,91.0,72.0,23.2,15.2,23.2,15.2,22.8,18.0,175.8,64.9,26.8,11.0,26.8,11.0,44.0,16.2,511.0,393.0,92.4,82.7,92.4,82.7,127.8,98.2,577.4,169.0,102.1,19.4,102.1,19.4,144.4,42.2,665.0,88.0,74.5,8.2,74.5,8.2,166.2,22.0,381.0,345.0,83.5,79.0,83.5,79.0,95.2,86.2
9,EVE,4,2.0,8.0,0.5,2.0,0.5,2.0,2.0,8.0,4,0,120,120,137.4,81.6,512.4,566.2,378.8,143.9,486,103,425,512,57.0,28.0,30.0,30.0,30.0,30.0,14.2,7.0,104.4,67.8,34.4,20.4,34.4,20.4,26.1,17.0,280.0,349.4,128.1,141.6,128.1,141.6,70.0,87.4,315.5,207.2,94.7,36.0,94.7,36.0,78.9,51.8,451.0,120.0,121.5,25.8,121.5,25.8,112.8,30.0,243.0,275.0,106.2,128.0,106.2,128.0,60.8,68.8
10,FUL,4,4.0,10.0,1.0,2.5,1.0,2.5,4.0,10.0,4,0,132,71,192.2,71.5,632.8,402.4,548.8,166.9,741,144,542,354,86.0,53.0,33.0,17.8,33.0,17.8,21.5,13.2,100.9,55.5,48.0,17.9,48.0,17.9,25.2,13.9,311.6,447.8,158.2,100.6,158.2,100.6,77.9,112.0,338.9,56.2,137.2,41.7,137.2,41.7,84.7,14.0,366.0,53.0,185.2,36.0,185.2,36.0,91.5,13.2,293.0,332.0,135.5,88.5,135.5,88.5,73.2,83.0
