team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,3,5.0,3.0,1.7,1.0,1.7,1.0,5.0,3.0,3,0,64,22,72.8,41.1,275.2,293.0,213.3,72.8,240,47,216,192,94.0,42.0,21.3,7.3,21.3,7.3,31.3,14.0,153.0,37.7,24.3,13.7,24.3,13.7,51.0,12.6,462.2,222.6,91.7,97.7,91.7,97.7,154.1,74.2,522.1,113.3,71.1,24.3,71.1,24.3,174.0,37.8,548.0,42.0,80.0,15.7,80.0,15.7,182.7,14.0,401.0,221.0,72.0,64.0,72.0,64.0,133.7,73.7
2,AVL,3,8.0,6.0,2.7,2.0,2.7,2.0,8.0,6.0,3,0,83,17,96.1,45.8,370.2,271.8,280.7,150.6,316,34,320,210,100.0,66.0,27.7,5.7,27.7,5.7,33.3,22.0,114.8,66.5,32.0,15.3,32.0,15.3,38.3,22.2,410.2,364.6,123.4,90.6,123.4,90.6,136.7,121.5,378.3,138.8,93.6,50.2,93.6,50.2,126.1,46.3,359.0,161.0,105.3,11.3,105.3,11.3,119.7,53.7,367.0,333.0,106.7,70.0,106.7,70.0,122.3,111.0
3,BOU,3,2.0,6.0,0.7,2.0,0.7,2.0,2.0,6.0,3,0,85,62,144.5,58.9,448.4,319.2,439.1,172.7,558,98,334,309,58.0,30.0,28.3,20.7,28.3,20.7,19.3,10.0,87.0,44.2,48.2,19.6,48.2,19.6,29.0,14.7,255.2,334.6,149.5,106.4,149.5,106.4,85.1,111.5,287.5,91.4,146.4,57.6,146.4,57.6,95.8,30.5,330.0,14.0,186.0,32.7,186.0,32.7,110.0,4.7,185.0,230.0,111.3,103.0,111.3,103.0,61.7,76.7
4,BRE,3,6.0,3.0,2.0,1.0,2.0,1.0,6.0,3.0,3,0,50,41,92.3,52.8,260.8,322.8,346.4,126.8,319,79,211,237,94.0,57.0,16.7,13.7,16.7,13.7,31.3,19.0,106.5,54.0,30.8,17.6,30.8,17.6,35.5,18.0,385.6,338.6,86.9,107.6,86.9,107.6,128.5,112.9,278.2,124.3,115.5,42.3,115.5,42.3,92.7,41.4,408.0,76.0,106.3,26.3,106.3,26.3,136.0,25.3,287.0,308.0,70.3,79.0,70.3,79.0,95.7,102.7
5,BHA,3,9.0,5.0,3.0,1.7,3.0,1.7,9.0,5.0,3,0,70,18,95.1,42.3,370.4,258.0,253.9,96.6,325,68,276,228,107.0,41.0,23.3,6.0,23.3,6.0,35.7,13.7,193.1,71.2,31.7,14.1,31.7,14.1,64.4,23.7,617.6,362.4,123.5,86.0,123.5,86.0,205.9,120.8,667.3,180.3,84.6,32.2,84.6,32.2,222.4,60.1,643.0,169.0,108.3,22.7,108.3,22.7,214.3,56.3,429.0,255.0,92.0,76.0,92.0,76.0,143.0,85.0
6,BUR,2,1.0,6.0,0.5,3.0,0.5,3.0,1.0,6.0,2,0,71,62,92.6,40.7,305.6,227.2,353.6,52.8,268,128,278,251,34.0,13.0,35.5,31.0,35.5,31.0,17.0,6.5,36.8,32.7,46.3,20.4,46.3,20.4,18.4,16.4,111.0,225.4,152.8,113.6,152.8,113.6,55.5,112.7,162.7,74.3,176.8,26.4,176.8,26.4,81.4,37.2,106.0,27.0,134.0,64.0,134.0,64.0,53.0,13.5,100.0,158.0,139.0,125.5,139.0,125.5,50.0,79.0
7,CHE,3,5.0,4.0,1.7,1.3,1.7,1.3,5.0,4.0,3,0,65,42,75.3,51.1,280.2,364.2,243.7,73.0,236,74,229,221,60.0,77.0,21.7,14.0,21.7,14.0,20.0,25.7,115.1,77.2,25.1,17.0,25.1,17.0,38.4,25.7,333.8,373.2,93.4,121.4,93.4,121.4,111.3,124.4,384.0,239.1,81.2,24.3,81.2,24.3,128.0,79.7,438.0,160.0,78.7,24.7,78.7,24.7,146.0,53.3,251.0,373.0,76.3,73.7,76.3,73.7,83.7,124.3
8,CRY,3,2.0,2.0,0.7,0.7,0.7,0.7,2.0,2.0,3,0,63,55,66.2,27.8,201.4,207.0,268.6,46.4,197,26,192,252,54.0,65.0,21.0,18.3,21.0,18.3,18.0,21.7,115.2,52.2,22.1,9.3,22.1,9.3,38.4,17.4,289.2,298.8,67.1,69.0,67.1,69.0,96.4,99.6,433.2,146.7,89.5,15.5,89.5,15.5,144.4,48.9,427.0,77.0,65.7,8.7,65.7,8.7,142.3,25.7,227.0,277.0,64.0,84.0,64.0,84.0,75.7,92.3
9,EVE,3,0.0,6.0,0.0,2.0,0.0,2.0,0.0,6.0,3,0,96,112,108.3,54.7,409.4,416.6,306.1,114.9,371,15,339,437,39.0,18.0,32.0,37.3,32.0,37.3,13.0,6.0,88.8,45.6,36.1,18.2,36.1,18.2,29.6,15.2,191.6,206.4,136.5,138.9,136.5,138.9,63.9,68.8,306.3,140.8,102.0,38.3,102.0,38.3,102.1,46.9,393.0,107.0,123.7,5.0,123.7,5.0,131.0,35.7,156.0,177.0,113.0,145.7,113.0,145.7,52.0,59.0
10,FUL,3,3.0,5.0,1.0,1.7,1.0,1.7,3.0,5.0,3,0,86,49,153.6,50.9,421.2,259.4,467.9,135.0,648,113,337,249,66.0,47.0,28.7,16.3,28.7,16.3,22.0,15.7,71.2,43.9,51.2,17.0,51.2,17.0,23.7,14.6,261.2,374.2,140.4,86.5,140.4,86.5,87.1,124.7,226.0,53.3,156.0,45.0,156.0,45.0,75.3,17.8,231.0,14.0,216.0,37.7,216.0,37.7,77.0,4.7,227.0,272.0,112.3,83.0,112.3,83.0,75.7,90.7
