team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,ARS,27,38.0,27.0,1.4,1.0,1.0,0.4,5.0,2.0,5,0,500.0,341.0,765.9,376.1,2442.2,2252.8,2262.2,896.4,2962.0,615.0,1891.0,1972.0,18.5,12.6,6.0,4.2,28.4,13.9,11.9,7.0,90.4,83.4,39.9,48.9,83.8,33.2,34.3,12.0,109.7,22.8,45.8,8.8,70.0,73.0,24.4,30.4
2,AVL,27,33.0,37.0,1.2,1.4,1.2,1.0,6.0,5.0,5,0,623.0,388.0,931.8,456.2,2957.6,2698.2,2785.6,967.1,3592.0,897.0,2230.0,2221.0,23.1,14.4,22.4,18.2,34.5,16.9,35.0,16.8,109.5,99.9,105.6,90.7,103.2,35.8,120.7,30.8,133.0,33.2,124.0,46.8,82.6,82.3,69.6,99.6
3,BRE,27,27.0,44.0,1.0,1.6,0.4,1.6,2.0,8.0,5,0,620.0,489.0,868.5,440.8,2933.4,2456.2,2869.1,985.7,2884.0,968.0,2260.0,2301.0,23.0,18.1,24.4,22.6,32.2,16.3,29.5,15.8,108.6,91.0,103.0,78.2,106.3,36.5,100.6,36.3,106.8,35.8,91.2,43.8,83.7,85.2,85.0,93.6
4,BHA,27,25.0,30.0,0.9,1.1,0.6,1.6,3.0,8.0,5,0,633.0,529.0,903.9,437.3,2960.0,2613.2,2607.6,899.2,3479.0,859.0,2258.0,2442.0,23.4,19.6,35.2,36.0,33.5,16.2,50.5,24.2,109.6,96.8,174.3,142.6,96.6,33.3,132.4,49.6,128.8,31.8,198.6,50.0,83.6,90.4,125.2,149.4
5,BUR,27,22.0,32.0,0.8,1.2,1.2,1.0,6.0,5.0,5,0,645.0,528.0,1047.4,489.8,2887.4,2547.6,3324.9,1160.5,4269.0,1187.0,2395.0,2513.0,23.9,19.6,37.6,30.2,38.8,18.1,61.1,28.9,106.9,94.4,167.8,151.8,123.1,43.0,189.7,73.9,158.1,44.0,254.2,62.6,88.7,93.1,139.2,149.0
6,CHE,27,49.0,18.0,1.8,0.7,0.6,0.0,3.0,0.0,5,0,441.0,300.0,655.9,414.4,2040.4,2556.8,1972.9,873.8,2562.0,709.0,1637.0,1969.0,16.3,11.1,2.2,1.0,24.3,15.4,4.0,2.6,75.6,94.7,12.8,19.9,73.1,32.4,18.2,0.9,94.9,26.3,9.2,4.8,60.6,72.9,9.6,12.8
7,CRY,27,37.0,38.0,1.4,1.4,1.4,1.4,7.0,7.0,5,0,615.0,492.0,832.8,453.6,2763.0,2705.2,2332.0,1003.9,3247.0,829.0,2147.0,2361.0,22.8,18.2,19.4,22.0,30.8,16.8,20.0,14.6,102.3,100.2,68.0,90.8,86.4,37.2,56.7,33.6,120.3,30.7,77.2,22.2,79.5,87.4,55.8,88.4
8,EVE,27,28.0,41.0,1.0,1.5,0.8,1.4,4.0,7.0,5,0,593.0,519.0,886.6,457.7,2975.0,2761.8,2552.3,998.6,3344.0,817.0,2278.0,2409.0,22.0,19.2,24.0,26.4,32.8,17.0,36.0,20.2,110.2,102.3,114.5,118.8,94.5,37.0,93.1,45.6,123.8,30.3,153.0,38.2,84.4,89.2,84.2,109.2
9,LEI,27,39.0,43.0,1.4,1.6,1.2,1.4,6.0,7.0,5,0,632.0,399.0,1011.7,521.3,3203.0,2762.4,3091.6,1125.3,3833.0,1322.0,2444.0,2232.0,23.4,14.8,29.8,21.4,37.5,19.3,41.2,26.3,118.6,102.3,152.1,155.8,114.5,41.7,105.6,52.1,142.0,49.0,155.0,55.0,90.5,82.7,110.6,119.4
10,LEE,27,29.0,60.0,1.1,2.2,1.0,4.2,5.0,21.0,5,0,727.0,512.0,1043.7,489.7,3576.8,2822.8,2903.1,1102.9,3962.0,967.0,2481.0,2361.0,26.9,19.0,34.4,31.4,38.7,18.1,47.3,24.2,132.5,104.6,174.2,142.3,107.5,40.8,125.1,40.7,146.7,35.8,173.2,58.6,91.9,87.4,117.0,126.2
11,LIV,27,70.0,20.0,2.6,0.7,3.0,0.4,15.0,2.0,5,0,443.0,194.0,638.9,383.7,2245.8,2845.8,1798.6,549.9,2342.0,438.0,1705.0,1761.0,16.4,7.2,14.6,5.6,23.7,14.2,17.5,11.2,83.2,105.4,69.4,90.2,66.6,20.4,46.5,18.2,86.7,16.2,59.2,3.0,63.2,65.2,57.6,56.2
12,MCI,27,64.0,17.0,2.4,0.6,2.0,0.8,10.0,4.0,5,0,471.0,267.0,571.4,385.7,2066.6,2943.4,1668.5,484.9,1998.0,420.0,1733.0,2015.0,17.4,9.9,11.0,8.8,21.2,14.3,14.7,13.1,76.5,109.0,48.5,98.0,61.8,18.0,54.7,7.4,74.0,15.6,44.2,25.6,64.2,74.6,41.0,55.2
13,MUN,27,44.0,34.0,1.6,1.3,1.8,0.8,9.0,4.0,5,0,653.0,455.0,999.2,529.1,3260.8,3270.4,2995.6,1002.5,3738.0,1006.0,2469.0,2662.0,24.2,16.8,28.8,25.2,37.0,19.6,42.0,26.6,120.8,121.1,155.9,180.6,111.0,37.1,120.8,44.1,138.4,37.3,143.2,41.2,91.4,98.6,116.4,141.2
14,NEW,27,28.0,45.0,1.0,1.7,1.6,0.4,8.0,2.0,5,0,628.0,447.0,1008.9,484.8,3099.8,2748.2,3009.9,1243.5,3978.0,858.0,2432.0,2227.0,23.3,16.6,10.6,11.6,37.4,18.0,26.1,17.1,114.8,101.8,64.8,108.8,111.5,46.1,91.7,27.0,147.3,31.8,105.2,35.2,90.1,82.5,51.0,66.4
15,NOR,27,15.0,55.0,0.6,2.0,1.0,2.0,5.0,10.0,5,0,830.0,751.0,1259.8,528.8,3885.4,2743.8,3746.2,1298.6,4979.0,1245.0,3035.0,3129.0,30.7,27.8,42.2,37.6,46.7,19.6,74.3,30.0,143.9,101.6,200.6,146.8,138.8,48.1,218.4,90.5,184.4,46.1,324.6,62.4,112.4,115.9,157.0,168.8
16,SOU,27,34.0,37.0,1.3,1.4,1.8,0.8,9.0,4.0,5,0,574.0,473.0,861.6,507.5,2746.2,3140.8,2482.0,1016.8,3384.0,914.0,2141.0,2424.0,21.3,17.5,13.4,7.6,31.9,18.8,22.1,17.5,101.7,116.3,57.4,116.8,91.9,37.7,79.6,28.8,125.3,33.8,83.4,29.6,79.3,89.8,52.8,69.8
17,TOT,27,35.0,32.0,1.3,1.2,1.8,2.0,9.0,10.0,5,0,517.0,433.0,872.4,447.7,2605.4,2656.0,2607.0,1040.9,3519.0,774.0,2038.0,2373.0,19.2,16.0,27.6,18.4,32.3,16.6,45.3,18.9,96.5,98.4,127.4,104.0,96.6,38.6,136.3,49.5,130.3,28.7,189.2,35.6,75.5,87.9,107.4,100.2
18,WAT,27,25.0,47.0,0.9,1.7,0.4,2.0,2.0,10.0,5,0,741.0,609.0,1053.8,512.2,3418.0,2862.0,3139.8,1266.3,3986.0,987.0,2768.0,2798.0,27.4,22.6,36.6,43.0,39.0,19.0,47.1,29.3,126.6,106.0,147.2,166.4,116.3,46.9,156.9,87.6,147.6,36.6,167.8,38.4,102.5,103.6,129.6,177.6
19,WHU,27,46.0,34.0,1.7,1.3,1.0,0.8,5.0,4.0,5,0,632.0,366.0,1001.0,484.2,3061.6,2855.0,3014.7,1183.7,3942.0,801.0,2534.0,2287.0,23.4,13.6,20.2,15.6,37.1,17.9,32.9,16.8,113.4,105.7,84.4,98.2,111.7,43.8,110.3,44.7,146.0,29.7,134.8,25.0,93.8,84.7,82.0,86.0
