team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,13,25.0,11.0,1.9,0.8,1.6,0.8,8.0,4.0,5,0,224.0,75.0,300.1,151.8,1035.0,1088.8,869.8,276.0,1099.0,148.0,804.0,709.0,17.2,5.8,16.8,6.6,23.1,11.7,23.4,10.7,79.6,83.8,79.0,69.2,66.9,21.2,62.7,20.7,84.5,11.4,93.0,16.8,61.8,54.5,63.2,50.6,353.0,243.0,27.2,18.7,544.2,175.0,41.9,13.5,1626.6,1114.6,125.1,85.7,1553.5,317.1,119.5,24.4,2266.0,320.0,174.3,24.6,1304.0,1141.0,100.3,87.8
2,AVL,13,11.0,16.0,0.8,1.2,1.0,1.2,5.0,6.0,5,0,284.0,242.0,389.8,183.6,1205.4,1184.6,1111.3,339.7,1588.0,308.0,950.0,1145.0,21.8,18.6,23.2,21.6,30.0,14.1,31.0,12.8,92.7,91.1,92.4,98.2,85.5,26.1,97.1,19.1,122.2,23.7,122.0,10.4,73.1,88.1,72.8,96.8,260.0,178.0,20.0,13.7,414.9,183.5,31.9,14.1,1238.0,1107.8,95.2,85.2,1167.0,501.7,89.8,38.6,1743.0,222.0,134.1,17.1,961.0,954.0,73.9,73.4
3,BOU,13,10.0,25.0,0.8,1.9,0.8,1.2,4.0,6.0,5,0,333.0,335.0,514.6,235.4,1523.2,1226.0,1621.3,620.7,1999.0,506.0,1244.0,1436.0,25.6,25.8,21.2,29.0,39.6,18.1,36.3,19.8,117.2,94.3,95.6,110.5,124.7,47.8,114.9,42.9,153.8,38.9,152.6,44.0,95.7,110.5,83.8,126.0,255.0,159.0,19.6,12.2,301.4,159.9,23.2,12.3,1138.0,1170.8,87.5,90.1,839.6,296.7,64.6,22.8,1038.0,128.0,79.8,9.8,924.0,954.0,71.1,73.4
4,BRE,13,18.0,21.0,1.4,1.6,0.6,1.8,3.0,9.0,5,0,319.0,233.0,512.2,213.4,1564.6,1250.4,1572.7,556.4,1989.0,323.0,1179.0,1182.0,24.5,17.9,28.8,25.8,39.4,16.4,46.8,16.0,120.4,96.2,132.4,95.6,121.0,42.8,148.1,38.7,153.0,24.8,186.8,25.4,90.7,90.9,100.8,107.4,305.0,211.0,23.5,16.2,395.9,174.2,30.4,13.4,1344.6,1169.4,103.4,90.0,1141.7,247.4,87.8,19.0,1475.0,317.0,113.5,24.4,1112.0,1062.0,85.5,81.7
5,BHA,13,15.0,14.0,1.2,1.1,0.8,1.8,4.0,9.0,5,0,258.0,197.0,311.0,158.3,1134.6,996.6,871.5,309.5,1109.0,276.0,923.0,969.0,19.8,15.2,28.2,27.0,23.9,12.2,30.0,13.6,87.3,76.7,121.4,98.5,67.0,23.8,78.1,18.5,85.3,21.2,100.2,19.0,71.0,74.5,97.2,111.4,314.0,168.0,24.2,12.9,497.5,123.3,38.3,9.5,1436.4,771.6,110.5,59.4,1641.3,262.3,126.2,20.2,1894.0,197.0,145.7,15.2,1135.0,835.0,87.3,64.2
6,CHE,13,16.0,11.0,1.2,0.8,1.6,0.4,8.0,2.0,5,0,237.0,153.0,340.4,170.9,1155.6,1046.0,955.9,397.4,1296.0,263.0,832.0,852.0,18.2,11.8,17.2,14.0,26.2,13.2,29.8,12.9,88.9,80.5,79.8,84.2,73.5,30.6,95.0,37.2,99.7,20.2,123.8,8.0,64.0,65.5,59.0,78.4,265.0,246.0,20.4,18.9,381.7,236.8,29.4,18.2,1180.2,1366.4,90.8,105.1,1207.2,570.5,92.9,43.9,1423.0,426.0,109.5,32.8,927.0,1237.0,71.3,95.2
7,CRY,13,12.0,16.0,0.9,1.2,1.0,1.4,5.0,7.0,5,0,289.0,220.0,431.8,205.3,1264.0,1149.6,1322.8,507.0,1745.0,396.0,1042.0,1071.0,22.2,16.9,25.8,19.6,33.2,15.8,34.7,14.3,97.2,88.4,105.9,98.3,101.8,39.0,108.6,23.1,134.2,30.5,133.6,21.6,80.2,82.4,86.4,92.0,251.0,140.0,19.3,10.8,360.1,146.9,27.7,11.3,1212.4,1083.6,93.3,83.4,1128.3,212.4,86.8,16.3,1258.0,166.0,96.8,12.8,909.0,832.0,69.9,64.0
8,EVE,13,11.0,12.0,0.8,0.9,1.2,1.2,6.0,6.0,5,0,283.0,218.0,469.5,241.8,1282.4,1138.8,1488.3,709.4,1934.0,567.0,975.0,1080.0,21.8,16.8,24.8,19.0,36.1,18.6,38.9,19.9,98.6,87.6,110.8,82.9,114.5,54.6,126.8,58.1,148.8,43.6,151.4,58.0,75.0,83.1,87.4,90.4,242.0,211.0,18.6,16.2,336.5,213.6,25.9,16.4,1073.2,1443.4,82.6,111.0,979.9,329.1,75.4,25.3,1322.0,359.0,101.7,27.6,863.0,1080.0,66.4,83.1
9,FUL,13,22.0,22.0,1.7,1.7,2.0,2.2,10.0,11.0,5,0,337.0,160.0,526.5,190.4,1673.2,1034.4,1377.4,441.5,2219.0,431.0,1222.0,926.0,25.9,12.3,31.8,11.2,40.5,14.6,49.7,15.2,128.7,79.6,166.6,77.4,106.0,34.0,121.7,45.0,170.7,33.2,208.8,29.6,94.0,71.2,118.4,73.0,325.0,145.0,25.0,11.2,460.3,165.5,35.4,12.7,1456.0,1274.8,112.0,98.1,1324.7,260.5,101.9,20.0,1820.0,116.0,140.0,8.9,1159.0,923.0,89.2,71.0
10,LEI,13,21.0,24.0,1.6,1.8,2.2,0.4,11.0,2.0,5,0,353.0,143.0,468.8,171.4,1637.4,1034.2,1327.5,364.5,1720.0,311.0,1292.0,942.0,27.2,11.0,19.0,9.0,36.1,13.2,32.2,13.8,126.0,79.6,68.2,87.6,102.1,28.0,109.8,27.5,132.3,23.9,143.4,22.2,99.4,72.5,62.8,77.6,321.0,188.0,24.7,14.5,402.0,170.4,30.9,13.1,1538.4,1129.0,118.3,86.8,1162.3,356.1,89.4,27.4,1329.0,218.0,102.2,16.8,1221.0,1090.0,93.9,83.8
