team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,2.0,3.0,1.0,1.5,0.5,1.5,0.5,3.0,1.0,2.0,0,29.0,20.0,50.2,40.0,126.4,219.4,163.0,109.5,213.0,70.0,135.0,159.0,14.5,10.0,14.5,10.0,25.1,20.0,25.1,20.0,63.2,109.7,63.2,109.7,81.5,54.8,81.5,54.8,106.5,35.0,106.5,35.0,67.5,79.5,67.5,79.5
2,2.0,2.0,5.0,1.0,2.5,1.0,2.5,2.0,5.0,2.0,0,61.0,22.0,99.9,42.2,297.8,213.4,319.7,141.5,382.0,67.0,241.0,149.0,30.5,11.0,30.5,11.0,50.0,21.1,50.0,21.1,148.9,106.7,148.9,106.7,159.8,70.8,159.8,70.8,191.0,33.5,191.0,33.5,120.5,74.5,120.5,74.5
3,2.0,3.0,2.0,1.5,1.0,1.5,1.0,3.0,2.0,2.0,0,42.0,23.0,69.2,36.7,183.4,175.6,219.9,143.0,287.0,49.0,140.0,163.0,21.0,11.5,21.0,11.5,34.6,18.4,34.6,18.4,91.7,87.8,91.7,87.8,110.0,71.5,110.0,71.5,143.5,24.5,143.5,24.5,70.0,81.5,70.0,81.5
4,2.0,4.0,1.0,2.0,0.5,2.0,0.5,4.0,1.0,2.0,0,36.0,15.0,43.0,29.1,130.8,175.2,126.4,65.5,175.0,50.0,118.0,127.0,18.0,7.5,18.0,7.5,21.5,14.6,21.5,14.6,65.4,87.6,65.4,87.6,63.2,32.8,63.2,32.8,87.5,25.0,87.5,25.0,59.0,63.5,59.0,63.5
5,2.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,0,45.0,17.0,72.0,35.8,218.2,193.4,207.5,93.7,301.0,71.0,157.0,140.0,22.5,8.5,22.5,8.5,36.0,17.9,36.0,17.9,109.1,96.7,109.1,96.7,103.8,46.8,103.8,46.8,150.5,35.5,150.5,35.5,78.5,70.0,78.5,70.0
6,2.0,1.0,5.0,0.5,2.5,0.5,2.5,1.0,5.0,2.0,0,73.0,47.0,80.1,35.2,317.0,272.0,200.8,60.1,285.0,18.0,233.0,221.0,36.5,23.5,36.5,23.5,40.0,17.6,40.0,17.6,158.5,136.0,158.5,136.0,100.4,30.0,100.4,30.0,142.5,9.0,142.5,9.0,116.5,110.5,116.5,110.5
7,2.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0,24.0,90.0,47.2,48.7,90.4,265.2,189.3,73.1,191.0,148.0,64.0,304.0,12.0,45.0,12.0,45.0,23.6,24.4,23.6,24.4,45.2,132.6,45.2,132.6,94.6,36.6,94.6,36.6,95.5,74.0,95.5,74.0,32.0,152.0,32.0,152.0
8,2.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,2.0,0,29.0,39.0,48.5,26.3,124.8,177.2,151.2,32.4,209.0,53.0,104.0,167.0,14.5,19.5,14.5,19.5,24.2,13.2,24.2,13.2,62.4,88.6,62.4,88.6,75.6,16.2,75.6,16.2,104.5,26.5,104.5,26.5,52.0,83.5,52.0,83.5
9,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,2.0,0,35.0,49.0,60.9,28.1,186.6,176.0,210.5,67.9,214.0,37.0,116.0,211.0,17.5,24.5,17.5,24.5,30.4,14.0,30.4,14.0,93.3,88.0,93.3,88.0,105.2,34.0,105.2,34.0,107.0,18.5,107.0,18.5,58.0,105.5,58.0,105.5
10,2.0,6.0,2.0,3.0,1.0,3.0,1.0,6.0,2.0,2.0,0,36.0,6.0,59.8,34.5,183.0,213.8,185.5,59.0,231.0,72.0,155.0,136.0,18.0,3.0,18.0,3.0,29.9,17.2,29.9,17.2,91.5,106.9,91.5,106.9,92.8,29.5,92.8,29.5,115.5,36.0,115.5,36.0,77.5,68.0,77.5,68.0
11,2.0,7.0,2.0,3.5,1.0,3.5,1.0,7.0,2.0,2.0,0,45.0,7.0,42.2,23.5,210.8,223.0,87.9,5.3,124.0,7.0,194.0,128.0,22.5,3.5,22.5,3.5,21.1,11.8,21.1,11.8,105.4,111.5,105.4,111.5,44.0,2.6,44.0,2.6,62.0,3.5,62.0,3.5,97.0,64.0,97.0,64.0
12,2.0,5.0,1.0,2.5,0.5,2.5,0.5,5.0,1.0,2.0,0,35.0,16.0,58.3,28.5,182.4,162.2,242.7,43.5,158.0,84.0,136.0,109.0,17.5,8.0,17.5,8.0,29.2,14.2,29.2,14.2,91.2,81.1,91.2,81.1,121.4,21.8,121.4,21.8,79.0,42.0,79.0,42.0,68.0,54.5,68.0,54.5
13,2.0,1.0,4.0,0.5,2.0,0.5,2.0,1.0,4.0,2.0,0,60.0,54.0,94.0,26.7,318.0,186.0,293.4,50.4,327.0,30.0,260.0,233.0,30.0,27.0,30.0,27.0,47.0,13.4,47.0,13.4,159.0,93.0,159.0,93.0,146.7,25.2,146.7,25.2,163.5,15.0,163.5,15.0,130.0,116.5,130.0,116.5
14,2.0,4.0,5.0,2.0,2.5,2.0,2.5,4.0,5.0,2.0,0,56.0,24.0,69.6,47.2,256.4,235.2,205.2,112.0,233.0,124.0,227.0,156.0,28.0,12.0,28.0,12.0,34.8,23.6,34.8,23.6,128.2,117.6,128.2,117.6,102.6,56.0,102.6,56.0,116.5,62.0,116.5,62.0,113.5,78.0,113.5,78.0
15,2.0,2.0,1.0,1.0,0.5,1.0,0.5,2.0,1.0,2.0,0,27.0,29.0,40.3,40.9,111.6,236.6,126.7,66.0,165.0,105.0,101.0,160.0,13.5,14.5,13.5,14.5,20.2,20.4,20.2,20.4,55.8,118.3,55.8,118.3,63.4,33.0,63.4,33.0,82.5,52.5,82.5,52.5,50.5,80.0,50.5,80.0
16,2.0,1.0,5.0,0.5,2.5,0.5,2.5,1.0,5.0,2.0,0,72.0,50.0,72.4,41.5,301.0,241.6,173.4,100.9,251.0,72.0,254.0,207.0,36.0,25.0,36.0,25.0,36.2,20.8,36.2,20.8,150.5,120.8,150.5,120.8,86.7,50.4,86.7,50.4,125.5,36.0,125.5,36.0,127.0,103.5,127.0,103.5
17,2.0,5.0,3.0,2.5,1.5,2.5,1.5,5.0,3.0,2.0,0,51.0,16.0,110.6,40.3,307.0,240.2,335.4,73.1,465.0,90.0,207.0,159.0,25.5,8.0,25.5,8.0,55.3,20.2,55.3,20.2,153.5,120.1,153.5,120.1,167.7,36.6,167.7,36.6,232.5,45.0,232.5,45.0,103.5,79.5,103.5,79.5
18,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0,60.0,75.0,47.1,32.4,206.6,226.8,132.9,59.2,133.0,38.0,203.0,283.0,30.0,37.5,30.0,37.5,23.6,16.2,23.6,16.2,103.3,113.4,103.3,113.4,66.4,29.6,66.4,29.6,66.5,19.0,66.5,19.0,101.5,141.5,101.5,141.5
19,2.0,1.0,6.0,0.5,3.0,0.5,3.0,1.0,6.0,2.0,0,81.0,44.0,105.4,34.5,398.2,196.0,298.2,102.6,357.0,47.0,308.0,210.0,40.5,22.0,40.5,22.0,52.7,17.2,52.7,17.2,199.1,98.0,199.1,98.0,149.1,51.3,149.1,51.3,178.5,23.5,178.5,23.5,154.0,105.0,154.0,105.0
