team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,6,11.0,6.0,1.8,1.0,1.8,1.0,9.0,5.0,5,0,135,39,154.7,74.9,588.0,579.0,484.1,104.0,477,65,449,366,189.0,96.0,22.5,6.5,22.6,6.4,31.5,16.0,278.2,79.7,25.8,12.5,27.1,12.2,46.4,13.3,879.2,485.2,98.0,96.5,100.4,98.4,146.5,80.9,931.8,229.2,80.7,17.3,86.2,18.5,155.3,38.2,978.0,83.0,79.5,10.8,85.0,5.2,163.0,13.8,713.0,509.0,74.8,61.0,77.0,58.2,118.8,84.8
2,AVL,6,12.0,10.0,2.0,1.7,2.2,1.0,11.0,5.0,5,0,160,68,191.8,100.1,714.2,577.6,530.7,330.3,682,92,598,485,175.0,114.0,26.7,11.3,22.0,10.8,29.2,19.0,210.9,126.5,32.0,16.7,27.5,15.8,35.2,21.1,741.2,670.4,119.0,96.3,94.4,91.4,123.5,111.7,666.7,286.5,88.4,55.0,83.5,51.5,111.1,47.8,704.0,306.0,113.7,15.3,98.4,14.6,117.3,51.0,637.0,596.0,99.7,80.8,76.6,79.0,106.2,99.3
3,BOU,6,5.0,11.0,0.8,1.8,0.8,2.0,4.0,10.0,5,0,166,119,263.4,115.2,795.0,646.0,886.9,247.5,963,259,593,615,128.0,76.0,27.7,19.8,28.4,21.6,21.3,12.7,189.6,85.8,43.9,19.2,45.5,20.1,31.6,14.3,575.2,641.8,132.5,107.7,134.9,110.3,95.9,107.0,565.7,185.4,147.8,41.2,152.5,39.4,94.3,30.9,756.0,28.0,160.5,43.2,169.6,51.0,126.0,4.7,431.0,473.0,98.8,102.5,101.2,111.6,71.8,78.8
4,BRE,6,9.0,9.0,1.5,1.5,1.4,1.4,7.0,7.0,5,0,131,105,195.6,110.4,635.6,675.0,641.9,271.2,679,160,494,514,163.0,84.0,21.8,17.5,22.4,17.4,27.2,14.0,218.1,103.2,32.6,18.4,31.2,17.6,36.4,17.2,707.8,621.0,105.9,112.5,105.1,110.2,118.0,103.5,656.3,231.7,107.0,45.2,97.3,44.0,109.4,38.6,830.0,179.0,113.2,26.7,109.4,22.0,138.3,29.8,527.0,542.0,82.3,85.7,82.2,84.8,87.8,90.3
5,BHA,6,18.0,8.0,3.0,1.3,2.8,1.4,14.0,7.0,5,0,131,34,177.8,85.3,652.2,523.4,522.0,220.6,599,105,532,417,223.0,79.0,21.8,5.7,22.4,6.0,37.2,13.2,327.2,117.7,29.6,14.2,34.9,15.4,54.5,19.6,1149.8,688.6,108.7,87.2,126.8,100.3,191.6,114.8,1073.5,270.7,87.0,36.8,101.9,32.9,178.9,45.1,1048.0,218.0,99.8,17.5,119.0,20.0,174.7,36.3,832.0,502.0,88.7,69.5,95.0,67.6,138.7,83.7
6,BUR,5,4.0,13.0,0.8,2.6,1.0,2.5,4.0,10.0,4,0,164,129,220.4,93.6,773.0,574.6,728.0,190.6,704,171,611,579,97.0,33.0,32.8,25.8,30.2,24.2,19.4,6.6,136.0,72.6,44.1,18.7,40.8,20.3,27.2,14.5,450.6,514.6,154.6,114.9,145.4,125.7,90.1,102.9,508.4,128.6,145.6,38.1,130.1,41.8,101.7,25.7,413.0,81.0,140.8,34.2,132.8,35.5,82.6,16.2,366.0,367.0,122.2,115.8,111.2,110.5,73.2,73.4
7,CHE,6,5.0,6.0,0.8,1.0,0.8,1.0,4.0,5.0,5,0,136,152,165.0,97.8,585.8,698.8,491.6,147.7,576,132,453,614,105.0,129.0,22.7,25.3,22.8,28.4,17.5,21.5,204.1,137.7,27.5,16.3,28.1,16.7,34.0,23.0,531.8,691.2,97.6,116.5,99.2,117.6,88.6,115.2,732.1,372.6,81.9,24.6,80.9,25.0,122.0,62.1,787.0,313.0,96.0,22.0,101.4,25.0,131.2,52.2,413.0,654.0,75.5,102.3,74.0,109.6,68.8,109.0
8,CRY,6,6.0,7.0,1.0,1.2,1.0,1.4,5.0,7.0,5,0,146,107,178.8,80.8,618.4,539.6,618.7,184.2,554,84,519,516,130.0,109.0,24.3,17.8,27.8,18.2,21.7,18.2,229.4,84.5,29.8,13.5,35.8,15.4,38.2,14.1,740.6,548.8,103.1,89.9,123.7,102.5,123.4,91.5,748.2,189.8,103.1,30.7,123.7,34.7,124.7,31.6,801.0,108.0,92.3,14.0,110.8,16.8,133.5,18.0,538.0,524.0,86.5,86.0,101.6,88.2,89.7,87.3
9,EVE,6,5.0,10.0,0.8,1.7,1.0,1.8,5.0,9.0,5,0,174,161,195.9,111.3,722.8,736.8,569.9,224.9,673,149,612,719,103.0,59.0,29.0,26.8,30.4,24.6,17.2,9.8,160.3,104.9,32.6,18.6,34.0,18.4,26.7,17.5,470.0,575.4,120.5,122.8,128.5,114.0,78.3,95.9,545.6,280.8,95.0,37.5,96.4,40.8,90.9,46.8,588.0,191.0,112.2,24.8,116.4,28.6,98.0,31.8,422.0,410.0,102.0,119.8,106.6,113.2,70.3,68.3
10,FUL,6,5.0,10.0,0.8,1.7,0.8,2.0,4.0,10.0,5,0,162,116,226.9,100.2,749.0,579.2,680.6,222.4,843,201,649,540,135.0,121.0,27.0,19.3,29.8,21.2,22.5,20.2,156.5,89.9,37.8,16.7,37.0,17.3,26.1,15.0,470.0,645.8,124.8,96.5,134.0,103.4,78.3,107.6,571.3,155.0,113.4,37.1,102.3,39.6,95.2,25.8,532.0,99.0,140.5,33.5,134.0,29.8,88.7,16.5,463.0,595.0,108.2,90.0,118.0,99.0,77.2,99.2
