team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,26,59.0,25.0,2.3,1.0,2.8,1.8,14.0,9.0,5,0,508.0,247.0,690.2,393.1,2414.8,2804.2,2041.2,633.1,2452.0,485.0,1843.0,1888.0,19.5,9.5,26.8,17.6,26.6,15.1,37.8,20.3,92.9,107.8,134.2,152.5,78.5,24.4,118.4,22.9,94.3,18.6,125.4,28.0,70.9,72.6,99.0,105.0,973.0,573.0,37.4,22.0,1458.8,420.7,56.1,16.2,4479.8,2440.2,172.3,93.8,4426.2,999.4,170.2,38.4,5688.0,766.0,218.8,29.5,3525.0,2682.0,135.6,103.2
2,AVL,25,31.0,38.0,1.2,1.5,2.0,2.8,8.0,11.0,4,0,646.0,393.0,858.9,359.4,2874.6,2328.4,2554.5,681.5,3184.0,581.0,2229.0,2080.0,25.8,15.7,44.2,10.5,34.4,14.4,52.3,12.6,115.0,93.1,211.2,96.6,102.2,27.3,156.1,15.2,127.4,23.2,157.8,14.5,89.2,83.2,166.2,78.0,553.0,391.0,22.1,15.6,717.0,348.9,28.7,14.0,2449.0,2236.0,98.0,89.4,2130.2,836.5,85.2,33.5,2593.0,419.0,103.7,16.8,1963.0,2023.0,78.5,80.9
3,BOU,25,24.0,51.0,1.0,2.0,1.2,2.2,5.0,9.0,4,0,725.0,597.0,1111.1,494.1,3360.4,2559.8,3630.8,1262.8,4126.0,1115.0,2698.0,2744.0,29.0,23.9,34.5,19.8,44.4,19.8,62.3,24.5,134.4,102.4,169.6,118.4,145.2,50.5,218.5,76.6,165.0,44.6,235.0,50.5,107.9,109.8,139.5,112.5,542.0,308.0,21.7,12.3,685.4,348.6,27.4,13.9,2607.4,2570.6,104.3,102.8,1944.1,572.3,77.8,22.9,2307.0,339.0,92.3,13.6,1937.0,1919.0,77.5,76.8
4,BRE,24,40.0,32.0,1.7,1.3,2.7,1.3,8.0,4.0,3,0,539.0,350.0,880.8,428.1,2601.8,2314.4,2809.6,1152.2,3411.0,809.0,2028.0,2041.0,22.5,14.6,24.0,8.7,36.7,17.8,27.8,15.3,108.4,96.4,101.1,94.5,117.1,48.0,90.8,31.1,142.1,33.7,86.3,27.0,84.5,85.0,88.3,76.0,637.0,472.0,26.5,19.7,769.0,385.4,32.0,16.1,2795.4,2597.6,116.5,108.2,2160.4,545.2,90.0,22.7,2742.0,698.0,114.2,29.1,2227.0,2227.0,92.8,92.8
5,BHA,23,43.0,29.0,1.9,1.3,3.0,1.0,6.0,2.0,2,0,522.0,297.0,636.6,324.3,2318.6,2174.8,1761.0,580.9,2297.0,483.0,1858.0,1759.0,22.7,12.9,32.5,32.5,27.7,14.1,33.8,31.6,100.8,94.6,127.5,246.7,76.6,25.3,107.4,37.9,99.9,21.0,103.5,30.5,80.8,76.5,99.5,166.0,620.0,388.0,27.0,16.9,909.9,313.5,39.6,13.6,2899.0,1864.2,126.0,81.0,2975.7,765.4,129.4,33.3,3227.0,501.0,140.3,21.8,2310.0,1912.0,100.4,83.1
6,CHE,25,24.0,25.0,1.0,1.0,0.5,1.0,2.0,4.0,4,0,578.0,537.0,800.8,418.5,2693.4,2687.0,2432.7,812.1,2900.0,678.0,1962.0,2437.0,23.1,21.5,24.8,34.0,32.0,16.7,30.6,18.8,107.7,107.5,117.4,128.6,97.3,32.5,92.6,29.6,116.0,27.1,95.5,30.0,78.5,97.5,85.8,139.2,491.0,496.0,19.6,19.8,756.0,445.3,30.2,17.8,2196.6,2766.2,87.9,110.6,2616.6,930.3,104.7,37.2,2760.0,743.0,110.4,29.7,1725.0,2508.0,69.0,100.3
7,CRY,25,21.0,32.0,0.8,1.3,0.8,1.2,3.0,5.0,4,0,666.0,542.0,962.0,460.6,2951.0,2638.2,3049.5,1139.7,3634.0,824.0,2345.0,2534.0,26.6,21.7,27.8,23.0,38.5,18.4,45.3,20.7,118.0,105.5,133.7,113.8,122.0,45.6,171.3,54.4,145.4,33.0,148.2,38.0,93.8,101.4,102.5,111.5,546.0,358.0,21.8,14.3,737.7,334.5,29.5,13.4,2513.8,2413.8,100.6,96.6,2448.0,413.9,97.9,16.6,2433.0,510.0,97.3,20.4,1898.0,1944.0,75.9,77.8
8,EVE,26,19.0,38.0,0.7,1.5,0.8,2.0,4.0,10.0,5,0,680.0,501.0,1011.6,435.8,2999.4,2412.2,3190.8,1159.8,3941.0,781.0,2348.0,2405.0,26.2,19.3,26.2,18.8,38.9,16.8,31.4,14.1,115.4,92.8,107.9,101.3,122.7,44.6,97.8,32.8,151.6,30.0,108.0,7.2,90.3,92.5,98.0,100.0,447.0,401.0,17.2,15.4,636.1,447.9,24.5,17.2,1970.0,2946.8,75.8,113.3,2227.1,714.0,85.7,27.5,2178.0,811.0,83.8,31.2,1660.0,2186.0,63.8,84.1
9,FUL,26,38.0,34.0,1.5,1.3,1.2,0.8,6.0,4.0,5,0,671.0,428.0,1006.1,432.5,3164.2,2526.0,2964.8,978.7,3949.0,824.0,2473.0,2325.0,25.8,16.5,24.0,18.4,38.7,16.6,31.7,17.8,121.7,97.2,101.4,105.7,114.0,37.6,116.3,38.6,151.9,31.7,100.8,33.2,95.1,89.4,85.2,104.0,662.0,437.0,25.5,16.8,891.0,380.0,34.3,14.6,2748.8,2764.2,105.7,106.3,2671.6,710.0,102.8,27.3,3499.0,315.0,134.6,12.1,2225.0,2317.0,85.6,89.1
10,LEI,25,36.0,43.0,1.4,1.7,2.0,2.0,8.0,8.0,4,0,724.0,445.0,968.0,377.6,3260.2,2204.0,2976.4,1012.0,3451.0,558.0,2621.0,2335.0,29.0,17.8,49.0,35.5,38.7,15.1,60.4,20.1,130.4,88.2,216.6,121.4,119.1,40.5,198.6,55.6,138.0,22.3,188.8,24.8,104.8,93.4,167.0,166.5,633.0,355.0,25.3,14.2,817.8,356.2,32.7,14.2,2995.0,2438.6,119.8,97.5,2499.3,712.4,100.0,28.5,2701.0,408.0,108.0,16.3,2400.0,2193.0,96.0,87.7
