team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,5,9.0,4.0,1.8,0.8,1.8,0.8,9.0,4.0,5,0,103,37,117.0,64.9,434.8,486.8,382.5,99.2,355,63,354,314,167.0,87.0,20.6,7.4,20.6,7.4,33.4,17.4,243.9,68.0,23.4,13.0,23.4,13.0,48.8,13.6,778.8,399.2,87.0,97.4,87.0,97.4,155.8,79.8,816.5,215.1,76.5,19.8,76.5,19.8,163.3,43.0,850.0,67.0,71.0,12.6,71.0,12.6,170.0,13.4,656.0,439.0,70.8,62.8,70.8,62.8,131.2,87.8
2,AVL,5,11.0,10.0,2.2,2.0,2.2,2.0,11.0,10.0,5,0,144,60,166.0,79.1,640.8,445.8,460.1,278.5,567,65,534,413,147.0,82.0,28.8,12.0,28.8,12.0,29.4,16.4,179.3,109.6,33.2,15.8,33.2,15.8,35.9,21.9,633.2,573.2,128.2,89.2,128.2,89.2,126.6,114.6,574.3,267.0,92.0,55.7,92.0,55.7,114.9,53.4,590.0,254.0,113.4,13.0,113.4,13.0,118.0,50.8,554.0,466.0,106.8,82.6,106.8,82.6,110.8,93.2
3,BOU,5,4.0,8.0,0.8,1.6,0.8,1.6,4.0,8.0,5,0,132,106,223.8,99.2,648.0,533.6,748.6,227.2,851,232,479,541,106.0,74.0,26.4,21.2,26.4,21.2,21.2,14.8,160.6,74.3,44.8,19.8,44.8,19.8,32.1,14.9,471.0,564.8,129.6,106.7,129.6,106.7,94.2,113.0,485.3,157.0,149.7,45.4,149.7,45.4,97.1,31.4,651.0,20.0,170.2,46.4,170.2,46.4,130.2,4.0,349.0,428.0,95.8,108.2,95.8,108.2,69.8,85.6
4,BRE,5,8.0,6.0,1.6,1.2,1.6,1.2,8.0,6.0,5,0,100,85,153.5,86.7,481.8,550.6,482.6,219.8,573,98,366,439,140.0,77.0,20.0,17.0,20.0,17.0,28.0,15.4,193.1,90.3,30.7,17.3,30.7,17.3,38.6,18.1,604.6,541.0,96.4,110.1,96.4,110.1,120.9,108.2,583.8,205.2,96.5,44.0,96.5,44.0,116.8,41.0,755.0,156.0,114.6,19.6,114.6,19.6,151.0,31.2,438.0,473.0,73.2,87.8,73.2,87.8,87.6,94.6
5,BHA,5,15.0,7.0,3.0,1.4,3.0,1.4,15.0,7.0,5,0,109,32,148.8,73.8,548.0,446.4,441.6,192.2,494,97,450,372,189.0,66.0,21.8,6.4,21.8,6.4,37.8,13.2,287.6,101.7,29.8,14.8,29.8,14.8,57.5,20.3,1002.8,576.2,109.6,89.3,109.6,89.3,200.6,115.2,935.2,250.4,88.3,38.4,88.3,38.4,187.0,50.1,936.0,191.0,98.8,19.4,98.8,19.4,187.2,38.2,718.0,428.0,90.0,74.4,90.0,74.4,143.6,85.6
6,BUR,4,4.0,12.0,1.0,3.0,1.0,3.0,4.0,12.0,4,0,139,92,188.4,77.6,668.2,474.8,620.0,136.4,597,165,530,439,80.0,23.0,34.8,23.0,34.8,23.0,20.0,5.8,103.4,59.1,47.1,19.4,47.1,19.4,25.8,14.8,380.0,414.6,167.0,118.7,167.0,118.7,95.0,103.6,373.4,99.9,155.0,34.1,155.0,34.1,93.4,25.0,292.0,75.0,149.2,41.2,149.2,41.2,73.0,18.8,288.0,295.0,132.5,109.8,132.5,109.8,72.0,73.8
7,CHE,5,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5,0,108,120,133.4,80.9,477.8,601.6,399.2,128.2,462,80,370,484,89.0,121.0,21.6,24.0,21.6,24.0,17.8,24.2,178.3,116.7,26.7,16.2,26.7,16.2,35.7,23.3,458.4,559.4,95.6,120.3,95.6,120.3,91.7,111.9,661.5,320.8,79.8,25.6,79.8,25.6,132.3,64.2,672.0,286.0,92.4,16.0,92.4,16.0,134.4,57.2,349.0,582.0,74.0,96.8,74.0,96.8,69.8,116.4
8,CRY,5,6.0,7.0,1.2,1.4,1.2,1.4,6.0,7.0,5,0,127,73,154.8,64.5,544.0,443.4,535.4,141.3,472,61,463,385,113.0,76.0,25.4,14.6,25.4,14.6,22.6,15.2,208.3,73.7,31.0,12.9,31.0,12.9,41.7,14.7,670.2,456.0,108.8,88.7,108.8,88.7,134.0,91.2,667.1,182.8,107.1,28.3,107.1,28.3,133.4,36.6,742.0,99.0,94.4,12.2,94.4,12.2,148.4,19.8,480.0,397.0,92.6,77.0,92.6,77.0,96.0,79.4
9,EVE,5,2.0,9.0,0.4,1.8,0.4,1.8,2.0,9.0,5,0,151,154,170.9,98.4,619.6,656.8,497.4,198.4,598,126,523,650,72.0,39.0,30.2,30.8,30.2,30.8,14.4,7.8,118.2,81.2,34.2,19.7,34.2,19.7,23.6,16.2,316.2,451.0,123.9,131.4,123.9,131.4,63.2,90.2,386.3,229.4,99.5,39.7,99.5,39.7,77.3,45.9,482.0,129.0,119.6,25.2,119.6,25.2,96.4,25.8,294.0,335.0,104.6,130.0,104.6,130.0,58.8,67.0
10,FUL,5,5.0,10.0,1.0,2.0,1.0,2.0,5.0,10.0,5,0,145,83,205.8,89.4,678.6,486.4,599.5,215.4,784,192,591,413,116.0,87.0,29.0,16.6,29.0,16.6,23.2,17.4,132.5,73.6,41.2,17.9,41.2,17.9,26.5,14.7,395.6,549.6,135.7,97.3,135.7,97.3,79.1,109.9,488.0,112.1,119.9,43.1,119.9,43.1,97.6,22.4,450.0,76.0,156.8,38.4,156.8,38.4,90.0,15.2,407.0,464.0,118.2,82.6,118.2,82.6,81.4,92.8
