team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,ARS,31,44.0,34.0,1.4,1.1,1.2,1.4,6.0,7.0,5,0,556.0,404.0,835.1,411.5,2724.4,2524.6,2462.5,951.9,3180.0,640.0,2114.0,2261.0,17.9,13.0,11.2,12.6,26.9,13.3,13.8,7.1,87.9,81.4,56.4,54.4,79.4,30.7,40.1,11.1,102.6,20.6,43.6,5.0,68.2,72.9,44.6,57.8
2,AVL,31,42.0,42.0,1.4,1.4,2.2,1.0,11.0,5.0,5,0,731.0,461.0,1082.1,543.5,3403.6,3211.8,3223.0,1181.6,4214.0,1044.0,2615.0,2659.0,23.6,14.9,23.8,15.2,34.9,17.5,34.8,20.5,109.8,103.6,99.0,119.9,104.0,38.1,106.9,49.7,135.9,33.7,143.4,35.6,84.4,85.8,84.8,102.2
3,BRE,31,37.0,48.0,1.2,1.6,2.0,1.2,10.0,6.0,5,0,718.0,531.0,1012.0,530.0,3334.4,2997.0,3418.6,1115.7,3367.0,1187.0,2676.0,2652.0,23.2,17.1,26.2,15.6,32.6,17.1,40.8,23.4,107.6,96.7,114.2,129.5,110.3,36.0,148.7,43.2,108.6,38.3,144.4,61.4,86.3,85.6,108.2,98.6
4,BHA,31,26.0,36.0,0.8,1.2,0.2,1.6,1.0,8.0,5,0,822.0,729.0,1119.9,578.7,3753.4,3410.2,3124.2,1205.6,4328.0,1170.0,2929.0,3213.0,26.5,23.5,41.8,48.8,36.1,18.7,48.1,31.9,121.1,110.0,179.6,183.1,100.8,38.9,110.5,70.6,139.6,37.7,190.6,65.2,94.5,103.6,149.2,181.6
5,BUR,31,25.0,42.0,0.8,1.4,0.8,2.6,4.0,13.0,5,0,843.0,668.0,1323.4,589.1,3755.8,3145.8,4159.2,1355.8,5334.0,1384.0,3126.0,3122.0,27.2,21.6,51.8,35.8,42.7,19.0,72.3,26.1,121.2,101.5,228.1,153.2,134.2,43.7,213.2,48.7,172.1,44.6,283.2,58.4,100.8,100.7,188.8,156.0
6,CHE,31,58.0,23.0,1.9,0.7,1.8,1.0,9.0,5.0,5,0,528.0,340.0,774.2,472.6,2429.6,2908.8,2315.8,964.0,3019.0,849.0,1929.0,2198.0,17.0,11.0,17.4,8.0,25.0,15.2,23.7,11.6,78.4,93.8,77.8,70.4,74.7,31.1,68.6,18.0,97.4,27.4,91.4,28.0,62.2,70.9,58.4,45.8
7,CRY,31,42.0,38.0,1.4,1.2,1.2,0.2,6.0,1.0,5,0,645.0,530.0,903.7,484.1,2877.2,2848.8,2634.7,1104.2,3552.0,889.0,2237.0,2551.0,20.8,17.1,6.0,7.6,29.2,15.6,14.2,6.1,92.8,91.9,22.8,28.7,85.0,35.6,60.5,20.1,114.6,28.7,61.0,12.0,72.2,82.3,18.0,38.0
8,EVE,31,32.0,52.0,1.0,1.7,0.8,2.4,4.0,12.0,5,0,724.0,647.0,1043.8,552.7,3545.4,3375.2,2999.2,1174.7,3901.0,973.0,2729.0,2963.0,23.4,20.9,31.0,32.8,33.7,17.8,39.2,22.4,114.4,108.9,135.4,143.1,96.8,37.9,112.5,42.4,125.8,31.4,144.8,37.6,88.0,95.6,105.6,136.2
9,LEI,31,43.0,47.0,1.4,1.5,1.2,0.8,6.0,4.0,5,0,753.0,467.0,1236.3,616.1,3783.8,3273.4,3811.8,1335.2,4779.0,1552.0,2905.0,2710.0,24.3,15.1,30.0,16.8,39.9,19.9,52.0,25.1,122.1,105.6,139.0,143.9,123.0,43.1,169.7,47.1,154.2,50.1,212.2,60.2,93.7,87.4,111.2,119.4
10,LEE,31,35.0,68.0,1.1,2.2,1.2,2.4,6.0,12.0,5,0,902.0,663.0,1272.6,604.6,4419.0,3506.2,3517.6,1333.9,4803.0,1203.0,3113.0,3001.0,29.1,21.4,42.8,40.4,41.0,19.5,55.6,29.8,142.6,113.1,210.1,172.8,113.5,43.0,145.8,59.3,154.9,38.8,202.2,66.4,100.4,96.8,157.2,163.8
11,LIV,31,77.0,20.0,2.5,0.6,1.4,0.0,7.0,0.0,5,0,471.0,209.0,687.6,407.6,2372.2,3045.8,1939.0,587.3,2561.0,440.0,1796.0,1871.0,15.2,6.7,5.6,3.0,22.2,13.2,9.7,4.8,76.5,98.2,25.3,40.0,62.6,19.0,28.1,7.5,82.6,14.2,43.8,0.4,57.9,60.4,18.2,22.0
12,MCI,31,70.0,18.0,2.3,0.6,1.4,0.2,7.0,1.0,5,0,507.0,306.0,610.4,414.5,2233.4,3174.0,1744.9,511.2,2144.0,451.0,1849.0,2217.0,16.4,9.9,10.0,10.2,19.7,13.4,12.2,7.9,72.0,102.4,48.5,65.9,56.3,16.5,30.4,5.7,69.2,14.6,42.6,7.0,59.6,71.5,34.0,52.4
13,MUN,31,49.0,41.0,1.6,1.3,1.0,1.4,5.0,7.0,5,0,724.0,480.0,1112.0,559.3,3640.8,3459.4,3327.7,1063.0,4154.0,1058.0,2787.0,2822.0,23.4,15.5,17.8,12.0,35.9,18.0,27.6,8.3,117.4,111.6,94.2,56.1,107.4,34.3,84.2,12.4,134.0,34.1,98.0,14.2,89.9,91.0,75.6,57.4
14,NEW,31,33.0,54.0,1.1,1.7,1.4,1.8,7.0,9.0,5,0,743.0,571.0,1164.7,592.7,3623.0,3298.0,3566.3,1426.0,4460.0,1206.0,2838.0,2737.0,24.0,18.4,24.6,26.2,37.6,19.1,35.5,24.1,116.9,106.4,114.3,133.4,115.0,46.0,130.1,37.4,143.9,38.9,111.2,70.8,91.6,88.3,90.2,112.8
15,NOR,31,18.0,63.0,0.6,2.0,0.6,2.0,3.0,10.0,5,0,904.0,813.0,1393.7,586.3,4294.2,3050.4,4197.2,1412.5,5469.0,1400.0,3368.0,3387.0,29.2,26.2,20.6,19.4,45.0,18.9,38.1,16.7,138.5,98.4,105.9,81.0,135.4,45.6,126.6,35.7,176.4,45.2,150.2,50.0,108.6,109.3,86.0,79.2
16,SOU,31,37.0,46.0,1.2,1.5,1.0,1.8,5.0,9.0,5,0,627.0,494.0,940.6,532.1,3027.6,3345.2,2666.8,1042.6,3707.0,928.0,2368.0,2556.0,20.2,15.9,13.4,5.4,30.3,17.2,19.9,8.7,97.7,107.9,66.2,73.3,86.0,33.6,54.3,5.9,119.6,29.9,78.4,7.4,76.4,82.4,55.4,43.0
17,TOT,31,52.0,37.0,1.7,1.2,4.2,1.0,21.0,5.0,5,0,621.0,464.0,1019.2,532.8,3108.2,3212.6,3094.6,1225.5,4009.0,882.0,2495.0,2790.0,20.0,15.0,22.6,6.6,32.9,17.2,36.2,20.7,100.3,103.6,109.6,130.4,99.8,39.5,125.8,44.8,129.3,28.4,129.4,31.6,80.5,90.0,98.8,98.0
18,WAT,31,29.0,57.0,0.9,1.8,0.8,2.0,4.0,10.0,5,0,893.0,702.0,1256.6,605.4,4126.2,3343.4,3817.8,1480.2,4638.0,1221.0,3342.0,3284.0,28.8,22.6,34.2,26.0,40.5,19.5,49.7,24.9,133.1,107.8,156.6,119.2,123.2,47.8,171.0,75.1,149.6,39.4,171.4,53.8,107.8,105.9,129.2,125.0
19,WHU,31,51.0,40.0,1.6,1.3,1.2,1.2,6.0,6.0,5,0,718.0,424.0,1132.1,545.8,3431.8,3130.2,3405.3,1404.7,4493.0,920.0,2872.0,2590.0,23.2,13.7,19.6,14.2,36.5,17.6,32.5,16.0,110.7,101.0,85.3,75.1,109.8,45.3,102.3,55.7,144.9,29.7,137.4,29.4,92.6,83.6,78.6,80.0
20,WOL,31,33.0,27.0,1.1,0.9,1.8,1.4,9.0,7.0,5,0,672.0,586.0,1129.4,496.8,3148.8,2814.6,3499.8,1155.1,4668.0,997.0,2528.0,2944.0,21.7,18.9,28.0,20.6,36.4,16.0,43.7,18.4,101.6,90.8,142.1,113.1,112.9,37.3,123.7,31.2,150.6,32.2,173.2,40.2,81.6,95.0,102.8,113.4
