team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,20.0,26.0,20.0,1.3,1.0,2.2,0.2,11.0,1.0,5.0,0,411.0,359.0,575.5,304.0,1671.6,1832.4,1889.5,703.5,2217.0,501.0,1552.0,1748.0,20.6,18.0,13.8,9.6,28.8,15.2,22.9,12.7,83.6,91.6,66.6,71.6,94.5,35.2,78.5,33.9,110.8,25.0,84.4,21.0,77.6,87.4,63.4,60.6
2,20.0,33.0,21.0,1.6,1.0,1.2,1.6,6.0,8.0,5.0,0,438.0,298.0,665.3,329.7,2093.8,2134.4,2064.4,579.5,2525.0,584.0,1649.0,1622.0,21.9,14.9,36.0,28.2,33.3,16.5,54.0,24.9,104.7,106.7,162.9,144.3,103.2,29.0,170.6,47.7,126.2,29.2,209.4,57.4,82.4,81.1,134.8,127.0
3,20.0,22.0,29.0,1.1,1.4,0.8,1.0,4.0,5.0,5.0,0,475.0,397.0,572.7,309.2,1982.8,2106.4,1739.2,495.9,2022.0,487.0,1710.0,1879.0,23.8,19.8,23.2,25.6,28.6,15.5,31.8,16.6,99.1,105.3,89.4,107.6,87.0,24.8,104.5,32.4,101.1,24.4,124.6,26.6,85.5,94.0,85.6,113.8
4,20.0,13.0,24.0,0.6,1.2,1.0,0.8,5.0,4.0,5.0,0,521.0,484.0,879.4,361.5,2459.0,1850.4,2774.1,969.1,3565.0,794.0,2057.0,2115.0,26.0,24.2,32.8,25.6,44.0,18.1,60.7,23.2,123.0,92.5,153.8,107.0,138.7,48.5,189.9,75.9,178.2,39.7,264.0,49.2,102.8,105.8,133.8,123.4
5,20.0,33.0,23.0,1.6,1.2,0.6,1.2,3.0,6.0,5.0,0,529.0,365.0,634.7,325.7,2258.0,2250.6,1944.2,514.4,2153.0,483.0,1862.0,1922.0,26.4,18.2,38.0,28.4,31.7,16.3,46.6,21.7,112.9,112.5,164.5,158.6,97.2,25.7,139.1,31.1,107.6,24.2,163.0,26.4,93.1,96.1,125.2,133.0
6,20.0,24.0,36.0,1.2,1.8,1.0,1.6,5.0,8.0,5.0,0,483.0,379.0,672.8,361.1,2336.8,1982.4,1942.7,999.0,2449.0,622.0,1848.0,1847.0,24.2,19.0,15.8,14.0,33.6,18.1,24.5,14.6,116.8,99.1,79.3,75.1,97.1,50.0,69.4,44.7,122.4,31.1,96.2,25.2,92.4,92.4,62.6,73.8
7,20.0,29.0,22.0,1.4,1.1,0.6,0.6,3.0,3.0,5.0,0,423.0,223.0,644.8,283.6,2106.0,1640.4,1903.2,709.8,2441.0,480.0,1652.0,1418.0,21.2,11.2,14.0,11.0,32.2,14.2,21.7,8.7,105.3,82.0,67.8,51.1,95.2,35.5,64.0,20.7,122.0,24.0,85.0,14.2,82.6,70.9,55.6,58.0
8,20.0,15.0,27.0,0.8,1.4,0.4,0.8,2.0,4.0,5.0,0,446.0,386.0,611.2,285.1,2128.0,1708.2,1586.3,666.8,2393.0,474.0,1654.0,1722.0,22.3,19.3,7.0,10.2,30.6,14.3,15.8,8.8,106.4,85.4,40.2,43.5,79.3,33.3,44.3,31.2,119.6,23.7,73.6,13.6,82.7,86.1,29.8,43.0
9,20.0,36.0,22.0,1.8,1.1,1.6,0.6,8.0,3.0,5.0,0,454.0,301.0,639.8,339.5,2087.8,1960.8,1997.7,786.1,2316.0,651.0,1583.0,1705.0,22.7,15.0,23.2,15.2,32.0,17.0,32.3,19.1,104.4,98.0,104.4,112.6,99.9,39.3,110.2,38.7,115.8,32.6,108.2,40.0,79.2,85.2,83.8,93.4
10,20.0,32.0,35.0,1.6,1.8,1.4,1.0,7.0,5.0,5.0,0,507.0,324.0,783.6,341.7,2514.4,2071.0,2358.9,568.6,2966.0,776.0,1848.0,1573.0,25.4,16.2,21.0,15.6,39.2,17.1,23.6,13.3,125.7,103.6,82.1,73.4,117.9,28.4,77.6,19.5,148.3,38.8,77.2,39.8,92.4,78.6,71.0,72.4
11,20.0,40.0,23.0,2.0,1.2,0.6,0.6,3.0,3.0,5.0,0,476.0,275.0,588.9,332.0,2327.4,2497.6,1554.5,497.2,2018.0,322.0,1805.0,1775.0,23.8,13.8,29.0,32.6,29.4,16.6,34.0,22.8,116.4,124.9,126.3,171.1,77.7,24.9,95.1,35.8,100.9,16.1,119.2,20.4,90.2,88.8,108.8,147.0
12,20.0,36.0,13.0,1.8,0.6,3.0,0.2,15.0,1.0,5.0,0,366.0,263.0,446.4,278.7,1587.0,2069.2,1391.0,357.0,1496.0,352.0,1410.0,1579.0,18.3,13.2,20.2,14.0,22.3,13.9,25.7,16.7,79.4,103.5,83.1,132.2,69.6,17.8,82.1,19.2,74.8,17.6,92.2,14.8,70.5,79.0,75.4,101.8
13,20.0,37.0,27.0,1.8,1.4,1.4,0.8,7.0,4.0,5.0,0,410.0,277.0,567.9,314.5,1960.8,1972.2,1653.0,591.1,2068.0,583.0,1565.0,1653.0,20.5,13.8,15.0,9.8,28.4,15.7,21.1,14.0,98.0,98.6,67.1,89.3,82.6,29.6,64.1,22.3,103.4,29.2,81.6,28.2,78.2,82.6,56.2,57.0
14,20.0,19.0,34.0,1.0,1.7,0.4,2.0,2.0,10.0,5.0,0,507.0,357.0,803.4,323.0,2463.8,1726.4,2540.4,792.6,3037.0,700.0,1938.0,1744.0,25.4,17.8,29.0,23.4,40.2,16.2,39.9,16.2,123.2,86.3,140.3,83.0,127.0,39.6,116.1,48.6,151.8,35.0,142.6,30.0,96.9,87.2,101.6,99.0
15,20.0,12.0,33.0,0.6,1.6,0.8,1.4,4.0,7.0,5.0,0,541.0,521.0,792.4,360.1,2443.0,2177.4,2584.6,752.7,2900.0,666.0,2036.0,2149.0,27.0,26.0,23.0,24.0,39.6,18.0,29.6,18.0,122.2,108.9,107.2,119.1,129.2,37.6,89.5,31.5,145.0,33.3,100.8,30.0,101.8,107.4,81.4,98.4
16,20.0,27.0,24.0,1.4,1.2,0.4,1.0,2.0,5.0,5.0,0,431.0,221.0,571.6,250.4,1993.6,1486.2,1557.8,576.2,2173.0,441.0,1519.0,1294.0,21.6,11.0,14.8,9.4,28.6,12.5,21.5,8.8,99.7,74.3,74.2,38.2,77.9,28.8,56.6,31.3,108.6,22.0,84.4,18.6,76.0,64.7,55.6,40.6
17,20.0,34.0,20.0,1.7,1.0,1.6,1.0,8.0,5.0,5.0,0,361.0,249.0,653.7,314.2,1726.8,1811.0,2105.2,771.3,2710.0,557.0,1508.0,1530.0,18.0,12.4,17.4,8.4,32.7,15.7,32.4,13.8,86.3,90.6,96.8,79.6,105.3,38.6,107.3,30.2,135.5,27.8,119.6,28.4,75.4,76.5,79.0,64.4
