team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1,0,22,7,19.1,13.7,86.2,86.8,53.1,11.7,52,39,64,75,32.0,10.0,22.0,7.0,22.0,7.0,32.0,10.0,51.7,10.5,19.1,13.7,19.1,13.7,51.7,10.5,181.6,67.2,86.2,86.8,86.2,86.8,181.6,67.2,191.3,25.2,53.1,11.7,53.1,11.7,191.3,25.2,145.0,13.0,52.0,39.0,52.0,39.0,145.0,13.0,152.0,54.0,64.0,75.0,64.0,75.0,152.0,54.0
2,AVL,1,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1,0,50,14,54.5,21.3,242.4,120.8,113.4,72.6,190,19,215,90,21.0,-1.0,50.0,14.0,50.0,14.0,21.0,-1.0,21.7,20.7,54.5,21.3,54.5,21.3,21.7,20.7,51.2,88.8,242.4,120.8,242.4,120.8,51.2,88.8,102.3,61.7,113.4,72.6,113.4,72.6,102.3,61.7,63.0,55.0,190.0,19.0,190.0,19.0,63.0,55.0,78.0,71.0,215.0,90.0,215.0,90.0,78.0,71.0
3,BOU,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,24,11,36.0,14.8,120.6,94.6,124.5,50.3,115,4,87,57,22.0,10.0,24.0,11.0,24.0,11.0,22.0,10.0,31.1,6.7,36.0,14.8,36.0,14.8,31.1,6.7,97.6,51.4,120.6,94.6,120.6,94.6,97.6,51.4,90.8,14.7,124.5,50.3,124.5,50.3,90.8,14.7,124.0,0.0,115.0,4.0,115.0,4.0,124.0,0.0,76.0,62.0,87.0,57.0,87.0,57.0,76.0,62.0
4,BRE,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0,19,18,39.7,22.5,110.0,123.8,155.6,51.2,132,50,83,90,27.0,11.0,19.0,18.0,19.0,18.0,27.0,11.0,30.1,20.2,39.7,22.5,39.7,22.5,30.1,20.2,122.6,116.8,110.0,123.8,110.0,123.8,122.6,116.8,41.6,66.4,155.6,51.2,155.6,51.2,41.6,66.4,139.0,18.0,132.0,50.0,132.0,50.0,139.0,18.0,77.0,94.0,83.0,90.0,83.0,90.0,77.0,94.0
5,BHA,1,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1,0,19,4,3.5,8.3,18.0,22.0,12.6,55.9,4,5,57,79,44.0,14.0,19.0,4.0,19.0,4.0,44.0,14.0,57.0,25.7,3.5,8.3,3.5,8.3,57.0,25.7,184.4,106.6,18.0,22.0,18.0,22.0,184.4,106.6,180.7,83.2,12.6,55.9,12.6,55.9,180.7,83.2,204.0,67.0,4.0,5.0,4.0,5.0,204.0,67.0,180.0,83.0,57.0,79.0,57.0,79.0,180.0,83.0
6,BUR,1,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1,0,43,32,57.1,12.4,191.6,71.8,207.5,23.6,173,29,166,137,12.0,7.0,43.0,32.0,43.0,32.0,12.0,7.0,0.0,0.0,57.1,12.4,57.1,12.4,0.0,0.0,0.0,0.0,191.6,71.8,191.6,71.8,0.0,0.0,0.0,0.0,207.5,23.6,207.5,23.6,0.0,0.0,0.0,0.0,173.0,29.0,173.0,29.0,0.0,0.0,33.0,80.0,166.0,137.0,166.0,137.0,33.0,80.0
7,CHE,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,22,10,24.6,14.1,89.8,110.6,87.0,22.8,69,7,83,66,10.0,27.0,22.0,10.0,22.0,10.0,10.0,27.0,17.5,23.2,24.6,14.1,24.6,14.1,17.5,23.2,56.0,103.2,89.8,110.6,89.8,110.6,56.0,103.2,83.9,88.0,87.0,22.8,87.0,22.8,83.9,88.0,35.0,41.0,69.0,7.0,69.0,7.0,35.0,41.0,51.0,116.0,83.0,66.0,83.0,66.0,51.0,116.0
8,CRY,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,7,16,0.0,3.8,0.0,27.2,0.0,10.9,0,0,11,75,25.0,36.0,7.0,16.0,7.0,16.0,25.0,36.0,54.4,19.0,0.0,3.8,0.0,3.8,54.4,19.0,130.4,100.8,0.0,27.2,0.0,27.2,130.4,100.8,220.4,42.4,0.0,10.9,0.0,10.9,220.4,42.4,192.0,48.0,0.0,0.0,0.0,0.0,192.0,48.0,95.0,132.0,11.0,75.0,11.0,75.0,95.0,132.0
9,EVE,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0,22,38,25.7,19.4,80.2,167.0,87.8,20.9,91,6,79,153,14.0,10.0,22.0,38.0,22.0,38.0,14.0,10.0,42.4,13.9,25.7,19.4,25.7,19.4,42.4,13.9,80.0,62.0,80.2,167.0,80.2,167.0,80.0,62.0,169.4,24.5,87.8,20.9,87.8,20.9,169.4,24.5,175.0,52.0,91.0,6.0,91.0,6.0,175.0,52.0,62.0,45.0,79.0,153.0,79.0,153.0,62.0,45.0
10,FUL,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,13,10,42.1,13.9,79.0,62.0,169.1,24.5,173,52,59,45,22.0,38.0,13.0,10.0,13.0,10.0,22.0,38.0,25.7,19.4,42.1,13.9,42.1,13.9,25.7,19.4,80.2,167.0,79.0,62.0,79.0,62.0,80.2,167.0,87.8,20.9,169.1,24.5,169.1,24.5,87.8,20.9,91.0,6.0,173.0,52.0,173.0,52.0,91.0,6.0,79.0,153.0,59.0,45.0,59.0,45.0,79.0,153.0
