team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,7,15.0,6.0,2.1,0.9,2.4,1.0,12.0,5.0,5,0,149,42,174.3,86.4,630.0,660.8,561.7,125.7,553,77,490,424,239.0,135.0,21.3,6.0,23.0,5.0,34.1,19.3,331.6,99.9,24.9,12.3,25.3,12.1,47.4,14.3,1074.8,617.6,90.0,94.4,97.2,100.1,153.5,88.2,1067.9,255.9,80.2,18.0,79.2,14.6,152.6,36.6,1180.0,126.0,79.0,11.0,76.6,6.0,168.6,18.0,877.0,656.0,70.0,60.6,73.4,57.4,125.3,93.7
2,AVL,7,18.0,11.0,2.6,1.6,2.6,1.2,13.0,6.0,5,0,179,62,223.2,115.8,809.0,692.8,655.9,351.4,777,113,656,553,229.0,126.0,25.6,8.9,23.4,10.0,32.7,18.0,271.3,139.6,31.9,16.5,30.1,16.6,38.8,19.9,1012.6,761.2,115.6,99.0,105.0,102.6,144.7,108.7,795.9,314.7,93.7,50.2,94.6,47.4,113.7,45.0,906.0,318.0,111.0,16.1,102.8,16.2,129.4,45.4,835.0,657.0,93.7,79.0,80.0,80.6,119.3,93.9
3,BOU,7,5.0,15.0,0.7,2.1,0.6,2.2,3.0,11.0,5,0,216,158,316.8,135.4,990.6,778.4,1023.0,274.2,1165,302,757,762,142.0,79.0,30.9,22.6,32.2,27.0,20.3,11.3,209.2,97.3,45.3,19.3,44.9,18.6,29.9,13.9,617.2,723.6,141.5,111.2,142.4,115.1,88.2,103.4,643.3,207.1,146.1,39.2,148.1,24.7,91.9,29.6,832.0,40.0,166.4,43.1,160.4,46.6,118.9,5.7,472.0,531.0,108.1,108.9,110.0,122.4,67.4,75.9
4,BRE,7,10.0,10.0,1.4,1.4,1.0,1.6,5.0,8.0,5,0,153,116,218.5,126.1,748.4,794.4,722.5,295.9,716,174,588,581,189.0,94.0,21.9,16.6,24.0,18.8,27.0,13.4,259.4,116.6,31.2,18.0,31.6,18.8,37.1,16.7,816.4,677.8,106.9,113.5,117.8,119.2,116.6,96.8,837.1,265.5,103.2,42.3,95.2,46.4,119.6,37.9,953.0,221.0,102.3,24.9,102.8,23.2,136.1,31.6,627.0,598.0,84.0,83.0,90.0,85.4,89.6,85.4
5,BHA,7,19.0,14.0,2.7,2.0,2.2,2.4,11.0,12.0,5,0,185,46,238.2,98.4,923.6,614.2,651.2,248.8,801,117,730,478,242.0,73.0,26.4,6.6,30.0,8.2,34.6,10.4,358.6,133.4,34.0,14.1,38.6,14.8,51.2,19.1,1244.6,803.8,131.9,87.7,156.4,101.8,177.8,114.8,1198.7,291.8,93.0,35.5,98.9,33.4,171.2,41.7,1143.0,239.0,114.4,16.7,129.8,11.8,163.3,34.1,890.0,570.0,104.3,68.3,119.0,66.2,127.1,81.4
6,BUR,7,6.0,16.0,0.9,2.3,1.0,2.2,6.0,13.0,6,0,197,167,266.1,113.9,943.4,662.0,852.6,273.3,866,204,732,721,143.0,51.0,28.1,23.9,25.7,22.5,20.4,7.3,194.5,99.4,38.0,16.3,34.8,16.9,27.8,14.2,653.4,724.2,134.8,94.6,125.3,98.4,93.3,103.5,702.1,160.3,121.8,39.0,107.5,41.6,100.3,22.9,604.0,109.0,123.7,29.1,115.5,29.2,86.3,15.6,538.0,508.0,104.6,103.0,94.3,97.3,76.9,72.6
7,CHE,7,7.0,6.0,1.0,0.9,1.0,0.4,5.0,2.0,5,0,149,157,191.8,109.5,631.4,772.4,623.8,170.8,667,152,487,682,135.0,167.0,21.3,22.4,19.0,24.6,19.3,23.9,234.7,151.2,27.4,15.6,25.7,15.6,33.5,21.6,660.8,805.4,90.2,110.3,75.2,107.7,94.4,115.1,807.3,386.4,89.1,24.4,87.4,26.7,115.3,55.2,891.0,319.0,95.3,21.7,94.8,21.6,127.3,45.6,521.0,799.0,69.6,97.4,58.2,107.2,74.4,114.1
8,CRY,7,7.0,7.0,1.0,1.0,1.2,1.2,6.0,6.0,5,0,161,116,223.2,94.3,728.2,604.8,796.7,237.2,710,99,594,588,150.0,152.0,23.0,16.6,24.6,14.6,21.4,21.7,246.3,105.6,31.9,13.5,37.5,16.2,35.2,15.1,818.8,711.4,104.0,86.4,125.6,99.2,117.0,101.6,816.6,204.8,113.8,33.9,132.0,42.6,116.7,29.3,824.0,141.0,101.4,14.1,117.4,19.8,117.7,20.1,590.0,655.0,84.9,84.0,96.2,82.0,84.3,93.6
9,EVE,7,6.0,12.0,0.9,1.7,1.2,1.4,6.0,7.0,5,0,207,195,236.5,170.0,857.2,1023.2,684.5,441.8,828,232,722,897,123.0,66.0,29.6,27.9,26.8,24.0,17.6,9.4,210.4,123.1,33.8,24.3,30.6,26.6,30.1,17.6,572.6,665.4,122.5,146.2,106.4,147.2,81.8,95.1,734.2,364.1,97.8,63.1,92.5,74.6,104.9,52.0,802.0,199.0,118.3,33.1,107.2,43.8,114.6,28.4,509.0,481.0,103.1,128.1,93.4,119.2,72.7,68.7
10,FUL,7,5.0,12.0,0.7,1.7,0.8,1.8,4.0,9.0,5,0,192,154,257.5,113.7,878.0,693.4,755.8,236.2,947,207,757,685,148.0,126.0,27.4,22.0,27.4,22.0,21.1,18.0,183.3,101.6,36.8,16.2,33.9,16.1,26.2,14.5,515.6,719.4,125.4,99.1,127.4,101.5,73.7,102.8,703.5,178.1,108.0,33.7,96.4,35.2,100.5,25.4,623.0,119.0,135.3,29.6,115.8,24.6,89.0,17.0,497.0,663.0,108.1,97.9,113.4,100.0,71.0,94.7
