team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,29.0,40.0,36.0,1.4,1.2,1.6,0.4,8.0,2.0,5.0,0,638.0,393.0,1089.9,483.6,3355.2,2617.2,3341.2,1141.4,4217.0,1072.0,2457.0,2228.0,22.0,13.6,11.6,10.4,37.6,16.7,28.2,12.0,115.7,90.2,67.8,64.2,115.2,39.4,110.3,26.4,145.4,37.0,103.8,28.8,84.7,76.8,47.4,64.2
2,29.0,34.0,56.0,1.2,1.9,0.6,2.2,3.0,11.0,5.0,0,775.0,463.0,1386.7,546.5,4031.4,2872.8,4180.3,1356.5,5679.0,1248.0,3071.0,2392.0,26.7,16.0,28.0,17.2,47.8,18.8,45.6,12.8,139.0,99.1,147.1,81.6,144.2,46.8,129.5,26.5,195.8,43.0,180.4,19.8,105.9,82.5,102.0,77.0
3,29.0,29.0,47.0,1.0,1.6,1.2,2.0,6.0,10.0,5.0,0,787.0,556.0,1266.3,539.8,3936.6,2911.6,3806.6,1349.6,4939.0,1132.0,3083.0,2698.0,27.1,19.2,25.4,19.2,43.7,18.6,41.3,28.2,135.7,100.4,127.0,124.7,131.3,46.5,121.5,85.5,170.3,39.0,166.8,71.8,106.3,93.0,101.6,98.4
4,29.0,32.0,40.0,1.1,1.4,1.0,1.2,5.0,6.0,5.0,0,691.0,553.0,1059.9,460.6,3338.8,3026.2,3002.8,931.6,4266.0,644.0,2568.0,2686.0,23.8,19.1,21.2,22.4,36.6,15.9,32.4,17.0,115.1,104.4,106.5,105.9,103.5,32.1,94.7,32.9,147.1,22.2,122.0,31.2,88.6,92.6,74.2,98.4
5,29.0,34.0,40.0,1.2,1.4,1.2,0.4,6.0,2.0,5.0,0,721.0,535.0,1085.2,498.5,3391.6,2775.4,3365.6,1271.3,4104.0,931.0,2756.0,2718.0,24.9,18.4,15.6,17.8,37.4,17.2,29.7,17.7,117.0,95.7,76.3,95.1,116.1,43.8,104.9,39.9,141.5,32.1,115.4,41.4,95.0,93.7,62.4,87.6
6,29.0,51.0,39.0,1.8,1.3,2.0,1.4,10.0,7.0,5.0,0,627.0,449.0,821.4,501.9,3115.2,3602.2,2276.8,759.6,2845.0,649.0,2385.0,2597.0,21.6,15.5,20.2,15.8,28.3,17.3,26.1,18.8,107.4,124.2,98.6,134.8,78.5,26.2,85.6,27.1,98.1,22.4,77.0,25.6,82.2,89.6,78.8,99.0
7,29.0,26.0,32.0,0.9,1.1,0.8,0.8,4.0,4.0,5.0,0,630.0,550.0,1077.2,525.7,3120.0,2847.6,3407.0,1279.3,4247.0,1127.0,2430.0,2545.0,21.7,19.0,18.2,16.6,37.1,18.1,32.4,19.4,107.6,98.2,92.7,102.7,117.5,44.1,95.6,48.4,146.4,38.9,135.0,41.8,83.8,87.8,72.2,78.4
8,29.0,37.0,46.0,1.3,1.6,1.8,2.2,9.0,11.0,5.0,0,742.0,483.0,967.3,498.8,3501.0,3234.0,2715.0,971.6,3458.0,778.0,2811.0,2500.0,25.6,16.7,32.6,13.0,33.4,17.2,41.6,12.7,120.7,111.5,166.8,87.6,93.6,33.5,113.6,21.0,119.2,26.8,136.4,18.2,96.9,86.2,126.8,74.6
9,29.0,58.0,28.0,2.0,1.0,1.2,0.8,6.0,4.0,5.0,0,586.0,397.0,897.0,506.6,2880.4,3168.6,2793.3,1068.7,3316.0,826.0,2271.0,2504.0,20.2,13.7,19.0,25.6,30.9,17.5,30.9,17.2,99.3,109.3,86.6,116.6,96.3,36.8,108.4,20.9,114.3,28.5,114.4,34.0,78.3,86.3,70.6,109.6
10,29.0,66.0,21.0,2.3,0.7,2.0,1.2,10.0,6.0,5.0,0,499.0,246.0,706.3,454.5,2426.6,3139.2,2178.1,835.8,2475.0,564.0,1941.0,2159.0,17.2,8.5,23.8,12.2,24.4,15.7,34.4,15.1,83.7,108.2,123.0,118.4,75.1,28.8,95.9,17.4,85.3,19.4,124.6,14.8,66.9,74.4,90.6,78.6
