team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,22,45.0,17.0,2.0,0.8,1.8,1.0,9.0,5.0,5,0,394.0,198.0,532.5,308.7,1835.0,2156.2,1591.1,535.4,1904.0,387.0,1405.0,1483.0,17.9,9.0,22.8,20.6,24.2,14.0,32.9,21.0,83.4,98.0,117.1,134.4,72.3,24.3,102.2,41.4,86.6,17.6,109.6,34.2,63.9,67.4,81.2,110.0,774.0,458.0,35.2,20.8,1175.8,309.5,53.4,14.1,3596.6,1892.0,163.5,86.0,3417.7,640.7,155.4,29.1,4744.0,561.0,215.6,25.5,2801.0,2096.0,127.3,95.3
2,AVL,22,25.0,31.0,1.1,1.4,1.6,1.2,8.0,6.0,5,0,518.0,355.0,697.4,321.2,2280.0,2057.4,2030.8,625.6,2680.0,525.0,1755.0,1846.0,23.6,16.1,24.0,7.6,31.7,14.6,31.6,14.9,103.6,93.5,118.8,103.4,92.3,28.4,106.0,18.9,121.8,23.9,93.2,26.6,79.8,83.9,86.0,65.6,453.0,305.0,20.6,13.9,616.3,298.3,28.0,13.6,2019.2,1873.0,91.8,85.1,1849.4,730.8,84.1,33.2,2296.0,380.0,104.4,17.3,1604.0,1633.0,72.9,74.2
3,BOU,22,19.0,43.0,0.9,2.0,0.2,1.8,1.0,9.0,5,0,614.0,550.0,909.1,407.0,2799.8,2162.6,2923.8,981.7,3376.0,922.0,2216.0,2417.0,27.9,25.0,33.8,28.6,41.3,18.5,43.8,14.4,127.3,98.3,147.8,90.0,132.9,44.6,134.0,30.4,153.4,41.9,158.0,24.0,100.7,109.9,107.0,114.2,458.0,245.0,20.8,11.1,581.5,276.4,26.4,12.6,2200.6,2001.0,100.0,91.0,1609.3,519.2,73.2,23.6,2009.0,239.0,91.3,10.9,1638.0,1553.0,74.4,70.6
4,BRE,22,35.0,28.0,1.6,1.3,2.0,0.2,10.0,1.0,5,0,481.0,328.0,822.3,399.0,2371.0,2124.6,2638.8,1103.9,3227.0,757.0,1829.0,1877.0,21.9,14.9,15.2,10.8,37.4,18.1,29.0,18.7,107.8,96.6,73.6,88.0,120.0,50.2,111.9,51.2,146.7,34.4,104.8,47.8,83.1,85.3,66.0,77.6,552.0,429.0,25.1,19.5,667.8,338.4,30.4,15.4,2438.4,2269.8,110.8,103.2,1810.6,516.2,82.3,23.5,2433.0,586.0,110.6,26.6,1944.0,2011.0,88.4,91.4
5,BHA,22,38.0,27.0,1.7,1.2,2.4,1.4,12.0,7.0,5,0,474.0,243.0,593.0,277.4,2135.6,1793.2,1633.4,540.8,2170.0,436.0,1723.0,1488.0,21.6,11.0,23.4,6.4,27.0,12.6,29.0,14.7,97.1,81.5,103.8,96.6,74.2,24.6,78.3,27.6,98.6,19.8,108.6,22.6,78.3,67.6,84.0,65.6,535.0,313.0,24.3,14.2,763.4,252.7,34.7,11.5,2456.6,1574.8,111.7,71.6,2483.4,561.5,112.9,25.5,2696.0,388.0,122.6,17.6,1960.0,1593.0,89.1,72.4
6,CHE,22,22.0,21.0,1.0,1.0,0.6,0.8,3.0,4.0,5,0,496.0,436.0,700.8,355.3,2285.2,2269.0,2133.5,713.9,2610.0,562.0,1672.0,2014.0,22.6,19.8,33.2,37.0,31.8,16.2,45.0,23.7,103.9,103.1,146.9,165.7,97.0,32.4,145.0,37.2,118.6,25.6,159.8,32.8,76.0,91.6,105.8,150.4,418.0,425.0,19.0,19.3,643.5,380.2,29.2,17.3,1859.8,2365.6,84.5,107.5,2162.1,767.3,98.3,34.9,2416.0,658.0,109.8,29.9,1467.0,2110.0,66.7,95.9
7,CRY,22,19.0,29.0,0.9,1.3,0.8,1.6,4.0,8.0,5,0,604.0,475.0,865.2,411.7,2680.6,2361.2,2673.5,1004.8,3312.0,747.0,2109.0,2262.0,27.4,21.6,40.8,33.8,39.3,18.7,58.5,29.0,121.8,107.3,201.4,174.0,121.5,45.7,182.6,70.0,150.6,34.0,201.0,44.8,95.9,102.8,137.2,160.8,476.0,286.0,21.6,13.0,666.9,281.7,30.3,12.8,2227.0,2029.0,101.2,92.2,2168.3,368.6,98.6,16.8,2281.0,413.0,103.7,18.8,1659.0,1620.0,75.4,73.6
8,EVE,22,16.0,28.0,0.7,1.3,0.8,1.8,4.0,9.0,5,0,562.0,418.0,888.0,378.8,2521.4,1997.6,2847.8,1035.0,3527.0,749.0,1942.0,1981.0,25.6,19.0,31.0,18.2,40.4,17.2,44.5,13.6,114.6,90.8,138.5,89.1,129.4,47.0,152.4,29.8,160.3,34.0,155.0,16.8,88.3,90.0,113.2,91.8,360.0,344.0,16.4,15.6,495.0,370.0,22.5,16.8,1565.6,2449.0,71.2,111.3,1703.0,586.9,77.4,26.7,1694.0,657.0,77.0,29.9,1353.0,1813.0,61.5,82.4
9,FUL,22,32.0,30.0,1.4,1.4,1.0,0.8,5.0,4.0,5,0,566.0,367.0,869.4,361.0,2723.0,2105.8,2471.3,829.1,3513.0,681.0,2094.0,1933.0,25.7,16.7,26.4,30.2,39.5,16.4,40.6,20.6,123.8,95.7,116.5,126.0,112.3,37.7,137.3,51.1,159.7,31.0,153.6,28.6,95.2,87.9,102.0,135.2,556.0,345.0,25.3,15.7,780.7,319.2,35.5,14.5,2339.6,2336.4,106.4,106.2,2345.7,555.8,106.6,25.3,3130.0,291.0,142.3,13.2,1888.0,1888.0,85.8,85.8
10,LEI,22,32.0,37.0,1.4,1.7,1.4,1.8,7.0,9.0,5,0,554.0,305.0,763.4,308.9,2478.2,1778.8,2344.5,822.0,2818.0,488.0,2045.0,1731.0,25.2,13.9,20.4,13.4,34.7,14.0,29.6,12.4,112.6,80.8,90.0,66.0,106.6,37.4,106.3,41.7,128.1,22.2,101.0,17.8,93.0,78.7,78.2,71.6,549.0,304.0,25.0,13.8,703.7,295.9,32.0,13.4,2586.0,2024.2,117.6,92.0,2095.1,574.1,95.2,26.1,2363.0,358.0,107.4,16.3,2063.0,1888.0,93.8,85.8
11,LEE,22,28.0,36.0,1.3,1.6,1.0,1.4,5.0,7.0,5,0,563.0,350.0,730.4,310.7,2670.2,1905.2,2026.8,685.3,2621.0,513.0,1948.0,1690.0,25.6,15.9,23.0,24.4,33.2,14.1,22.0,15.0,121.4,86.6,94.7,92.2,92.1,31.2,63.3,34.8,119.1,23.3,64.8,22.8,88.6,76.8,61.6,97.6,494.0,279.0,22.4,12.7,727.8,331.3,33.1,15.1,2338.6,2104.6,106.3,95.7,2386.8,513.3,108.5,23.3,2577.0,690.0,117.1,31.4,1693.0,1669.0,77.0,75.9
12,LIV,22,34.0,28.0,1.6,1.3,0.6,2.0,3.0,10.0,5,0,513.0,280.0,678.9,338.8,2487.2,2336.4,1810.5,594.7,2493.0,450.0,1857.0,1744.0,23.3,12.7,30.2,24.2,30.9,15.4,34.5,17.9,113.0,106.2,127.5,118.7,82.3,27.0,105.3,27.7,113.3,20.4,112.6,32.2,84.4,79.3,101.4,107.2,506.0,354.0,23.0,16.1,858.6,439.8,39.0,20.0,2425.6,2191.4,110.2,99.6,2409.2,1454.6,109.5,66.1,3761.0,752.0,171.0,34.2,1892.0,1956.0,86.0,88.9
