team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,12,24.0,10.0,2.0,0.8,2.0,0.6,10.0,3.0,5,0,200.0,66.0,270.5,138.8,931.8,1004.2,785.9,253.1,989.0,125.0,707.0,656.0,16.7,5.5,14.8,6.2,22.5,11.6,21.1,10.9,77.6,83.7,66.7,73.1,65.5,21.1,60.0,20.8,82.4,10.4,84.8,14.2,58.9,54.7,53.4,54.6,332.0,228.0,27.7,19.0,507.9,157.2,42.3,13.1,1524.6,989.6,127.0,82.5,1437.6,276.5,119.8,23.0,2121.0,308.0,176.8,25.7,1232.0,1044.0,102.7,87.0
2,AVL,12,7.0,16.0,0.6,1.3,0.4,1.2,2.0,6.0,5,0,271.0,239.0,359.3,167.3,1147.2,1081.2,986.9,312.5,1465.0,276.0,895.0,1088.0,22.6,19.9,23.4,23.0,29.9,13.9,28.1,12.2,95.6,90.1,91.7,99.7,82.2,26.0,80.3,16.3,122.1,23.0,110.4,5.2,74.6,90.7,69.8,100.0,213.0,142.0,17.8,11.8,352.7,168.1,29.4,14.0,997.8,1007.0,83.2,83.9,1027.8,484.4,85.6,40.4,1502.0,186.0,125.2,15.5,795.0,824.0,66.2,68.7
3,BOU,12,10.0,23.0,0.8,1.9,1.0,1.0,5.0,5.0,5,0,306.0,287.0,475.9,209.0,1414.8,1106.2,1507.1,537.5,1834.0,446.0,1160.0,1275.0,25.5,23.9,20.0,21.8,39.7,17.4,37.2,18.8,117.9,92.2,95.2,101.4,125.6,44.8,117.9,44.5,152.8,37.2,158.2,41.4,96.7,106.2,85.0,108.0,244.0,153.0,20.3,12.8,279.5,149.5,23.3,12.5,1066.4,1080.4,88.9,90.0,775.8,286.9,64.6,23.9,956.0,122.0,79.7,10.2,864.0,899.0,72.0,74.9
4,BRE,12,18.0,17.0,1.5,1.4,0.6,1.6,3.0,8.0,5,0,272.0,197.0,450.0,198.0,1324.4,1149.6,1433.5,539.1,1748.0,287.0,1013.0,1052.0,22.7,16.4,27.2,26.6,37.5,16.5,43.3,17.0,110.4,95.8,119.1,99.2,119.5,44.9,146.5,44.1,145.7,23.9,167.6,26.4,84.4,87.7,96.0,111.4,292.0,208.0,24.3,17.3,365.4,157.9,30.4,13.2,1286.4,1066.0,107.2,88.8,1017.3,220.2,84.8,18.4,1352.0,285.0,112.7,23.8,1057.0,1005.0,88.1,83.8
5,BHA,12,14.0,11.0,1.2,0.9,0.6,1.2,3.0,6.0,5,0,219.0,184.0,268.5,147.1,970.8,919.2,767.3,284.7,953.0,266.0,789.0,892.0,18.2,15.3,20.4,24.4,22.4,12.3,21.5,11.3,80.9,76.6,88.7,83.0,63.9,23.7,57.2,13.5,79.4,22.2,69.0,17.0,65.8,74.3,70.4,96.0,292.0,163.0,24.3,13.6,468.1,116.7,39.0,9.7,1337.8,714.4,111.5,59.5,1548.2,254.3,129.0,21.2,1791.0,195.0,149.2,16.2,1050.0,790.0,87.5,65.8
6,CHE,12,15.0,10.0,1.2,0.8,1.4,0.2,7.0,1.0,5,0,215.0,141.0,306.9,157.2,1058.4,960.0,834.2,352.4,1176.0,256.0,764.0,793.0,17.9,11.8,12.8,11.6,25.6,13.1,23.1,10.2,88.2,80.0,60.3,67.0,69.5,29.4,70.6,28.2,98.0,21.3,99.8,6.6,63.7,66.1,45.4,66.6,240.0,234.0,20.0,19.5,361.6,226.8,30.1,18.9,1099.2,1295.8,91.6,108.0,1149.5,556.4,95.8,46.4,1361.0,411.0,113.4,34.2,858.0,1171.0,71.5,97.6
7,CRY,12,12.0,13.0,1.0,1.1,1.0,0.8,5.0,4.0,5,0,244.0,186.0,393.6,194.4,1083.2,1064.8,1241.3,503.4,1625.0,375.0,887.0,942.0,20.3,15.5,16.8,12.8,32.8,16.2,27.1,12.2,90.3,88.7,69.8,81.4,103.4,42.0,92.3,22.4,135.4,31.2,109.6,17.4,73.9,78.5,55.4,66.2,239.0,135.0,19.9,11.2,336.7,136.6,28.1,11.4,1164.8,1009.8,97.1,84.2,1044.7,202.4,87.1,16.9,1153.0,147.0,96.1,12.2,874.0,776.0,72.8,64.7
8,EVE,12,8.0,12.0,0.7,1.0,0.8,1.2,4.0,6.0,5,0,271.0,213.0,446.1,231.5,1234.8,1065.0,1404.7,699.4,1829.0,548.0,940.0,1024.0,22.6,17.8,25.2,20.2,37.2,19.3,41.0,20.9,102.9,88.8,115.4,82.0,117.1,58.3,131.5,63.1,152.4,45.7,163.2,64.0,78.3,85.3,93.0,91.2,197.0,177.0,16.4,14.8,298.3,202.7,24.9,16.9,892.4,1358.6,74.4,113.2,898.4,325.5,74.9,27.1,1202.0,338.0,100.2,28.2,708.0,951.0,59.0,79.2
9,FUL,12,19.0,20.0,1.6,1.7,2.0,2.2,10.0,11.0,5,0,305.0,156.0,479.2,178.7,1513.8,965.4,1232.8,425.3,2051.0,398.0,1091.0,874.0,25.4,13.0,30.8,11.6,39.9,14.9,45.9,16.1,126.2,80.4,160.0,82.0,102.7,35.4,103.7,51.3,170.9,33.2,195.2,27.8,90.9,72.8,110.6,75.6,278.0,140.0,23.2,11.7,405.2,155.1,33.8,12.9,1236.8,1195.8,103.1,99.6,1181.6,240.8,98.5,20.1,1632.0,110.0,136.0,9.2,986.0,870.0,82.2,72.5
10,LEI,12,17.0,24.0,1.4,2.0,1.8,1.6,9.0,8.0,5,0,338.0,143.0,412.9,155.8,1580.0,975.4,1129.3,311.4,1418.0,268.0,1236.0,878.0,28.2,11.9,26.6,12.0,34.4,13.0,32.6,16.6,131.7,81.3,118.3,104.3,94.1,26.0,91.6,28.0,118.2,22.3,115.8,33.0,103.0,73.2,90.8,82.8,273.0,150.0,22.8,12.5,365.1,153.1,30.4,12.8,1318.4,979.8,109.9,81.6,1102.5,338.6,91.9,28.2,1239.0,212.0,103.2,17.7,1070.0,952.0,89.2,79.3
