team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,ARS,7,5,10,0.7,1.4,1.0,1.2,5,6,5,0,178.0,182.0,293.8,147.4,828.8,727.4,920.3,466.4,1198.0,280.0,669.0,793.0,25.4,26.0,24.0,18.8,42.0,21.1,42.9,19.7,118.4,103.9,120.0,92.8,131.5,66.6,145.2,64.6,171.1,40.0,166.0,39.8,95.6,113.3,97.2,93.6
2,AVL,7,10,9,1.4,1.3,1.2,1.2,6,6,5,0,159.0,89.0,260.5,107.8,766.4,666.0,795.8,293.9,1046.0,120.0,587.0,539.0,22.7,12.7,22.0,16.0,37.2,15.4,39.1,17.6,109.5,95.1,103.4,115.6,113.7,42.0,123.6,39.7,149.4,17.1,163.8,21.0,83.9,77.0,82.6,88.4
3,BRE,7,10,6,1.4,0.9,1.6,1.2,8,6,5,0,145.0,103.0,220.9,107.8,681.2,543.2,800.1,319.4,733.0,222.0,515.0,575.0,20.7,14.7,23.8,11.8,31.6,15.4,33.6,14.3,97.3,77.6,113.3,74.5,114.3,45.6,111.1,38.5,104.7,31.7,111.6,30.8,73.6,82.1,84.2,74.2
4,BHA,7,8,5,1.1,0.7,0.8,0.8,4,4,5,0,144.0,110.0,211.4,88.4,607.0,608.8,738.6,170.3,768.0,103.0,525.0,566.0,20.6,15.7,22.2,18.8,30.2,12.6,31.3,11.3,86.7,87.0,93.0,79.4,105.5,24.3,102.2,24.6,109.7,14.7,117.4,9.2,75.0,80.9,80.0,87.8
5,BUR,7,5,11,0.7,1.6,0.8,1.4,4,7,5,0,198.0,159.0,308.2,147.9,916.4,832.4,917.9,328.1,1247.0,319.0,752.0,760.0,28.3,22.7,26.8,21.4,44.0,21.1,41.6,17.3,130.9,118.9,124.6,114.8,131.1,46.9,124.8,28.7,178.1,45.6,167.0,29.2,107.4,108.6,103.8,103.2
6,CHE,7,15,3,2.1,0.4,2.0,0.6,10,3,5,0,112.0,81.0,201.7,131.6,527.6,733.2,642.6,333.9,847.0,246.0,452.0,589.0,16.0,11.6,17.6,13.8,28.8,18.8,33.1,20.7,75.4,104.7,84.2,104.3,91.8,47.7,101.5,56.6,121.0,35.1,145.2,46.0,64.6,84.1,70.0,87.6
7,CRY,7,8,11,1.1,1.6,1.6,1.6,8,8,5,0,170.0,148.0,239.8,122.2,814.2,744.0,602.8,283.4,977.0,196.0,622.0,694.0,24.3,21.1,25.0,12.0,34.3,17.5,36.4,16.7,116.3,106.3,130.5,104.6,86.1,40.5,82.5,37.6,139.6,28.0,150.6,24.8,88.9,99.1,96.2,77.6
8,EVE,7,13,8,1.9,1.1,1.6,1.0,8,5,5,0,140.0,96.0,230.2,120.9,730.8,726.2,787.3,271.3,784.0,209.0,591.0,568.0,20.0,13.7,18.0,16.4,32.9,17.3,31.3,17.6,104.4,103.7,94.0,101.0,112.5,38.8,115.2,42.0,112.0,29.9,104.4,32.4,84.4,81.1,76.6,86.4
9,LEI,7,9,12,1.3,1.7,1.4,1.6,7,8,5,0,182.0,88.0,301.3,118.3,917.0,631.4,939.7,312.3,1157.0,239.0,713.0,555.0,26.0,12.6,24.2,12.8,43.0,16.9,40.2,16.6,131.0,90.2,116.2,93.3,134.2,44.6,120.0,44.9,165.3,34.1,165.8,27.8,101.9,79.3,89.6,81.2
10,LEE,7,7,14,1.0,2.0,0.8,1.4,4,7,5,0,204.0,105.0,313.7,132.1,1013.8,717.6,885.7,372.7,1247.0,227.0,716.0,546.0,29.1,15.0,23.6,18.2,44.8,18.9,40.4,20.7,144.8,102.5,108.7,113.8,126.5,53.2,117.5,53.9,178.1,32.4,179.4,38.6,102.3,78.0,83.8,86.4
