team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,33,78.0,38.0,2.4,1.2,2.4,2.4,12.0,12.0,5,0,667.0,296.0,903.0,504.4,3202.4,3447.8,2619.8,901.6,3212.0,681.0,2436.0,2313.0,20.2,9.0,24.6,8.8,27.4,15.3,32.8,16.6,97.0,104.5,125.6,90.8,79.4,27.3,82.3,43.6,97.3,20.6,119.6,31.0,73.8,70.1,93.0,58.0,1217.0,682.0,36.9,20.7,1774.3,548.2,53.8,16.6,5642.6,3272.2,171.0,99.2,5438.4,1203.6,164.8,36.5,6670.0,1003.0,202.1,30.4,4437.0,3332.0,134.4,101.0
2,AVL,33,46.0,41.0,1.4,1.2,1.8,0.3,11.0,2.0,6,0,769.0,470.0,1026.8,485.2,3419.6,3196.2,3120.2,943.5,3766.0,709.0,2641.0,2644.0,23.3,14.2,14.8,9.8,31.1,14.7,17.1,15.1,103.6,96.8,60.0,107.1,94.6,28.6,56.5,27.0,114.1,21.5,57.0,16.7,80.0,80.1,43.5,69.0,795.0,620.0,24.1,18.8,997.2,485.9,30.2,14.7,3526.8,3055.0,106.9,92.6,2959.0,1206.6,89.7,36.6,3494.0,597.0,105.9,18.1,2776.0,2963.0,84.1,89.8
3,BOU,33,32.0,63.0,1.0,1.9,1.2,1.5,7.0,9.0,6,0,977.0,763.0,1460.8,667.6,4514.6,3474.2,4717.4,1805.4,5389.0,1390.0,3687.0,3650.0,29.6,23.1,32.5,19.8,44.3,20.2,45.6,21.1,136.8,105.3,151.9,116.2,143.0,54.7,143.5,68.8,163.3,42.1,161.5,26.2,111.7,110.6,130.0,112.7,725.0,454.0,22.0,13.8,917.7,453.3,27.8,13.7,3379.0,3266.6,102.4,99.0,2677.6,754.2,81.1,22.8,3133.0,507.0,94.9,15.4,2647.0,2658.0,80.2,80.6
4,BRE,33,50.0,43.0,1.5,1.3,1.2,1.5,7.0,9.0,6,0,726.0,502.0,1125.1,553.6,3450.0,3067.8,3679.4,1499.3,4145.0,966.0,2670.0,2808.0,22.0,15.2,22.5,17.8,34.1,16.8,30.2,16.3,104.6,93.0,99.7,94.4,111.5,45.4,110.3,51.8,125.6,29.3,93.2,17.5,80.9,85.1,80.3,95.2,833.0,636.0,25.2,19.3,1022.9,523.9,31.0,15.9,3684.6,3533.4,111.6,107.1,3023.1,762.6,91.6,23.1,3534.0,927.0,107.1,28.1,2936.0,3016.0,89.0,91.4
5,BHA,30,55.0,40.0,1.8,1.3,1.8,1.8,9.0,9.0,5,0,672.0,378.0,798.8,432.1,3039.0,2959.2,2232.5,698.9,2728.0,656.0,2379.0,2234.0,22.4,12.6,23.0,15.4,26.6,14.4,24.8,19.2,101.3,98.6,111.0,140.1,74.4,23.3,68.6,22.7,90.9,21.9,68.2,28.8,79.3,74.5,78.2,84.0,814.0,510.0,27.1,17.0,1258.5,428.7,42.0,14.3,3961.0,2480.0,132.0,82.7,4255.9,1078.2,141.9,35.9,4369.0,727.0,145.6,24.2,3142.0,2519.0,104.7,84.0
6,CHE,32,30.0,35.0,0.9,1.1,0.2,1.4,1.0,7.0,5,0,704.0,642.0,978.2,496.2,3328.0,3216.2,3057.6,930.0,3416.0,808.0,2433.0,2912.0,22.0,20.1,16.2,17.6,30.6,15.5,22.0,7.5,104.0,100.5,77.8,50.9,95.6,29.1,75.7,9.2,106.8,25.2,66.0,14.6,76.0,91.0,54.0,62.4,625.0,596.0,19.5,18.6,988.2,595.4,30.9,18.6,2881.0,3557.0,90.0,111.2,3454.1,1442.4,107.9,45.1,3570.0,947.0,111.6,29.6,2271.0,3193.0,71.0,99.8
7,CRY,33,31.0,42.0,0.9,1.3,1.8,0.8,9.0,4.0,5,0,818.0,662.0,1156.1,549.4,3659.8,3189.0,3658.1,1351.6,4258.0,947.0,2881.0,3107.0,24.8,20.1,16.4,13.0,35.0,16.6,21.6,10.4,110.9,96.6,79.1,67.9,110.8,41.0,66.4,19.8,129.0,28.7,70.0,16.4,87.3,94.2,54.4,71.4,746.0,481.0,22.6,14.6,993.4,452.9,30.1,13.7,3403.2,3124.4,103.1,94.7,3305.6,703.3,100.2,21.3,3249.0,691.0,98.4,20.9,2609.0,2634.0,79.1,79.8
8,EVE,33,25.0,50.0,0.8,1.5,0.6,2.0,3.0,10.0,5,0,865.0,625.0,1207.3,539.3,3644.6,2953.2,3849.0,1486.5,4595.0,949.0,3029.0,3025.0,26.2,18.9,31.8,23.0,36.6,16.3,31.3,15.6,110.4,89.5,102.9,88.6,116.6,45.0,110.6,43.7,139.2,28.8,99.6,23.8,91.8,91.7,115.6,104.4,586.0,513.0,17.8,15.6,810.2,544.9,24.6,16.5,2588.6,3591.4,78.4,108.8,2874.2,853.2,87.1,25.8,2656.0,995.0,80.5,30.2,2190.0,2781.0,66.4,84.3
9,FUL,32,44.0,43.0,1.4,1.3,1.2,1.2,6.0,6.0,5,0,835.0,576.0,1230.0,537.3,3914.4,3186.8,3702.4,1178.0,4701.0,1010.0,3040.0,2986.0,26.1,18.0,24.4,21.4,38.4,16.8,34.1,17.1,122.3,99.6,110.5,107.4,115.7,36.8,117.0,33.6,146.9,31.6,113.4,30.0,95.0,93.3,83.8,100.0,797.0,491.0,24.9,15.3,1053.5,480.6,32.9,15.0,3311.4,3425.6,103.5,107.0,3249.3,960.4,101.5,30.0,3995.0,410.0,124.8,12.8,2699.0,2747.0,84.3,85.8
10,LEI,33,44.0,57.0,1.3,1.7,1.0,1.7,6.0,10.0,6,0,972.0,600.0,1291.6,529.2,4421.2,3156.4,4058.0,1335.7,4464.0,793.0,3514.0,3121.0,29.4,18.2,32.5,20.3,39.1,16.0,42.8,17.7,134.0,95.6,146.7,113.0,123.0,40.5,146.2,33.6,135.3,24.0,136.5,29.5,106.5,94.6,115.2,100.3,776.0,448.0,23.5,13.6,1033.7,509.2,31.3,15.4,3708.6,3448.6,112.4,104.5,3246.6,1016.6,98.4,30.8,3408.0,624.0,103.3,18.9,2938.0,2828.0,89.0,85.7
