team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_scored_atk,total_points_scored_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,8,16.0,6.0,2.0,0.8,2.2,0.6,11.0,3.0,5,0,160,58,190.0,95.9,694.8,725.8,625.7,140.9,581,93,549,510,262.0,173.0,20.0,7.2,19.2,7.2,32.8,21.6,361.0,110.6,23.8,12.0,23.4,11.0,45.1,13.8,1184.6,669.6,86.8,90.7,83.9,86.6,148.1,83.7,1176.1,295.8,78.2,17.6,82.5,13.6,147.0,37.0,1262.0,140.0,72.6,11.6,68.2,9.2,157.8,17.5,952.0,789.0,68.6,63.8,66.6,63.6,119.0,98.6
2,AVL,8,19.0,12.0,2.4,1.5,2.2,1.2,11.0,6.0,5,0,200,73,245.1,131.8,897.8,802.0,720.9,380.6,842,134,729,614,243.0,147.0,25.0,9.1,23.4,11.2,30.4,18.4,296.1,164.4,30.6,16.5,29.8,17.2,37.0,20.6,1064.6,868.0,112.2,100.2,105.5,106.0,133.1,108.5,922.7,380.7,90.1,47.6,88.0,46.0,115.3,47.6,979.0,393.0,105.2,16.8,105.2,20.0,122.4,49.1,892.0,738.0,91.1,76.8,81.8,80.8,111.5,92.2
3,BOU,8,5.0,18.0,0.6,2.2,0.6,2.4,3.0,12.0,5,0,256,192,373.5,152.0,1183.6,880.8,1169.4,317.1,1400,323,878,888,155.0,85.0,32.0,24.0,34.2,26.0,19.4,10.6,242.2,111.7,46.7,19.0,45.8,18.6,30.3,14.0,709.4,827.8,148.0,110.1,147.0,112.3,88.7,103.5,779.5,232.9,146.2,39.6,146.1,28.9,97.4,29.1,933.0,54.0,175.0,40.4,168.4,45.0,116.6,6.8,528.0,590.0,109.8,111.0,108.8,115.8,66.0,73.8
4,BRE,8,11.0,12.0,1.4,1.5,1.0,1.8,5.0,9.0,5,0,182,130,266.9,149.6,885.0,882.8,896.0,405.8,893,211,691,663,211.0,100.0,22.8,16.2,26.4,17.8,26.4,12.5,288.7,135.7,33.4,18.7,34.9,19.4,36.1,17.0,912.4,821.6,110.6,110.4,124.8,112.0,114.0,102.7,946.7,292.8,112.0,50.7,109.9,55.8,118.3,36.6,1042.0,243.0,111.6,26.4,114.8,26.4,130.2,30.4,699.0,671.0,86.4,82.9,96.0,85.2,87.4,83.9
5,BHA,8,21.0,16.0,2.6,2.0,2.4,2.2,12.0,11.0,5,0,215,53,276.8,113.2,1062.2,711.0,755.7,295.0,943,121,835,564,266.0,85.0,26.9,6.6,29.0,7.0,33.2,10.6,386.8,151.9,34.6,14.2,36.3,14.2,48.4,19.0,1366.2,906.4,132.8,88.9,138.4,90.6,170.8,113.3,1282.0,328.5,94.5,36.9,100.4,39.7,160.2,41.1,1220.0,284.0,117.9,15.1,123.6,10.6,152.5,35.5,969.0,638.0,104.4,70.5,111.8,67.2,121.1,79.8
6,BUR,8,7.0,20.0,0.9,2.5,1.0,2.3,6.0,14.0,6,0,241,175,313.1,124.6,1151.0,744.4,974.1,295.6,1008,206,896,792,164.0,51.0,30.1,21.9,28.3,18.8,20.5,6.4,217.1,110.2,39.1,15.6,36.8,14.0,27.1,13.8,756.4,785.8,143.9,93.0,140.9,86.2,94.6,98.2,762.2,204.2,121.8,37.0,103.4,40.5,95.3,25.5,666.0,112.0,126.0,25.8,123.3,13.0,83.2,14.0,622.0,559.0,112.0,99.0,103.0,90.2,77.8,69.9
7,CHE,8,11.0,7.0,1.4,0.9,1.2,0.6,6.0,3.0,5,0,170,157,214.4,120.3,734.4,834.0,683.9,214.7,729,155,571,733,179.0,175.0,21.2,19.6,21.0,23.0,22.4,21.9,281.7,161.9,26.8,15.0,27.8,13.8,35.2,20.2,868.4,887.8,91.8,104.2,90.8,94.0,108.6,111.0,928.8,408.7,85.5,26.8,88.0,28.3,116.1,51.1,1033.0,321.0,91.1,19.4,98.6,16.2,129.1,40.1,685.0,870.0,71.4,91.6,68.4,102.4,85.6,108.8
8,CRY,8,7.0,7.0,0.9,0.9,1.0,1.0,5.0,5.0,5,0,181,143,245.6,117.3,776.8,721.4,905.9,279.6,777,170,653,711,167.0,189.0,22.6,17.9,23.6,17.6,20.9,23.6,260.9,126.2,30.7,14.7,35.9,17.9,32.6,15.8,865.6,845.8,97.1,90.2,115.1,102.9,108.2,105.7,846.4,270.7,113.2,35.0,127.5,46.6,105.8,33.8,894.0,147.0,97.1,21.2,116.0,28.8,111.8,18.4,629.0,816.0,81.6,88.9,92.2,91.8,78.6,102.0
9,EVE,8,9.0,12.0,1.1,1.5,1.8,1.2,9.0,6.0,5,0,220,201,269.5,184.4,949.4,1127.4,820.7,467.6,929,246,778,956,163.0,100.0,27.5,25.1,24.8,17.8,20.4,12.5,267.1,139.7,33.7,23.0,32.2,25.9,33.4,17.5,765.6,767.8,118.7,140.9,108.0,142.2,95.7,96.0,880.6,407.0,102.6,58.4,102.9,70.5,110.1,50.9,1037.0,220.0,116.1,30.8,111.6,46.2,129.6,27.5,630.0,607.0,97.2,119.5,87.8,103.8,78.8,75.9
10,FUL,8,8.0,13.0,1.0,1.6,1.0,1.6,5.0,8.0,5,0,203,163,275.9,128.7,939.4,807.8,825.1,251.0,1000,226,811,763,184.0,135.0,25.4,20.4,23.4,22.8,23.0,16.9,229.6,117.0,34.5,16.1,24.5,15.6,28.7,14.6,675.6,805.8,117.4,101.0,103.6,109.7,84.4,100.7,862.7,216.6,103.1,31.4,71.4,23.2,107.8,27.1,766.0,147.0,125.0,28.2,70.4,22.6,95.8,18.4,612.0,732.0,101.4,95.4,94.8,102.8,76.5,91.5
