team,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,9.0,13.0,12.0,1.4,1.3,1.4,1.2,7.0,6.0,5.0,0,202.0,125.0,340.5,169.5,1075.8,904.6,1035.9,460.9,1302.0,325.0,808.0,717.0,22.4,13.9,22.4,16.0,37.8,18.8,39.1,15.4,119.5,100.5,125.2,90.1,115.1,51.2,125.5,41.5,144.7,36.1,142.0,22.2,89.8,79.7,89.0,79.8
2,9.0,15.0,13.0,1.7,1.4,2.2,1.4,11.0,7.0,5.0,0,189.0,139.0,390.2,181.0,980.6,966.2,1280.9,488.2,1644.0,361.0,784.0,767.0,21.0,15.4,18.2,15.8,43.4,20.1,44.0,20.4,109.0,107.4,104.8,120.3,142.3,54.2,140.9,44.1,182.7,40.1,194.0,40.8,87.1,85.2,84.0,86.4
3,9.0,13.0,13.0,1.4,1.4,1.6,1.0,8.0,5.0,5.0,0,231.0,129.0,404.1,158.6,1197.2,848.2,1217.8,469.6,1625.0,269.0,964.0,736.0,25.7,14.3,22.2,16.4,44.9,17.6,43.5,15.9,133.0,94.2,118.9,88.5,135.3,52.2,136.6,38.0,180.6,29.9,179.4,32.6,107.1,81.8,95.2,83.4
4,9.0,9.0,12.0,1.0,1.3,1.0,1.0,5.0,5.0,5.0,0,243.0,175.0,358.7,124.1,1167.6,833.0,1081.5,260.2,1346.0,145.0,865.0,836.0,27.0,19.4,23.4,21.2,39.9,13.8,40.9,15.2,129.7,92.6,116.6,103.9,120.2,28.9,128.4,31.7,149.6,16.1,165.4,16.0,96.1,92.9,82.2,100.4
5,9.0,12.0,11.0,1.3,1.2,1.4,1.0,7.0,5.0,5.0,0,219.0,120.0,338.6,143.0,1000.4,843.8,1066.5,399.3,1326.0,187.0,840.0,730.0,24.3,13.3,23.4,10.4,37.6,15.9,36.2,15.2,111.2,93.8,107.4,91.8,118.5,44.4,120.3,42.8,147.3,20.8,134.0,17.4,93.3,81.1,91.0,68.8
6,9.0,19.0,14.0,2.1,1.6,2.6,1.0,13.0,5.0,5.0,0,206.0,117.0,244.8,154.9,947.4,1101.6,696.9,253.2,810.0,190.0,732.0,771.0,22.9,13.0,16.6,10.4,27.2,17.2,22.2,17.5,105.3,122.4,75.8,117.2,77.4,28.1,70.5,30.2,90.0,21.1,76.6,27.0,81.3,85.7,62.8,75.6
7,9.0,8.0,10.0,0.9,1.1,1.0,1.6,5.0,8.0,5.0,0,186.0,192.0,323.0,176.4,930.2,934.0,1000.2,480.3,1305.0,350.0,686.0,886.0,20.7,21.3,27.0,17.6,35.9,19.6,42.6,18.3,103.4,103.8,137.3,100.9,111.1,53.4,125.6,49.9,145.0,38.9,163.8,31.8,76.2,98.4,108.0,90.6
8,9.0,8.0,13.0,0.9,1.4,0.8,1.8,4.0,9.0,5.0,0,219.0,196.0,278.4,155.8,1002.8,1069.4,715.6,270.6,1066.0,218.0,789.0,889.0,24.3,21.8,28.0,22.6,30.9,17.3,33.8,18.7,111.4,118.8,126.4,132.9,79.5,30.1,88.0,38.6,118.4,24.2,123.8,15.2,87.7,98.8,104.2,105.6
9,9.0,16.0,8.0,1.8,0.9,2.0,1.0,10.0,5.0,5.0,0,181.0,121.0,260.3,141.0,911.6,835.6,817.5,338.4,885.0,234.0,668.0,774.0,20.1,13.4,22.4,11.0,28.9,15.7,30.0,15.7,101.3,92.8,107.2,93.6,90.8,37.6,83.3,42.5,98.3,26.0,110.8,20.6,74.2,86.0,78.6,81.6
10,9.0,21.0,7.0,2.3,0.8,1.8,0.8,9.0,4.0,5.0,0,152.0,72.0,203.0,159.2,725.6,1019.8,645.8,336.2,670.0,235.0,551.0,645.0,16.9,8.0,16.4,11.2,22.6,17.7,18.9,19.7,80.6,113.3,74.4,117.2,71.8,37.4,60.6,49.8,74.4,26.1,54.8,30.0,61.2,71.7,53.2,77.2
11,9.0,29.0,9.0,3.2,1.0,3.0,1.2,15.0,6.0,5.0,0,194.0,62.0,229.3,139.2,959.8,1026.4,533.6,138.1,798.0,227.0,760.0,722.0,21.6,6.9,23.4,9.8,25.5,15.5,28.4,16.9,106.6,114.0,123.6,120.7,59.3,15.3,68.4,16.9,88.7,25.2,91.2,30.8,84.4,80.2,89.6,90.6
12,9.0,10.0,9.0,1.1,1.0,0.6,1.0,3.0,5.0,5.0,0,181.0,174.0,242.4,143.8,829.2,933.2,793.2,217.4,804.0,290.0,669.0,735.0,20.1,19.3,21.4,23.8,26.9,16.0,27.4,14.9,92.1,103.7,91.7,98.3,88.1,24.2,86.9,30.6,89.3,32.2,96.6,20.2,74.3,81.7,78.6,96.0
13,9.0,5.0,14.0,0.6,1.6,0.4,1.8,2.0,9.0,5.0,0,234.0,217.0,378.3,182.1,1089.6,919.8,1296.0,526.3,1398.0,372.0,945.0,930.0,26.0,24.1,28.2,28.0,42.0,20.2,42.7,24.6,121.1,102.2,121.5,109.6,144.0,58.5,142.6,79.6,155.3,41.3,162.6,55.8,105.0,103.3,106.8,110.6
