team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5
1,ARS,14,17.0,20.0,1.2,1.4,1.4,1.4,7.0,7.0,5,0,348.0,276.0,545.3,269.8,1714.8,1476.8,1575.9,730.8,2169.0,490.0,1321.0,1445.0,24.9,19.7,24.4,14.8,39.0,19.3,38.2,18.3,122.5,105.5,122.4,105.4,112.6,52.2,101.4,38.8,154.9,35.0,157.6,39.0,94.4,103.2,89.6,95.2
2,AVL,14,19.0,23.0,1.4,1.6,1.2,1.6,6.0,8.0,5,0,338.0,220.0,528.3,244.3,1616.4,1502.8,1600.6,511.3,2074.0,432.0,1279.0,1191.0,24.1,15.7,23.2,20.2,37.7,17.4,35.7,18.6,115.5,107.3,111.7,117.8,114.3,36.5,106.8,32.6,148.1,30.9,138.4,35.6,91.4,85.1,91.6,99.6
3,BRE,14,17.0,19.0,1.2,1.4,1.2,2.0,6.0,10.0,5,0,284.0,228.0,427.2,237.6,1390.0,1397.0,1414.5,553.9,1474.0,429.0,1026.0,1173.0,20.3,16.3,19.4,12.2,30.5,17.0,31.3,17.6,99.3,99.8,99.7,101.7,101.0,39.6,92.5,39.3,105.3,30.6,121.2,34.8,73.3,83.8,73.2,65.4
4,BHA,14,13.0,15.0,0.9,1.1,0.8,1.2,4.0,6.0,5,0,333.0,249.0,463.1,205.9,1463.8,1251.4,1405.5,452.2,1762.0,354.0,1196.0,1174.0,23.8,17.8,24.0,18.4,33.1,14.7,28.3,17.0,104.6,89.4,107.8,93.9,100.4,32.3,69.3,43.4,125.9,25.3,106.6,33.2,85.4,83.9,82.4,83.8
5,BUR,14,14.0,20.0,1.0,1.4,1.4,1.0,7.0,5.0,5,0,339.0,288.0,545.1,292.3,1542.2,1469.4,1737.0,681.4,2172.0,773.0,1296.0,1396.0,24.2,20.6,15.2,16.8,38.9,20.9,30.2,19.9,110.2,105.0,76.4,85.0,124.1,48.7,110.5,50.4,155.1,55.2,114.6,64.0,92.6,99.7,64.8,84.4
6,CHE,14,33.0,6.0,2.4,0.4,2.0,0.6,10.0,3.0,5,0,218.0,116.0,342.1,227.4,1011.2,1361.8,1019.7,516.9,1398.0,391.0,825.0,1003.0,15.6,8.3,17.0,6.8,24.4,16.2,20.4,12.4,72.2,97.3,82.9,92.3,72.8,36.9,60.7,17.9,99.9,27.9,61.0,13.6,58.9,71.6,62.2,56.0
7,CRY,14,19.0,20.0,1.4,1.4,1.6,1.2,8.0,6.0,5,0,310.0,249.0,458.0,244.5,1488.4,1471.4,1283.4,482.5,1806.0,490.0,1151.0,1227.0,22.1,17.8,19.0,16.2,32.7,17.5,31.7,16.8,106.3,105.1,97.2,104.7,91.7,34.5,103.0,20.9,129.0,35.0,117.4,42.0,82.2,87.6,69.8,79.8
8,EVE,14,17.0,24.0,1.2,1.7,0.4,2.0,2.0,10.0,5,0,351.0,292.0,510.0,249.3,1767.4,1519.8,1485.2,558.1,1850.0,412.0,1400.0,1405.0,25.1,20.9,28.2,29.0,36.4,17.8,33.0,19.1,126.2,108.6,128.9,115.2,106.1,39.9,80.1,48.4,132.1,29.4,121.8,28.0,100.0,100.4,104.8,123.6
9,LEI,14,22.0,25.0,1.6,1.8,1.4,2.0,7.0,10.0,5,0,356.0,226.0,579.7,253.4,1742.8,1422.8,1911.6,538.5,2152.0,570.0,1358.0,1236.0,25.4,16.1,25.6,24.6,41.4,18.1,39.1,19.2,124.5,101.6,116.8,112.6,136.5,38.5,122.0,33.1,153.7,40.7,153.0,46.0,97.0,88.3,89.4,106.8
10,LEE,14,13.0,20.0,0.9,1.4,1.0,0.8,5.0,4.0,5,0,349.0,256.0,508.2,251.8,1602.0,1464.6,1474.3,617.3,2016.0,432.0,1147.0,1188.0,24.9,18.3,18.6,21.2,36.3,18.0,27.1,18.6,114.4,104.6,82.2,114.6,105.3,44.1,78.7,38.6,144.0,30.9,111.2,32.8,81.9,84.9,54.0,94.0
