team,team_name,games_played,GS_tot,GA_tot,GS_pg,GA_pg,GS_last5_pg,GA_last5_pg,GS_last5,GA_last5,games_played_last5,points_conceded,total_points_conceded_atk,total_points_conceded_def,ict_index_conceded_atk,ict_index_conceded_def,influence_conceded_atk,influence_conceded_def,creativity_conceded_atk,creativity_conceded_def,threat_conceded_atk,threat_conceded_def,bps_conceded_atk,bps_conceded_def,total_points_conceded_pg_atk,total_points_conceded_pg_def,total_points_conceded_pg_atk_last5,total_points_conceded_pg_def_last5,ict_index_conceded_pg_atk,ict_index_conceded_pg_def,ict_index_conceded_pg_atk_last5,ict_index_conceded_pg_def_last5,influence_conceded_pg_atk,influence_conceded_pg_def,influence_conceded_pg_atk_last5,influence_conceded_pg_def_last5,creativity_conceded_pg_atk,creativity_conceded_pg_def,creativity_conceded_pg_atk_last5,creativity_conceded_pg_def_last5,threat_conceded_pg_atk,threat_conceded_pg_def,threat_conceded_pg_atk_last5,threat_conceded_pg_def_last5,bps_conceded_pg_atk,bps_conceded_pg_def,bps_conceded_pg_atk_last5,bps_conceded_pg_def_last5,total_points_scored_atk,total_points_scored_def,total_points_scored_pg_atk,total_points_scored_pg_def,ict_index_scored_atk,ict_index_scored_def,ict_index_scored_pg_atk,ict_index_scored_pg_def,influence_scored_atk,influence_scored_def,influence_scored_pg_atk,influence_scored_pg_def,creativity_scored_atk,creativity_scored_def,creativity_scored_pg_atk,creativity_scored_pg_def,threat_scored_atk,threat_scored_def,threat_scored_pg_atk,threat_scored_pg_def,bps_scored_atk,bps_scored_def,bps_scored_pg_atk,bps_scored_pg_def
1,ARS,14,30.0,11.0,2.1,0.8,2.0,0.6,10.0,3.0,5,0,236.0,78.0,312.3,170.4,1089.0,1238.2,894.6,293.4,1143.0,167.0,845.0,777.0,16.9,5.6,15.4,5.8,22.3,12.2,21.9,11.6,77.8,88.4,72.1,81.4,63.9,21.0,60.9,16.4,81.6,11.9,86.2,18.2,60.4,55.5,55.8,52.0,417.0,276.0,29.8,19.7,637.8,188.0,45.6,13.4,1928.2,1182.0,137.7,84.4,1810.8,355.3,129.3,25.4,2644.0,344.0,188.9,24.6,1504.0,1277.0,107.4,91.2
2,AVL,14,11.0,20.0,0.8,1.4,1.0,2.0,5.0,10.0,5,0,335.0,279.0,447.6,199.0,1411.4,1259.6,1253.2,408.4,1819.0,320.0,1122.0,1284.0,23.9,19.9,31.0,21.8,32.0,14.2,39.1,13.4,100.8,90.0,125.7,92.9,89.5,29.2,114.0,30.2,129.9,22.9,151.8,11.2,80.1,91.7,100.8,99.2,274.0,179.0,19.6,12.8,430.9,191.4,30.8,13.7,1277.4,1181.6,91.2,84.4,1213.1,508.0,86.6,36.3,1817.0,222.0,129.8,15.9,1005.0,1008.0,71.8,72.0
3,BOU,14,12.0,28.0,0.9,2.0,1.2,1.8,6.0,9.0,5,0,353.0,356.0,562.6,273.8,1628.6,1399.8,1797.9,717.5,2195.0,617.0,1328.0,1558.0,25.2,25.4,21.6,26.8,40.2,19.6,39.1,24.8,116.3,100.0,103.2,129.4,128.4,51.2,121.2,58.4,156.8,44.1,166.2,59.0,94.9,111.3,87.0,124.0,281.0,171.0,20.1,12.2,331.5,177.4,23.7,12.7,1300.6,1300.2,92.9,92.9,899.4,324.1,64.2,23.2,1116.0,147.0,79.7,10.5,1030.0,1035.0,73.6,73.9
4,BRE,14,19.0,22.0,1.4,1.6,0.8,2.0,4.0,10.0,5,0,335.0,246.0,545.0,226.6,1653.2,1353.6,1671.5,584.7,2133.0,323.0,1217.0,1244.0,23.9,17.6,28.8,21.0,38.9,16.2,49.9,15.8,118.1,96.7,142.4,94.6,119.4,41.8,156.6,37.8,152.4,23.1,200.4,25.0,86.9,88.9,101.4,92.6,319.0,233.0,22.8,16.6,423.8,193.2,30.3,13.8,1421.6,1288.2,101.5,92.0,1220.2,285.4,87.2,20.4,1598.0,350.0,114.1,25.0,1163.0,1145.0,83.1,81.8
5,BHA,14,19.0,15.0,1.4,1.1,1.0,1.4,5.0,7.0,5,0,281.0,199.0,358.6,167.7,1256.6,1078.0,1040.8,315.4,1291.0,282.0,1019.0,1024.0,20.1,14.2,26.6,26.6,25.6,12.0,30.2,12.5,89.8,77.0,114.1,98.3,74.3,22.5,88.5,14.8,92.2,20.1,99.0,12.0,72.8,73.1,91.4,111.2,345.0,185.0,24.6,13.2,549.1,143.1,39.2,10.2,1590.2,890.4,113.6,63.6,1787.4,312.0,127.7,22.3,2114.0,227.0,151.0,16.2,1253.0,918.0,89.5,65.6
6,CHE,14,17.0,15.0,1.2,1.1,1.4,1.0,7.0,5.0,5,0,268.0,170.0,392.0,190.7,1309.4,1164.8,1102.0,447.1,1516.0,293.0,950.0,935.0,19.1,12.1,19.2,16.2,28.0,13.6,34.7,15.6,93.5,83.2,88.9,96.0,78.7,31.9,104.9,46.8,108.3,20.9,154.4,13.2,67.9,66.8,63.8,84.4,288.0,248.0,20.6,17.7,429.3,246.2,30.7,17.6,1302.2,1447.8,93.0,103.4,1376.5,576.4,98.3,41.2,1605.0,432.0,114.6,30.9,1023.0,1292.0,73.1,92.3
7,CRY,14,13.0,16.0,0.9,1.1,1.0,1.0,5.0,5.0,5,0,303.0,228.0,465.7,222.7,1336.2,1245.0,1452.3,550.8,1883.0,432.0,1105.0,1134.0,21.6,16.3,22.6,18.4,33.3,15.9,34.0,14.2,95.4,88.9,98.1,97.4,103.7,39.3,109.4,20.8,134.5,30.9,134.2,23.8,78.9,81.0,79.6,89.0,274.0,179.0,19.6,12.8,396.2,163.1,28.3,11.6,1321.2,1207.2,94.4,86.2,1256.7,230.1,89.8,16.4,1382.0,187.0,98.7,13.4,989.0,975.0,70.6,69.6
8,EVE,14,11.0,12.0,0.8,0.9,0.8,1.0,4.0,5.0,5,0,303.0,248.0,529.1,254.4,1370.2,1220.6,1738.4,740.4,2198.0,579.0,1033.0,1201.0,21.6,17.7,24.4,23.8,37.8,18.2,40.9,18.2,97.9,87.2,102.6,79.6,124.2,52.9,144.9,53.3,157.0,41.4,163.4,48.6,73.8,85.8,81.2,104.4,261.0,248.0,18.6,17.7,358.5,238.6,25.6,17.0,1143.2,1594.6,81.7,113.9,1048.4,371.4,74.9,26.5,1403.0,415.0,100.2,29.6,925.0,1218.0,66.1,87.0
9,FUL,14,22.0,22.0,1.6,1.6,1.8,1.4,9.0,7.0,5,0,356.0,197.0,548.5,215.4,1743.2,1185.6,1445.9,483.8,2300.0,487.0,1284.0,1064.0,25.4,14.1,26.4,12.8,39.2,15.4,38.5,16.0,124.5,84.7,130.9,91.4,103.3,34.6,99.7,37.0,164.3,34.8,154.4,32.0,91.7,76.0,97.8,75.0,345.0,175.0,24.6,12.5,519.9,178.1,37.1,12.7,1543.8,1356.6,110.3,96.9,1574.8,291.5,112.5,20.8,2084.0,128.0,148.9,9.1,1217.0,1044.0,86.9,74.6
10,LEI,14,21.0,25.0,1.5,1.8,1.4,0.6,7.0,3.0,5,0,382.0,178.0,507.7,190.0,1731.8,1118.4,1514.0,429.3,1832.0,348.0,1389.0,1069.0,27.3,12.7,22.4,16.0,36.3,13.6,35.5,14.8,123.7,79.9,78.0,85.1,108.1,30.7,129.5,34.8,130.9,24.9,147.2,28.0,99.2,76.4,73.8,89.0,333.0,201.0,23.8,14.4,426.1,185.2,30.4,13.2,1598.2,1227.6,114.2,87.7,1248.4,376.8,89.2,26.9,1423.0,247.0,101.6,17.6,1268.0,1179.0,90.6,84.2
