web_name,opponent,element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5
Cédric,12,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Xhaka,12,3,0,1,5.0,6.58,24.3,24.48,17.0,20.75,7.0,6.5,4.5,6.82,21.25,22.25,24.08,22.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Elneny,12,3,0,1,2.0,0.8,4.2,3.8,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Holding,12,2,1,0,1.0,0.1,1.1,0.0,0.0,4.0,0.0,-0.5,1.0,0.2,5.0,2.2,0.0,0.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Partey,12,3,0,1,4.2,4.88,21.0,14.96,12.8,18.2,6.5,6.0,6.5,6.6,26.0,31.9,26.65,7.5,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Ødegaard,12,3,0,1,5.1,7.66,23.4,25.6,27.43,20.29,1.0,0.5,1.67,6.93,10.0,8.93,33.8,26.33,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Tierney,12,2,1,0,2.0,1.79,7.09,5.33,5.57,8.29,3.5,3.0,3.0,2.73,12.67,10.13,6.87,10.33,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Pépé,12,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
White,12,2,1,0,4.2,3.05,16.15,12.79,1.62,20.38,5.5,5.0,5.0,3.77,22.75,16.3,19.73,1.75,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Nketiah,12,4,0,1,1.0,1.85,2.4,3.01,13.25,2.25,1.0,0.5,1.0,0.33,2.5,0.55,0.43,2.75,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Smith Rowe,12,3,0,1,1.0,1.7,3.95,9.18,4.5,4.5,0.0,0.0,1.0,0.7,3.0,1.7,5.85,0.5,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Saka,12,3,0,1,4.9,9.2,22.28,34.85,35.0,17.88,5.5,5.0,5.75,11.55,21.0,30.65,43.0,42.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Tomiyasu,12,2,1,0,0.9,0.49,2.51,1.87,0.57,3.29,1.0,0.5,1.0,0.75,4.25,3.45,3.1,1.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Ramsdale,12,1,1,0,3.4,1.71,17.08,0.0,0.0,16.25,4.0,3.5,3.0,1.98,15.75,19.9,0.0,0.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Gabriel,12,2,1,0,4.4,3.92,20.2,2.91,16.12,20.12,4.0,3.5,2.75,3.68,16.75,14.55,1.7,20.5,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
Tavares,12,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2.0,1.0,1.0,0.8,20.0,6.6,16.8,8.2,23.3,11.9,18.9,9.7,95.2,97.1,79.7,80.4,58.5,15.1,47.6,9.8,79.2,6.7,61.8,6.6,72.0,57.4,58.2,52.2
