web_name,predicted_points_5,predicted_points_6,predicted_points_7,predicted_points_8,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Salah,8.18,7.44,8.82,7.77,8.05,6.2,6.2,283,100.0,0.0,118748,0,0,0,0,1,3,7.2,7.7,3,Mohamed,False,,0,130,118748.jpg,Salah,54.7,False,0,a,12,14,25,502116,50871,894092,472828,0.5,1.9,360,2,1,1,5,0,0,0,0,0,0,3,57,104.6,182.9,182.0,47.0,37,17,4,3,8,4,7,3,0.0,0.0,0.0,0.0,2.0,0.0,3,3,15,1,1.5,1.0,1.5,1.0,23.8,37.2,119.6,106.5,146.0,89.2,11.8,13.4,96.6,19.2,18.2,73.2,23.8,37.2,119.6,106.5,146.0,89.2,11.8,13.4,96.6,19.2,18.2,73.2,0,1,90.0,0.0,0.0,4.0,4.0,1.0,4.0,360.0,90.0,0.0,0.0,4.0,1.0,11.75,14.25,26.15,45.72,45.5,6.25,11.75,14.25,26.15,45.72,45.5
De Bruyne,8.16,7.59,8.55,7.7,8.0,6.8,6.8,301,100.0,0.0,61366,0,0,2,-2,1,3,8.3,7.8,2,Kevin,False,,0,122,61366.jpg,De Bruyne,26.6,False,0,a,13,43,27,1186249,211153,395897,169794,0.6,2.2,355,1,3,2,5,0,0,0,0,0,0,3,107,147.0,235.4,122.0,50.4,8,3,1,1,28,20,4,1,1.0,0.0,2.0,0.0,3.0,0.0,7,2,16,1,0.5,1.2,0.5,1.2,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,0,1,88.0,0.0,0.0,4.0,4.0,1.0,4.0,355.0,89.0,0.0,0.0,4.0,1.0,12.6,26.75,36.75,58.85,30.5,6.75,12.6,26.75,36.75,58.85,30.5
Haaland,6.59,6.42,7.8,5.51,6.58,10.2,10.2,318,100.0,0.0,223094,1,-1,3,-3,2,4,11.7,11.2,17,Erling,True,,0,118,223094.jpg,Haaland,68.1,False,0,a,13,43,41,2357561,612979,337430,33727,0.9,3.5,323,6,1,2,5,0,0,0,0,0,0,6,165,211.0,31.3,271.0,51.4,1,1,139,17,2,2,2,2,0.0,0.0,0.0,0.0,1.0,0.0,7,2,16,1,0.5,1.2,0.5,1.2,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,0,1,83.0,0.0,0.0,4.0,4.0,1.0,4.0,323.0,81.0,0.0,0.0,4.0,1.0,12.85,41.25,52.75,7.82,67.75,10.25,12.85,41.25,52.75,7.82,67.75
Gündogan,6.78,6.19,6.83,6.14,6.48,6.2,6.2,300,100.0,0.0,59859,0,0,1,-1,0,3,7.7,7.2,4,Ilkay,False,,0,76,59859.jpg,Gündogan,5.5,False,0,a,13,43,25,486272,105863,142838,58281,0.8,3.3,260,2,1,2,3,0,0,0,0,0,0,3,97,116.0,124.2,133.0,37.3,23,10,11,9,21,15,13,8,5.0,0.0,1.0,0.0,5.0,0.0,7,2,16,1,0.5,1.2,0.5,1.2,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,0,1,29.0,0.0,1.0,4.0,3.0,0.75,4.0,260.0,65.0,0.0,1.0,3.0,0.75,9.32,24.25,29.0,31.05,33.25,6.25,9.32,24.25,29.0,31.05,33.25
Martinelli,6.73,5.6,6.49,6.39,6.3,6.0,6.0,19,100.0,0.0,444145,0,0,4,-4,0,3,6.5,7.0,2,Gabriel,False,,0,64,444145.jpg,Martinelli Silva,40.1,False,0,a,1,3,24,2142990,97633,478310,235760,0.9,3.8,344,2,1,2,3,0,0,0,0,0,0,1,84,108.4,132.3,185.0,42.5,31,14,8,7,7,3,8,4,1.0,0.0,2.0,0.0,2.0,0.0,9,2,2,1,0.8,1.8,0.8,1.8,25.0,30.2,110.6,70.6,120.0,82.8,24.0,17.5,107.2,39.1,28.5,108.5,25.0,30.2,110.6,70.6,120.0,82.8,24.0,17.5,107.2,39.1,28.5,108.5,0,1,90.0,0.0,0.0,4.0,4.0,1.0,4.0,344.0,86.0,0.0,0.0,4.0,1.0,10.62,21.0,27.1,33.08,46.25,6.0,10.62,21.0,27.1,33.08,46.25
Son,6.66,5.32,5.89,7.18,6.26,3.2,3.2,428,100.0,0.0,85971,-1,1,-2,2,0,3,3.7,4.2,3,Son,False,,0,118,85971.jpg,Heung-min,12.1,False,0,a,18,6,13,159287,18089,1152138,296309,0.3,1.1,316,0,1,2,3,0,0,0,0,0,0,0,26,52.6,104.4,146.0,30.1,154,60,23,16,19,13,33,23,1.0,0.0,3.0,0.0,3.0,0.0,16,3,19,0,0.2,1.2,0.2,1.2,29.0,30.6,100.4,103.2,103.5,106.2,29.2,17.0,102.5,37.2,30.0,111.2,29.0,30.6,100.4,103.2,103.5,106.2,29.2,17.0,102.5,37.2,30.0,111.2,0,1,73.0,0.0,0.0,4.0,4.0,1.0,4.0,316.0,79.0,0.0,0.0,4.0,1.0,7.52,6.5,13.15,26.1,36.5,3.25,7.52,6.5,13.15,26.1,36.5
Estupiñán,5.01,6.61,6.46,6.78,6.22,3.5,3.5,586,100.0,0.0,204214,0,0,0,0,0,2,4.0,4.0,6,Pervis,False,,0,45,204214.jpg,Estupiñán,0.2,False,0,a,5,36,7,22475,15943,3276,1450,0.8,1.6,105,0,0,1,0,0,0,0,0,0,0,0,26,25.2,65.8,11.0,10.2,231,95,62,13,216,64,172,52,0.0,0.0,0.0,0.0,0.0,0.0,11,2,9,0,1.5,1.5,1.5,1.5,25.2,42.3,115.0,117.1,192.0,90.5,19.0,15.5,99.4,27.5,28.5,87.2,25.2,42.3,115.0,117.1,192.0,90.5,19.0,15.5,99.4,27.5,28.5,87.2,1,0,78.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,26.0,25.2,65.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Firmino,5.5,6.26,6.22,6.54,6.13,8.3,6.2,279,100.0,100.0,92217,0,0,0,0,1,4,7.2,7.7,22,Roberto,False,,2022-08-16T00:30:06.283883Z,80,92217.jpg,Firmino,3.1,False,0,a,12,14,25,216386,160412,90586,20104,0.8,3.1,208,2,3,1,3,0,0,0,0,0,0,3,97,149.6,69.1,159.0,37.9,7,4,58,6,14,5,12,5,0.0,0.0,0.0,0.0,0.0,0.0,3,3,15,1,1.5,1.0,1.5,1.0,23.8,37.2,119.6,106.5,146.0,89.2,11.8,13.4,96.6,19.2,18.2,73.2,23.8,37.2,119.6,106.5,146.0,89.2,11.8,13.4,96.6,19.2,18.2,73.2,0,1,68.0,1.0,0.0,3.0,3.0,1.0,3.0,208.0,69.0,1.0,0.0,3.0,1.0,12.63,32.33,49.87,23.03,53.0,8.33,12.63,32.33,49.87,23.03,53.0
Alexander-Arnold,5.84,5.85,6.66,6.05,6.1,5.2,5.2,285,100.0,0.0,169187,0,0,0,0,1,2,6.2,6.7,17,Trent,False,,0,75,169187.jpg,Alexander-Arnold,49.1,False,0,a,12,14,21,500081,263483,1056557,53098,0.7,2.8,352,1,1,1,5,0,0,0,1,0,0,3,107,110.0,200.1,58.0,36.9,28,4,2,1,75,8,14,1,1.0,0.0,1.0,0.0,0.0,0.0,3,3,15,1,1.5,1.0,1.5,1.0,23.8,37.2,119.6,106.5,146.0,89.2,11.8,13.4,96.6,19.2,18.2,73.2,23.8,37.2,119.6,106.5,146.0,89.2,11.8,13.4,96.6,19.2,18.2,73.2,1,0,82.0,0.0,0.0,4.0,4.0,1.0,4.0,352.0,88.0,0.0,0.0,4.0,1.0,9.22,26.75,27.5,50.02,14.5,5.25,9.22,26.75,27.5,50.02,14.5
Foden,6.36,5.86,6.39,5.78,6.1,4.5,4.5,314,100.0,0.0,209244,0,0,0,0,0,3,6.0,5.5,4,Phil,False,,0,80,209244.jpg,Foden,7.3,False,0,a,13,43,18,368263,47944,320628,76548,0.6,2.2,312,1,2,1,5,0,0,0,1,0,0,0,84,109.2,162.6,93.0,36.5,30,13,5,4,49,33,15,9,2.0,0.0,0.0,0.0,0.0,0.0,7,2,16,1,0.5,1.2,0.5,1.2,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,21.0,47.3,125.7,153.1,194.5,81.2,27.5,19.4,101.2,58.0,35.5,111.8,0,1,90.0,0.0,1.0,4.0,3.0,0.75,4.0,312.0,78.0,0.0,1.0,3.0,0.75,9.12,21.0,27.3,40.65,23.25,4.5,9.12,21.0,27.3,40.65,23.25
Trossard,4.71,7.04,6.23,6.37,6.09,4.5,4.5,111,100.0,0.0,116216,0,0,0,0,0,3,5.0,5.0,6,Leandro,False,,0,65,116216.jpg,Trossard,2.7,False,0,a,5,36,18,143576,37245,103096,17612,0.7,2.8,316,1,1,3,1,0,0,0,1,0,0,0,51,64.4,92.2,164.0,32.1,114,45,37,27,12,8,22,16,0.0,0.0,3.0,0.0,4.0,0.0,11,2,9,0,1.5,1.5,1.5,1.5,25.2,42.3,115.0,117.1,192.0,90.5,19.0,15.5,99.4,27.5,28.5,87.2,25.2,42.3,115.0,117.1,192.0,90.5,19.0,15.5,99.4,27.5,28.5,87.2,0,1,78.0,0.0,0.0,4.0,4.0,1.0,4.0,316.0,79.0,0.0,0.0,4.0,1.0,8.02,12.75,16.1,23.05,41.0,4.5,8.02,12.75,16.1,23.05,41.0
Kane,6.64,4.71,6.53,6.48,6.09,6.5,6.5,427,100.0,0.0,78830,0,0,-1,1,0,4,7.0,7.5,10,Harry,False,,0,114,78830.jpg,Kane,17.8,False,0,a,18,6,26,474998,151213,1289405,138559,0.6,2.3,360,4,0,2,3,0,0,1,2,0,0,6,111,185.4,121.3,242.0,54.9,3,2,13,1,5,4,1,1,0.0,0.0,1.0,0.0,1.0,0.0,16,3,19,0,0.2,1.2,0.2,1.2,29.0,30.6,100.4,103.2,103.5,106.2,29.2,17.0,102.5,37.2,30.0,111.2,29.0,30.6,100.4,103.2,103.5,106.2,29.2,17.0,102.5,37.2,30.0,111.2,0,1,90.0,0.0,0.0,4.0,4.0,1.0,4.0,360.0,90.0,0.0,0.0,4.0,1.0,13.72,27.75,46.35,30.32,60.5,6.5,13.72,27.75,46.35,30.32,60.5
Kulusevski,6.89,4.49,6.24,6.49,6.03,6.0,6.0,446,100.0,0.0,445044,0,0,2,-2,1,3,6.5,7.0,6,Dejan,False,,0,82,445044.jpg,Kulusevski,14.5,False,0,a,18,6,24,1106210,91673,535409,129176,0.7,2.9,342,1,2,2,3,0,0,0,0,0,0,3,80,98.6,117.1,105.0,32.1,46,20,15,11,36,27,23,17,3.0,0.0,0.0,0.0,0.0,0.0,16,3,19,0,0.2,1.2,0.2,1.2,29.0,30.6,100.4,103.2,103.5,106.2,29.2,17.0,102.5,37.2,30.0,111.2,29.0,30.6,100.4,103.2,103.5,106.2,29.2,17.0,102.5,37.2,30.0,111.2,0,1,82.0,0.0,0.0,4.0,4.0,1.0,4.0,342.0,86.0,0.0,0.0,4.0,1.0,8.02,20.0,24.65,29.28,26.25,6.0,8.02,20.0,24.65,29.28,26.25
