id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,2,242,25.0,100.0,4,69140,0,0,-4,4,45.5,348,120,0,2,0.7,3.1,0,Shkodran,2.1,17,0,47.9,306,102,False,277.2,251,98,1205,Hamstring injury - 25% chance of playing,2020-07-18T22:30:20.553834Z,51,0,0,0,69140.jpg,2.9,0,0,Mustafi,0.4,False,0.0,d,1,3,155.0,231,58,43,24993,121,46591,1025,0.4,8.4,Mustafi,2,2,1,0,0.0,3.0,22.0,15.0,12.0,0.35,3.0,270.0,90.0,1.0,1.0,3.0,0.75,3.19,16.13,18.48,3.03,10.33,3.0,3.07,16.0,19.8,0.77,10.33,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
2,4,204,100.0,100.0,4,98745,0,0,-3,3,76.9,299,93,0,2,2.9,3.4,0,Héctor,2.4,18,1,37.0,336,119,False,187.8,315,122,1156,0,2019-12-09T20:00:21.228098Z,52,0,0,0,98745.jpg,2.9,0,0,Bellerín,1.0,False,0.0,a,1,3,103.0,272,79,44,204887,2500,157498,2473,0.5,8.5,Bellerín,2,2,1,0,0.0,13.0,12.0,15.0,12.0,0.5,3.0,187.0,62.0,0.0,3.0,2.0,0.4,2.47,13.6,12.52,5.13,6.87,1.33,2.93,8.0,7.8,9.2,12.33,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
3,1,325,100.0,100.0,4,111457,0,0,-3,3,172.1,216,53,0,2,3.1,3.6,1,Sead,2.6,25,0,51.2,292,96,False,263.8,265,106,1661,0,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.2,0,0,Kolasinac,0.5,False,0.0,a,1,3,79.0,305,98,54,64372,679,133992,298,0.5,10.4,Kolasinac,4,2,1,0,90.0,13.0,6.0,25.0,18.0,0.75,5.0,358.0,72.0,0.0,1.0,4.0,0.8,2.05,13.0,10.55,6.88,3.16,2.2,1.38,11.4,9.72,1.78,2.4,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
4,3,229,100.0,100.0,3,154043,0,0,-5,5,159.5,227,57,1,2,0.9,1.4,0,Ainsley,0.4,20,0,47.3,309,104,False,282.6,245,97,1292,0,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.1,1,0,Maitland-Niles,2.2,False,0.0,a,1,3,37.0,364,133,40,610151,912,652973,640,0.1,8.9,Maitland-Niles,4,2,1,0,0.0,0.0,24.0,19.0,13.0,0.35,3.0,49.0,16.0,0.0,5.0,0.0,0.0,2.49,12.05,14.87,8.39,1.95,0.67,0.47,2.33,4.4,0.4,0.0,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
5,5,305,100.0,100.0,4,39476,0,0,-2,2,36.8,363,128,1,2,0.5,1.0,0,Sokratis,0.0,25,2,58.5,268,86,False,436.2,162,60,1696,0,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.3,False,0.0,a,1,3,110.0,264,75,57,181925,356,230970,525,0.0,11.9,Sokratis,6,2,1,0,0.0,4.0,14.0,19.0,19.0,0.58,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.08,16.05,22.96,1.94,5.79,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
6,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,355,123,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,421,155,False,47.2,422,158,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,0.0,u,1,3,12.0,408,150,10,28270,12,89296,26,0.0,2.0,Monreal,0,2,1,0,0.0,34.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.33,18.0,15.73,13.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
7,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,642,221,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,648,221,False,0.0,646,221,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,0.0,u,1,3,0.0,638,220,0,774,18,12891,14,0.0,0.0,Koscielny,0,2,1,0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
8,0,0,0.0,0.0,0,233963,0,0,-2,2,0.0,571,217,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,586,217,False,0.0,582,217,0,Joined Stuttgart on loan until the end of the 2020/21 season on 16/7. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,0.0,n,1,3,0.0,551,211,0,1183,8,5053,10,0.0,0.0,Mavropanos,0,2,1,0,0.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
9,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,589,218,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,601,218,False,0.0,597,218,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,0.0,u,1,3,0.0,574,214,0,525,13,2714,22,0.0,0.0,Jenkinson,0,2,1,0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
10,2,86,100.0,100.0,1,156074,0,0,-1,1,4.5,438,163,0,2,2.4,2.9,2,Rob,1.9,7,0,12.4,410,150,False,113.4,365,142,490,0,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,2.3,0,0,Holding,0.2,False,0.0,a,1,3,6.0,428,158,16,26390,1521,22261,354,0.4,3.6,Holding,0,2,1,0,90.0,9.0,23.0,7.0,5.0,0.18,2.0,180.0,90.0,0.0,3.0,2.0,0.4,1.77,12.29,16.2,0.64,0.86,2.0,2.35,13.0,22.6,1.05,0.0,2,8,1,1.2,1.4,0.6,1.2,24.7,32.8,112.8,94.7,121.3,94.1,17.2,16.8,105.6,35.6,26.5,86.9,24.0,33.0,92.7,100.0,138.6,90.8,21.0,15.0,85.4,44.0,20.8,94.6
